checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
711149748,2019-02-10,4.3,"","",Pareto 2017 (Whisky Barrel-Aged),Scotch Ale / Wee Heavy,12.5,Sori Brewing,Estonia,Perkūnkiemis
709345069,2019-02-06,4.3,"","",Dyniamit!,Pumpkin / Yam Beer,6.0,Browar PINTA,Poland,Local Pub
709535761,2019-02-07,2.5,"","",Cyrulis,Pilsner - Other,4.9,Panevėžio Alus,Lithuania,Boom! Burgers
715311079,2019-02-22,3.0,"","",Pancho Chipotle Porter,Porter - Other,6.5,Sakiškių Alus,Lithuania,Somelje Mokykla
712947890,2019-02-16,3.0,"","",Faro,Lambic - Faro,4.5,Brouwerij Lindemans,Belgium,PROHIBICIJA
713820706,2019-02-17,3.5,"",Vilnius,Bistrampolio Dvaro Tamsusis,Lager - Euro Dark,5.5,Aukštaitijos Bravorai,Lithuania,Naujamiestis
717684917,2019-02-28,3.0,"","",Kaimiskas,Kellerbier / Zwickelbier,5.2,Ramunas Cizo II,Lithuania,Alaus Namai
716630869,2019-02-24,4.5,"","",Debesainis,Hefeweizen,4.2,Širvėnos bravoras,Lithuania,Local Pub
707636438,2019-02-02,4.3,"",Minsk,Black Bear,Stout - Russian Imperial,10.1,Mikkeller,Denmark,Nisha craft Capital
714739350,2019-02-20,3.5,"","",Waleczne,IPA - English,4.8,Antybrowar,Poland,Producters Game Room
711914844,2019-02-13,4.3,"","",Normalus,Pale Ale - American,4.6,Normalus Project,Lithuania,Local Pub
717710007,2019-02-28,4.0,"","",Bob Hund Dansa Efter Min LakritspIPA,IPA - International,6.8,WarPigs Brewpub,Denmark,Nisha craft Capital
709320289,2019-02-06,4.0,"","",Doppelbock Cacao Orange,Bock - Doppelbock,8.5,Sakiškių Alus,Lithuania,Local Pub
717684894,2019-02-28,2.3,"","",Brizas,Pale Ale - American,4.8,Petskell's Brewery,Lithuania,Alaus Namai
716032087,2019-02-23,5.0,"","",Debesainis,Hefeweizen,4.2,Širvėnos bravoras,Lithuania,Local Pub
712163578,2019-02-14,2.8,"","",Perlenbacher Radler,Shandy / Radler,2.5,Lidl Deutschland / Germany,Germany,Vaiku zaidimo aikstele
717026167,2019-02-25,4.0,"",Vilnius,Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Špunka
714205954,2019-02-18,3.5,"","",Tamsusis 666,Dark Ale,6.0,Klausučių Bravoras (UAB Armėniukas),Lithuania,Snekutis Uzupio
714683368,2019-02-20,3.3,"","",Tamsusis Elis,Dark Ale,5.9,Gubernija,Lithuania,Bambalynė
712159976,2019-02-14,4.0,"","",HÆRDBALL,IPA - Imperial / Double,8.8,Garage Beer Co.,Spain,Nisha craft Capital
709312488,2019-02-06,3.5,"","",Warsaw Express Bourbon BA,Wheat Wine,9.5,Browar PINTA,Poland,Local Pub
709546464,2019-02-07,2.8,"","",Grand Select,Lager - Pale,5.4,Kalnapilio-Tauro Grupe UAB ,Lithuania,Grill London
715989372,2019-02-23,3.5,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Hooters
708424020,2019-02-03,4.3,"",Vilnius,Yggdrasil,Stout - Russian Imperial,10.0,Munkebo Brewery™,Denmark,Local Pub
708971345,2019-02-04,3.0,"",Vilnius,Namysłów Pils,Pilsner - Other,6.0,Browar Namysłów,Poland,Karoliniškės
709892906,2019-02-08,3.5,"","",Aecht Schlenkerla Rauchbier - Urbock,Rauchbier,6.5,"Schlenkerla (""Heller-Bräu"" Trum)",Germany,Nisha craft Capital
713930013,2019-02-17,3.8,"","",Ruginis,Specialty Grain,5.2,Aukštaitijos Bravorai,Lithuania,Fabijoniškės
711883512,2019-02-13,2.8,"","",Tamsusis,Lager - Munich Dunkel,6.0,UAB Biržų Alus ,Lithuania,Stikliai Hotel
707679160,2019-02-02,3.0,"","",Žemaičių,Other,6.0,UAB Gubernija,Lithuania,Pilaitė
710380129,2019-02-09,5.0,🍻👍,"",Milk Stout,Stout - Milk / Sweet,6.0,Left Hand Brewing Company,United States,Local Pub
712455189,2019-02-15,3.3,"","",Bob Hund Dansa Efter Min LakritspIPA,IPA - International,6.8,WarPigs Brewpub,Denmark,Nisha craft Capital
712631718,2019-02-16,3.3,"","",1 Ton Of... Rosehip,Sour - Ale,8.1,To Øl,Denmark,Alaus Biblioteka
711903248,2019-02-13,3.5,Goodness gracious! This wildflower and honey mosaic ipa is a smooth ride from start to finish. It leaves me wanting for more thickness.,"",Gracious,IPA - American,7.7,Sori Brewing,Estonia,PROHIBICIJA
714964896,2019-02-21,3.3,"",Groningen,Kvietinis,Witbier,5.0,Vilkmerges Alus,Lithuania,CAPO Vilnius
