checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
721488743,2019-03-09,3.5,"",Green Hill Zone,Apynys NEIPA,IPA - New England,5.6,"Bravoras ""Apynys""",Lithuania,Nisha craft Capital
718829798,2019-03-02,3.5,"Опа, гэнгнэм стайл.","Minsk, Belarus",APA Gang-Nam Style,Pale Ale - American,4.7,Bear And Boar,Lithuania,GANstudija
722240136,2019-03-10,4.5,"","",Ensemble Two: DDH Mosaic & Enigma,IPA - Imperial / Double New England,8.0,Sori Brewing,Estonia,PROHIBICIJA
729054210,2019-03-28,4.0,"",Vilnius,Organic Tattoo Lager,Lager - Euro,4.0,Genys Brewing Co.,Lithuania,PROHIBICIJA
730148355,2019-03-30,4.3,"","",Atak Chmielu,IPA - American,6.1,Browar PINTA,Poland,Local Pub
719496700,2019-03-03,4.0,"","",Devyniaragio 2018,Mead - Braggot,6.0,Panevėžio Alus,Lithuania,Etmonų Špunka
729554325,2019-03-29,2.8,"","",Kanapinis - Nefiltruotas Šviesusis,Lager - Pale,5.2,Aukštaitijos Bravorai,Lithuania,"Artistai, live music pub"
730750660,2019-03-31,3.8,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Distilerija
720173655,2019-03-06,3.8,"","",Kiečių Gruit,Gruit / Ancient Herbed Ale,5.6,Panevėžio Alus,Lithuania,Pilaitė
720423806,2019-03-07,4.3,Excellent Baltic Porter at its motherland,"",Publijus Palemonas Brett,Porter - Baltic,7.2,Širvėnos bravoras,Lithuania,Špunka
719318813,2019-03-03,4.0,"Прикольный опыт, кисляк и дуббель )",Minsk ,Schneeeule Dunkel / Bruno,Brown Ale - Belgian,5.0,Schneeeule,Germany,Nisha craft Capital
721422886,2019-03-09,3.3,"",Vilnius,Original Alcoholic Ginger Beer ,Ginger Beer,4.8,John Crabbie & Co,Scotland,Naujamiestis
722109898,2019-03-10,3.0,"Sour. Not the best, but it'll do.","",Sea Buckthorn Berliner Weisse,Sour - Berliner Weisse,3.5,Sakiškių Alus,Lithuania,Beerhouse & Craft Kitchen
726793188,2019-03-23,4.3,"",Vilnius,Shock Series: !!PA Citra & Galaxy,IPA - Imperial / Double,9.0,To Øl,Denmark,Naujamiestis
728587880,2019-03-26,3.8,второе справа,Moscow,Trys Vienuoliai,Belgian Tripel,7.6,Genys Brewing Co.,Lithuania,Alaus Biblioteka
729411102,2019-03-29,3.5,"","",Can U Fix Seed?,IPA - New England,5.6,Uncle Brew,Estonia,Dėvėti
725671206,2019-03-19,3.0,"",Kongsberg,Raitas Baitas,Gruit / Ancient Herbed Ale,5.5,Panevėžio Alus,Lithuania,Savičiaus Špunka
730891567,2019-03-31,3.5,"","",Po 9 Audrų,Sour - Berliner Weisse,4.2,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Mr. Pub
730176694,2019-03-30,3.5,"","",Blanche de Bruxelles,Witbier,4.5,Brasserie Lefebvre,Belgium,Alaus Biblioteka
722970329,2019-03-13,4.0,"","",Gutstoutas,Stout - Oatmeal,5.2,Širvėnos bravoras,Lithuania,"Artistai, live music pub"
719316099,2019-03-03,3.8,"","Minsk, Belarus",Amber Shock,Bock - Doppelbock,7.0,Birrificio Italiano,Italy,Gregory Lounge
720178520,2019-03-06,4.3,"","",Żytorillo,IPA - Rye,5.3,Browar PINTA,Poland,Local Pub
727123825,2019-03-23,4.0,"",Buttonwood Brewery,Nath (2017),Lambic - Fruit,5.5,Brasserie Cantillon,Belgium,Nisha craft Capital
726660552,2019-03-22,3.8,"","",Mr. Blue 2019 Edition,Stout - Imperial Oatmeal,10.1,To Øl,Denmark,PROHIBICIJA
718771903,2019-03-02,4.0,"","",Californication,IPA - American,6.5,Cervejaria SP 330,Brazil,Šnekutis
723039028,2019-03-13,3.5,"",Heidelberg,Simkala APA,Pale Ale - American,5.3,Širvėnos bravoras,Lithuania,Lokys
724319755,2019-03-16,4.0,"","Vilnius, Lithuania",Stone IPA,IPA - American,6.9,Stone Brewing,United States,Vėjai
721359120,2019-03-09,3.3,"",Green Hill Zone,Radler Raspberry Citrus,Shandy / Radler,0.5,Utenos Alus,Lithuania,Jimmy Jumps Hostel
721802142,2019-03-10,4.0,"","",Brush (EU Version),Stout - Imperial / Double,12.0,Omnipollo,Sweden,PROHIBICIJA
728736931,2019-03-27,3.3,Glögg aktiv smak med en riktig slagkraftig känsla. Kan vara relaterat till procenten.,"",Midaus Nektaras Vilnius,Mead - Other,25.0,Lietuviškas Midus,Lithuania,Aline Leičiai
722088665,2019-03-10,3.5,"","",House Lager,Lager - Amber,5.0,RePUBlic,Lithuania,Republic No.4
