checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
734888559,2019-04-11,3.3,Fruktig då,"",SUPER 8 Blanche,Witbier,5.1,Brouwerij Haacht Brasserie,Belgium,Beerhouse & Craft Kitchen
733612754,2019-04-07,2.5,"IPA juodas - baikit, nemanau...",Kaunas,Juodas IPA,IPA - Black / Cascadian Dark Ale,5.6,Panevėžio Alus,Lithuania,Pilaitė
732262566,2019-04-05,3.8,"","",Zazel,Sour - Fruited,5.0,The Gipsy Hill Brewing Co.,England,Alaus Biblioteka
743257439,2019-04-30,3.0,"",Voorthuizen ,Bernelių Užeigos Gyvas Alus,Harvest Ale,5.0,Bernelių Užeiga,Lithuania,Bernelių Užeiga
737833977,2019-04-18,4.3,"","",DDH IPA,IPA - New England,6.8,Ārpus Brewing Co.,Latvia,Nisha craft Capital
735152019,2019-04-12,0.0,"Might tasty, has all the classic aipa flavour and aroma",London! ,Green Monster IPA,IPA - American,6.3,"Bravoras ""Apynys""",Lithuania,Bambalynė
734593564,2019-04-10,2.0,"","",Kurko Keptinis,Dark Ale,5.2,Širvėnos bravoras,Lithuania,Snekutis Uzupio
735231397,2019-04-12,4.0,"",Vilnius,Brooklyn Lager,Lager - Vienna,5.2,Brooklyn Brewery,United States,Picamax
732780936,2019-04-06,4.3,"",Lithuania,Compass III,Stout - Imperial / Double,9.2,Švyturys,Lithuania,"CROWNE PLAZA VILNIUS, viešbutis, UAB DRAUGYSTĖS VIEŠBUTIS"
733579521,2019-04-07,3.5,"",Vilnius,Švedpolis,Pilsner - German,5.1,Panevėžio Alus,Lithuania,Tesla
740227331,2019-04-22,3.8,"",Vilnius,Art Brut,IPA - Brut,8.3,Browar Birbant,Poland,Karoliniškės
735158225,2019-04-12,3.5,"","",Pancho - Corn Lager,Lager - North American Adjunct,4.5,Sakiškių Alus,Lithuania,Pilies kepyklėlė
738273018,2019-04-19,2.8,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Telegrafas Restaurant
735284124,2019-04-12,3.8,"","",Klanbarrique Flos Alba Frutti Di Bosco,Sour - Fruited,5.7,Birrificio Italiano,Italy,Nisha craft Capital
733014103,2019-04-06,4.0,"Почти как Laphroaig, только пиво :)","",Kovarnių,Smoked Beer,6.2,Panevėžio Alus,Lithuania,Alaus Biblioteka
741915469,2019-04-27,4.0,"",Vilnius,Keptinis Su Kmynais,Dark Ale,5.2,Panevėžio Alus,Lithuania,Local Pub
736075591,2019-04-13,2.5,"","",Strandgut,Rauchbier,5.6,Rügener Insel-Brauerei,Germany,Amazing Eryland
743018214,2019-04-29,4.3,"","",Beatnik,Pale Ale - American,3.8,The Gipsy Hill Brewing Co.,England,Pilaitė
739617664,2019-04-21,3.8,Трохі вадзяністае.,Puchawiczy,Baltas (White),Hefeweizen,5.0,Švyturys,Lithuania,Vilnius
732264012,2019-04-05,3.5,"","",Atak Chmielu,IPA - American,6.1,Browar PINTA,Poland,Local Pub
743329791,2019-04-30,3.3,"",Minsk,Blindos Gardžioji Be Saldiklių,Kvass,0.5,Švyturys,Lithuania,Europa City
738445024,2019-04-19,3.8,"",Antwerp,TelAvIPA,IPA - American,6.6,Uncle Brew,Estonia,Dėvėti
743058988,2019-04-29,3.5,"",Vilnius,BLUE BUCK,Dark Ale,5.6,Alsteka,Lithuania,Justiniškės
743227378,2019-04-30,3.8,"","Minsk, Belarus",Švedpolis,Pilsner - German,5.1,Panevėžio Alus,Lithuania,Gero alaus parduotuvė
738919727,2019-04-20,4.3,"","",Maukas,Golden Ale,4.3,Kuro Aparatūra,Lithuania,René
743314664,2019-04-30,3.5,"","Minsk, Belarus",Cider With Mixed Fruit,Cider - Other,0.0,Kopparbergs Bryggeri,Sweden,Europa City
740896168,2019-04-25,3.0,"","",Hobgoblin Legendary Ruby Beer,Brown Ale - English,5.2,Wychwood Brewery,England,Vaiku zaidimo aikstele
732822579,2019-04-06,2.8,"","",Iš Stokholmo,Pale Ale - New England,5.6,Volfas Engelman,Lithuania,Talutti - Bakes 'n' Shakes
743271071,2019-04-30,4.3,"","",Modern Drinking,IPA - American,6.4,Browar PINTA,Poland,Local Pub
739216025,2019-04-20,3.0,"","Dortmund, DTLA und weltweit",Tamsusis,Dark Ale,5.8,Vilkmerges Alus,Lithuania,Grill London
731385195,2019-04-02,3.8,"","",Duchessa,Saison / Farmhouse Ale,5.8,Birra Del Borgo,Italy,Perkūnkiemis
742217998,2019-04-28,2.0,"","",Debesainis,Hefeweizen,4.2,Širvėnos bravoras,Lithuania,Etmonų Špunka
734324817,2019-04-09,4.0,"",Minsk,Watermelon Gose(t),Sour - Gose,5.0,WarPigs Brewpub,Denmark,Nisha craft Capital
738301921,2019-04-19,3.0,"",Vilnius,Indulgents,IPA - American,6.5,KOLK,Estonia,Nisha craft Capital
743297850,2019-04-30,2.3,"","Minsk, Belarus",Dlight Juicy Lemon,Shandy / Radler,2.9,Švyturys,Lithuania,Europa City
737863236,2019-04-18,4.8,"","",Leffe Brune / Bruin,Brown Ale - Belgian,6.5,Abbaye de Leffe,Belgium,IKI Fabijoniškių
735826209,2019-04-13,4.3,"","",Toucan,IPA - American,5.6,Browar Nepomucen,Poland,Amazing Eryland
740599222,2019-04-24,3.8,"","",Icelandic White Ale,Witbier,5.2,Einstök Ölgerð,Iceland,Flughafen Vilnius (VNO) (Tarptautinis Vilniaus oro uostas)
737024155,2019-04-15,4.0,"","",Watermelon Gose(t),Sour - Gose,5.0,WarPigs Brewpub,Denmark,Nisha craft Capital
741554831,2019-04-27,4.5,"Nice beer, very good taste, pretty strong","",Brugse Zot Dubbel,Belgian Dubbel,7.5,Brouwerij De Halve Maan,Belgium,The Portobello
735992980,2019-04-13,3.8,"","",Čižo,Spiced / Herbed Beer,4.7,Čižo Bravoras,Lithuania,Alaus Biblioteka
741944383,2019-04-27,1.8,"",Minsk,Tauras Pilsneris,Pilsner - Other,4.6,Kalnapilio-Tauro Grupe UAB ,Lithuania,Jamaika
735971519,2019-04-13,3.8,"","",Czarna Polewka,Stout - Oatmeal,4.8,Browar Łańcut,Poland,Amazing Eryland
736311026,2019-04-14,0.0,"","",IPUTĖ (Little IPA),IPA - American,5.1,Craft & Draft Brewpub & Whiskey,Lithuania,Amazing Eryland
731638373,2019-04-03,5.0,"","Minsk, Belarus",Nath (2017),Lambic - Fruit,5.5,Brasserie Cantillon,Belgium,Nisha craft Capital
737865202,2019-04-18,3.8,"",Vilnius,Mizi Kizi,Porter - English,5.3,Browar PINTA,Poland,Local Pub
