checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
778304613,2019-07-17,2.3,"",Vilnius,Aviečių-Mangų Milkshake,Fruit Beer,4.5,Vilkmerges Alus,Lithuania,Local Pub
773367361,2019-07-06,0.0,"",Belarus,Chimay Blue / Bleue / Blauw (Grande Réserve),Belgian Strong Dark Ale,9.0,Bières de Chimay,Belgium,Beerhouse & Craft Kitchen
777966820,2019-07-16,2.0,"Mi nejede, dost se v názorech rozcházíme, přijde nic jak obyč euro světlá voda, nuda. 0,25",Trebic,Alyno Šviesusis,Lager - Pale,5.0,UAB Alynas,Lithuania,Alynas
779671688,2019-07-20,4.0,"","",Hazy Morning,Pale Ale - New England,4.4,Browar PINTA,Poland,Local Pub
775455573,2019-07-11,3.3,"",Vilnius,Noel,Belgian Strong Dark Ale,6.5,Munkebo Brewery™,Denmark,PROHIBICIJA
775150661,2019-07-10,3.3,"","",ShakeOut C: Tangerine,IPA - Milkshake,8.4,Sori Brewing,Estonia,Alaus Biblioteka
776415613,2019-07-13,2.8,"","",Steam Brew German Red,Bock - Single / Traditional,7.9,Privatbrauerei Eichbaum,Germany,Vilnius
777294554,2019-07-14,3.3,"",Malta,Samson Premium Budweiser Bier,Pilsner - Czech,4.9,Samson (Budějovický měšťanský pivovar),Czech Republic,Alaus studija
779770327,2019-07-20,0.0,"",Vilnius,Foreign Affair Red IPA,IPA - Red,4.8,O'Hara's Brewery (Carlow Brewing Company),Ireland,Šimo Baras
775116192,2019-07-10,4.0,Litauisk öl brygga i Ungern.  Super!,"",GOSE,Sour - Gose,4.5,Black Light Brewing ,Lithuania,Alaus Biblioteka
775145305,2019-07-10,3.0,"","",Nefiltruotas,Traditional Ale,5.0,Kauno Alus,Lithuania,Nisha craft Capital
772214867,2019-07-04,3.8,"","",Ragnar,Porter - Baltic Imperial / Double,10.7,Trzech Kumpli,Poland,Alaus Biblioteka
771742943,2019-07-03,3.3,"",Ilebaren,Jailhouse Brew,Stout - Imperial / Double Oatmeal,9.1,Vaat,Estonia,vilnius city camping
778622138,2019-07-18,3.5,"","",IPA,IPA - American,6.5,Alinė Leičiai,Lithuania,Aline Leičiai
772191713,2019-07-04,3.8,"","",Fogged Up,IPA - Imperial / Double,8.0,To Øl,Denmark,Alaus Biblioteka
771640527,2019-07-03,3.8,Proper bitter. Godt med avbrekk fra Neipas noen dager.,"",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,One for All
772092481,2019-07-04,3.0,Basic Witbier,Oulu,Kvietinis,Witbier,5.0,Vilkmerges Alus,Lithuania,Šnekutis
773395995,2019-07-06,3.8,"",Oulu,Kosmosas,Porter - Baltic,7.2,"Bravoras ""Apynys""",Lithuania,Grata Hotel
777246841,2019-07-14,2.8,"","",Craft Sidras,Cider - Traditional,5.4,Vilkmerges Alus,Lithuania,Čili Pica
775460274,2019-07-11,3.0,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Plus Plus Plus
773495454,2019-07-06,3.0,"","",Simkala APA,Pale Ale - American,5.3,Širvėnos bravoras,Lithuania,Lokys
778278978,2019-07-17,3.3,"","",Grafo,Lager - Pale,5.2,UAB Biržų Alus ,Lithuania,Šnekutis
774826647,2019-07-09,3.8,"",Vilnius,Viva Śliwa,Grätzer / Grodziskie,3.9,Browar Nepomucen,Poland,Local Pub
