checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
795204723,2019-08-23,4.0,"","","Batch #2",Stout - Imperial / Double,12.0,Albert The Great,Spain,Nisha craft Capital
797687461,2019-08-28,3.0,"",Casa Stevo y Suzy 2.0,Black Avalanche (Černá lavina),Lager - Euro Dark,5.0,Bernard Brewery,Czech Republic,Gringo Pub
796258128,2019-08-25,4.3,"","",Sour Ale With Berries,Sour - Other,3.5,Sakiškių Alus,Lithuania,PROHIBICIJA
796631072,2019-08-25,4.5,"","",Kuukõndija,Stout - Foreign / Export,7.5,Õllenaut,Estonia,Nisha craft Capital
795454992,2019-08-24,3.8,"",Vilnius,Coconut Milk Stout,Stout - Milk / Sweet,4.7,Sakiškių Alus,Lithuania,PROHIBICIJA
795354654,2019-08-23,1.5,"","",Sól,Gluten-Free,4.6,Munkebo Brewery™,Denmark,PROHIBICIJA
796262246,2019-08-25,4.3,"","",Dangerously Close To Stupid Amount of Guava,IPA - Imperial / Double,9.3,To Øl,Denmark,PROHIBICIJA
795215497,2019-08-23,2.0,"","",Coconut Milk Stout,Stout - Milk / Sweet,4.7,Sakiškių Alus,Lithuania,Aliumbas
794159864,2019-08-20,2.8,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Republic No.4
794190196,2019-08-20,3.5,"",Denekamp ,Kalifornikacija,Pale Ale - American,5.2,Genys Brewing Co.,Lithuania,Vilniaus rotušė | Town Hall (Vilniaus rotušė)
794188567,2019-08-20,2.0,"Strong dark taste, nearly no hops and floral tast","",Dubults IPA,IPA - American,7.2,Širvėnos bravoras,Lithuania,Republic No.4
795786146,2019-08-24,3.5,"","Carnikava, Latvia",Juodras,Porter - English,4.5,Tikras Alus,Lithuania,Nisha craft Capital
795298231,2019-08-23,3.0,"","",Praga Dark Lager,Lager - Euro Dark,4.5,Praga,Czech Republic,Paviljonas
794176686,2019-08-20,3.5,"","",Sur Bær,Sour - Fruited,7.0,To Øl,Denmark,Alaus Biblioteka
795934927,2019-08-24,2.8,"",Vilnius,Tropinis Škvalas,IPA - Session / India Session Ale,4.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Spiritus
794160890,2019-08-20,3.3,"","",Vilniaus Nefiltruotas Šviesusis,Lager - Pale,5.2,Vilniaus Alus,Lithuania,Jimmy Jumps Hostel
795297832,2019-08-23,3.8,"","",Juodras,Porter - English,4.5,Tikras Alus,Lithuania,Nisha craft Capital
795357775,2019-08-23,4.5,"","",Čia Comet,IPA - American,5.7,Kuro Aparatūra,Lithuania,Aliumbas
794477264,2019-08-21,3.5,"","",Vasaknų dvaro Kvietinis,Witbier,5.0,Vasaknų dvaro alus,Lithuania,Alaus Biblioteka
795909942,2019-08-24,3.5,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Peronas
795154238,2019-08-23,3.3,"",Vilnius,Session Reparationsbajer,Gluten-Free,3.5,To Øl,Denmark,PROHIBICIJA
797668837,2019-08-28,4.0,"","",You Know It Gurl,IPA - Imperial / Double New England,8.0,Brewski,Sweden,Nisha craft Capital
795793900,2019-08-24,4.3,"","",Russian Imperial Stout,Stout - Russian Imperial,10.0,Browar Jabłonowo,Poland,Vivulskio balkonas
795264314,2019-08-23,4.0,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Vilnius
797655397,2019-08-28,3.8,"Pretty smooth, fruity and smooth white ale!","",Icelandic White Ale,Witbier,5.2,Einstök Ölgerð,Iceland,Beer House
795239206,2019-08-23,3.5,"",Kaunas,Grikių Elis,Farmhouse Ale - Other,5.8,Sakiškių Alus,Lithuania,Aliumbas
794874434,2019-08-22,3.3,"",Denekamp ,Witukas (witbier),Witbier,5.0,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
794245195,2019-08-20,3.3,"","",Nuogas Ruonis (Naked Seal),Blonde Ale,5.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Arka
795317754,2019-08-23,0.0,"","New York, NY",Džion Borna,Hefeweizen,5.0,Panevėžio Alus,Lithuania,Špunka
796151596,2019-08-24,4.3,"",Minsk,Icelandic Arctic Pale Ale,Pale Ale - English,5.6,Einstök Ölgerð,Iceland,Alaus Biblioteka
795239588,2019-08-23,3.5,"","",Grikių Elis,Farmhouse Ale - Other,5.8,Sakiškių Alus,Lithuania,Aliumbas
796591453,2019-08-25,4.8,"","",Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Pilaitė
794269613,2019-08-21,4.0,"","",Bėganti Kopa (Running Dune),Witbier,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Republic No.4
795145202,2019-08-23,1.8,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,SVYTURYS 1784
794266134,2019-08-20,3.3,"","",Spitfire Amber Kentish Ale,English Bitter,4.5,Shepherd Neame,England,Šv. Teresės bažnyčia | Church of St Theresa (Šv. Teresės bažnyčia)
