checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
956511119,2020-10-23,0.0,"","",Adlerkönig Urtyp Hell,Lager - Helles,4.7,Der Hirschbräu - Privatbrauerei Höss,Germany,Alaus Biblioteka
953853431,2020-10-16,3.3,"",Biržai,Cydr Polski Klasyczny,Cider - Traditional,4.5,TiM,Poland,vytenio Stotele
954427371,2020-10-17,1.5,"Guess its supposed to be medieval in style, but just doesn't quite sit right","",American Pale Ale,Pale Ale - American,5.2,Alinė Leičiai,Lithuania,Aline Leičiai
948573256,2020-10-02,3.0,"","",Estrella Damm Inedit,Wheat Beer - Witbier,4.8,Grupo Damm,Spain,el bario
956332625,2020-10-23,3.3,"",Vilnius,Kapuziner Hefe Dunkel Naturtrüb / Bavarian Schwarz-Weizen,Dunkelweizen,5.4,Kulmbacher Brauerei,Germany,Žvėryno pakilimo takas
952446469,2020-10-11,3.8,"","",Maukas,Golden Ale,4.3,Kuro Aparatūra,Lithuania,Gringo Pub
958089443,2020-10-27,3.0,Su nuostabiausiais vyrukais geriam skaniausia aluti! Much love 💜❤️💜❤️💜❤️,"",Corona Extra,Lager - American,4.6,Grupo Modelo,Mexico,Vilnius Tech Park
956006862,2020-10-22,3.8,"","",Wicked Awesome,IPA - New England,6.5,Nickel Brook Brewing Co.,Canada,Nisha craft Capital
956423201,2020-10-23,4.5,"","",Dolis,Stout - Imperial / Double,11.0,Wander Beyond Brewing,England,Nisha craft Capital
956375934,2020-10-23,4.3,"","",Who Cares Editions: Totem Dryhopped Sour,IPA - Sour,5.4,Brauhaus Bevog,Austria,Nisha craft Capital
957134122,2020-10-24,4.3,"","",Let's Get Hazy No. 2,IPA - Imperial / Double New England,7.0,Funky Fluid,Poland,Local Pub
950868167,2020-10-08,3.5,"","",Jūros Kranto,Lager - Helles,4.8,Mažas Alaus Cechas,Lithuania,Georgian House
952417291,2020-10-11,3.5,"","",Grimbergen Belgian Pale Ale,Pale Ale - Belgian,5.5,Kronenbourg Brewery,France,Amerigo Boulingas
955800895,2020-10-21,4.0,"","Vilnius, Lithuania",Hoppy Lager,Lager - American,5.5,Volfas Engelman,Lithuania,Republic No.4
959693617,2020-10-31,4.0,"",Lithuania,Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Vilnius Beer Museum
956372510,2020-10-23,4.0,Keli gurkšniai iš Ievos. Gera rūgštelė.,Vilnius,Aloha!,Sour - Fruited,3.5,Deer Bear,Poland,Local Pub
953015518,2020-10-13,4.3,Cheers Evaldas O.!,LTU,C4,IPA - American,6.1,Nova Runda,Croatia,Nisha craft Capital
954302992,2020-10-17,3.8,Classic porter.,"Vilnius, Lithuania",Taddy Porter,Porter - English,5.0,Samuel Smith,England,Gero alaus parduotuvė
951195343,2020-10-09,3.5,"",Vilnius,Jaipur,IPA - English,5.9,Thornbridge Brewery,England,Nisha craft Capital
949862170,2020-10-04,4.5,"","",Cherry Island,Porter - Imperial / Double Baltic,10.0,Põhjala,Estonia,Alaus Biblioteka
951296265,2020-10-09,4.5,"","",Melting Dreams,Sour - Other,7.0,CoolHead Brew,Finland,Nisha craft Capital
952435704,2020-10-11,3.0,"","Vilnius, Lithuania",Aveņu Mediņš,Mead - Other,2.7,Alus Darbnīca Labietis,Latvia,Gero alaus parduotuvė
954321812,2020-10-17,4.0,"","",Deep Dive DDH,IPA - Imperial / Double,7.5,"""Apynys"" Brewing",Lithuania,Dėvėti
948364534,2020-10-01,3.5,"",Kaunas,Noc Kupały,Stout - Foreign / Export,6.4,Browar Perun,Poland,Alaus kolonele
951203145,2020-10-09,4.0,"","",Hop House 13 (5.0%),Lager - Pale,5.0,Guinness,Ireland,Lazdynu rajonas
951751921,2020-10-10,4.0,"","",Fuck Art - Winter Is Coming,Belgian Tripel,8.0,To Øl,Denmark,Alaus Biblioteka
955795747,2020-10-21,3.5,"","",Kiss the Beast vol.2,IPA - Triple,8.5,Browar Birbant,Poland,Local Pub
953481560,2020-10-15,2.5,Šuds,"",Kurko Keptinis,Farmhouse Ale - Other,5.2,Širvėnos bravoras,Lithuania,Etmonų Špunka
958966042,2020-10-30,3.5,"","",Pink Grapefruit IPA,IPA - American,5.5,Brouwerij Kees,Netherlands,Nisha craft Capital
958801180,2020-10-30,3.8,"","Vilnius, Lithuania",Punk IPA,IPA - American,5.2,BrewDog,Scotland,Archie's Burger
951147787,2020-10-09,0.0,"","",PINTA Collab PL: Ziemia Obiecana,IPA - New England,6.2,Browar PINTA,Poland,Local Pub
952413046,2020-10-11,4.5,"",Lithuanija,Spaten München / Münchner Hell / Premium Lager,Lager - Helles,5.2,Spaten-Franziskaner-Löwenbräu-Gruppe,Germany,Republic No.4
956610590,2020-10-24,3.5,"","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Republic No.4
954653479,2020-10-17,3.3,"","",The Hopping Hare,Pale Ale - English,4.4,Badger Beers (Hall & Woodhouse),England,The Portobello
951314972,2020-10-09,3.3,"","",The Dealer,Pale Ale - American,4.7,Brokreacja,Poland,3 pub
956848829,2020-10-24,4.0,"","",Wicked Awesome,IPA - New England,6.5,Nickel Brook Brewing Co.,Canada,Nisha craft Capital
949823507,2020-10-04,3.8,"Refreshments are here, bicycle people friendly","",Saulenis,Golden Ale,4.8,Širvėnos bravoras,Lithuania,Špunka
950402246,2020-10-06,3.8,"","",Canabis,Blonde Ale,5.3,Klausučių Bravoras (UAB Armėniukas),Lithuania,iBar
957059458,2020-10-24,4.0,"","",Hazy Disco - Burgas,IPA - Imperial / Double New England,7.2,Browar PINTA,Poland,Local Pub
949896198,2020-10-04,2.8,"","",ART32 Belgian Dubbel,Belgian Dubbel,7.6,Browar Stu Mostów,Poland,Nisha craft Capital
956535522,2020-10-23,4.3,"","",Apynių Sodas ,Pale Ale - International,5.3,Panevėžio Alus,Lithuania,Savičiaus Špunka
