checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
976114941,2020-12-18,3.3,"","",Kubitas,Porter - Other,7.0,Panevėžio Alus,Lithuania,Viršuliškės
979580719,2020-12-25,3.3,"",Vilnius,Mango Milkshake,Pale Ale - Milkshake,5.6,Volfas Engelman,Lithuania,Viršuliškės
975430721,2020-12-16,3.8,"","",Kauno Lengvas,Lager - Helles,4.1,Kauno Alus,Lithuania,Radisson Blu Hotel Lietuva
977365269,2020-12-20,3.5,Per brangus,"",IKI Gourmet IPA,IPA - International,5.7,Iki Gourmet,Lithuania,Erfurto g.
975699422,2020-12-17,3.5,"","",Istorinis Nefiltruotas,Lager - Euro Pale,5.2,Volfas Engelman,Lithuania,Radisson Blu Hotel Lietuva
982109377,2020-12-31,4.0,"",Vilnius,Do Stuff Together,Pale Ale - New England,4.7,Mikkeller,Denmark,King & Mouse
974127225,2020-12-12,4.5,"","",Hay Day,Farmhouse Ale - Saison,6.5,Varvar Brew,Ukraine,manoalus.lt
977705143,2020-12-22,4.0,"","",Hitachino Nest Red Rice Ale,Specialty Grain,7.0,Kiuchi Brewery,Japan,Maxima XX
980969022,2020-12-28,3.0,"Не понял почему-то, но остринка есть и  цедра в вкусе","",Newspepper,Chilli / Chile Beer,5.6,Gletcher Brewery (Глетчер),Russia,Justiniskiu pievos
977874956,2020-12-22,3.8,"","",Ant Denio Auga Klevas,Porter - Other,4.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Kalėdinis begimas
974727873,2020-12-13,3.8,Visai nieko,"",Sauna Session®️,Spiced / Herbed Beer,4.7,Tanker Brewery,Estonia,Žvėrynas
972039944,2020-12-06,4.3,Garažinis alus,"Vilnius, Lithuania",Latgales Lager Hell,Lager - Helles,4.5,Latgales Alus,Latvia,Garažai
980725844,2020-12-27,2.8,"","",Honey Dew,Golden Ale,5.0,Fuller's Brewery,England,Bajoru kalvu akmuo
978257461,2020-12-23,3.8,"",Deez nuts,Kalnapilis Pilsner,Pilsner - Other,4.6,Kalnapilis Brewery,Lithuania,Lietuvos rusų dramos teatras (Rusų Dramos Teatras)
974562184,2020-12-13,4.3,"",Vilnius,A Ship Full of IPA,IPA - American,5.8,Brutal Brewing,Sweden,gudelių piliakalnis
978214031,2020-12-23,4.0,"Весьма неплохо. Цитрус, цветочки, питко",Minsk,Hoppy Tree Friends,Lager - Pale,5.0,Bear and Boar,Lithuania,covid testavimo punktas
980712226,2020-12-27,4.0,"","",Hoppy Crew: What's Next?,IPA - Imperial / Double Black,8.5,Browar PINTA,Poland,manoalus.lt
982188017,2020-12-31,4.8,"","",Varniuku Tamsusis,Dark Ale,5.6,UAB Alynas,Lithuania,Vilnius City Center
982060006,2020-12-31,3.3,"",Vilnius,Fruitesse,Fruit Beer,3.8,Brouwerij Liefmans,Belgium,gudelių piliakalnis
979337227,2020-12-25,3.5,"","",Koniec Świata / Happy End,Farmhouse Ale - Sahti,7.9,Browar PINTA,Poland,manoalus.lt
973890639,2020-12-12,3.0,"",Vilnius,Indie,Pale Ale - International,4.2,BrewDog,Scotland,Karoliniškių valstybinis kraštovaizdžio draustinis
970550630,2020-12-03,3.5,"","",Neukölln,Sour - Fruited Berliner Weisse,5.5,Põhjala,Estonia,Alaus Biblioteka
978931110,2020-12-24,4.8,"","",Aklas Binoklis,IPA - American,5.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Maxima X
981728396,2020-12-30,3.3,"","",Dobry Wieczór,Stout - Oatmeal,4.9,Browar PINTA,Poland,manoalus.lt
981008698,2020-12-28,3.0,"","",Gurmans Dark Ale (Tamsus Elis),Dark Ale,5.2,Kauen Craft,Lithuania,PIZZA LIUX
977854383,2020-12-22,3.3,"","",Kalėdinis,Spiced / Herbed Beer,6.0,Rinkuškiai,Lithuania,Kalėdinis begimas
982196486,2020-12-31,2.8,"","",Shipyard American IPA,IPA - American,5.0,Marston's Brewery,England,Bajoru kalvu akmuo
979437023,2020-12-25,3.8,"","",Dunkle Macht,Porter - Other,6.6,Landgang Brauerei,Germany,ŠV. SES. FAUSTINOS NAMELIS
981755592,2020-12-30,2.8,"","",Dirty Duck Cannabis,Spiced / Herbed Beer,5.6,Biržų Alus ,Lithuania,Žvėrynas
979938924,2020-12-26,4.0,"",Vilnius,Vintage Ale (2017),Old Ale,8.5,Fuller's Brewery,England,King & Mouse
976808279,2020-12-19,4.3,"","","DDH Hops x Art #08 IPA",IPA - New England,6.5,Ārpus Brewing Co.,Latvia,Bajoru kalvu akmuo
972454298,2020-12-07,2.3,"Atrodo puikus ir pilnas skoniu! Keptinis, daug kavos ir gal slyvu ar siaip dziovintu vaisiu. Maloniai užsibūnantis karčios kakavos poskonis.  Bet visgi ne mano džemas tie burbono skoniai, o gaaaaal 12 laispniu stipruolis per daug ramiam pirmadienio vakaru","",Black Inverno,Stout - Imperial / Double,12.0,In Peccatum Craft Beer,Spain,Open Beach
976166839,2020-12-18,3.5,Rugstokas atrodo,"",Oatmeal Stout,Stout - Oatmeal,5.0,Samuel Smith,England,Viršuliškės
