checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
885277117,2020-04-10,3.3,"","",Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Etmonų Špunka
885269390,2020-04-10,4.3,"","",DeJAVU,Hefeweizen,5.0,Panevėžio Alus,Lithuania,Vėjai
886171402,2020-04-12,5.0,"Labai neblogas alus, 1 balą pridėjau dėl pavadinimo :)","",Joniškėlio Respublika 1919,Lager - Euro Pale,5.2,UAB Joalda,Lithuania,Linkmenu g.
888908086,2020-04-23,4.0,"","",Estrella Damm,Lager - Pale,5.4,Grupo Damm,Spain,Flight To Barcelona
885274688,2020-04-10,3.5,"","",Daujotų Senojo Recepto APA,Lager - Pale,5.6,Davra Alaus Darykla,Lithuania,Bar Bukowski
890568742,2020-04-27,2.5,Kaimiš whatever,Kaunas,Bukowskio Ašara,Lager - Pale,5.0,Švyturys,Lithuania,Bar Bukowski
884760584,2020-04-08,4.0,"","",Mutant Disco II,IPA - White,5.5,Põhjala,Estonia,Forum Cinemas Kino Baras 4a
885277744,2020-04-10,3.0,"","",Švedpolis,Pilsner - German,5.1,Panevėžio Alus,Lithuania,Bambalynė
885275435,2020-04-10,3.8,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Etmonų Špunka
889027960,2020-04-23,2.8,not so bad,"",Velvet Brown Ale,Brown Ale - Other,5.9,Gubernija,Lithuania,Alynas
891135749,2020-04-30,4.5,"","",La Fumée Sans Feu,Smoked Beer,6.5,Lagabière,Canada,Nisha craft Capital
885625398,2020-04-11,3.8,"",Lithuania,Atak Chmielu,IPA - American,6.1,Browar PINTA,Poland,Planetariumas
882767658,2020-04-01,4.0,"","",Sakai Sakai,Kölsch,4.7,Kuro Aparatūra,Lithuania,Prohibicija Pub
886543339,2020-04-14,3.5,"","",I Don't Have A Red Shrimp.,Pilsner - Other,4.6,Mikkeller,Denmark,Bajorų kalvų fontanas
885858899,2020-04-11,3.8,"","",País Tropical 2019,IPA - Session / India Session Ale,4.5,Oedipus Brewing,Netherlands,Bajorų kalvų fontanas
885050154,2020-04-09,2.3,"",Vilnius,Horn Premium,Lager - Euro Pale,5.0,Volfas Engelman,Lithuania,Viršuliškės
882808765,2020-04-01,4.0,Leffe is Leffe :),"",Leffe Brune / Bruin,Brown Ale - Belgian,6.5,Abbaye de Leffe,Belgium,Linkmenu g.
890911773,2020-04-29,4.0,"","",Coffeecat,Stout - Oatmeal,6.5,Browar Rockmill,Poland,Nisha craft Capital
891104614,2020-04-30,4.0,Open season!!!,"",Gose To Hollywood,Sour - Gose - Fruited,3.8,To Øl,Denmark,Prohibicija Pub
886101540,2020-04-12,4.5,"",Lithuania,Black Malts & Body Salts,IPA - Imperial / Double Black,9.9,To Øl,Denmark,Planetariumas
890561365,2020-04-27,4.0,Fuck drinking at home. We’re going OUT!,Kaunas,IPA,IPA - American,6.2,Lagunitas Brewing Company,United States,Amadeus
890753131,2020-04-28,4.5,Extremely pleasant. Love it,"",Galvė,Pale Ale - International,5.0,Pilialaukis,Lithuania,City Chef
885849529,2020-04-11,3.5,"","",Raging Bitch,IPA - Belgian,8.3,Flying Dog Brewery,United States,Bajorų kalvų fontanas
889782583,2020-04-25,3.5,"","",Pilky,Pilsner - German,5.0,Põhjala,Estonia,Prohibicija Pub
886438843,2020-04-13,4.3,Viena geriausių ragautų IPA Lietuvoje :),"",Tasmanijos Vilko IPA,IPA - International,5.7,UAB Joalda,Lithuania,Linkmenu g.
887365672,2020-04-17,3.5,"","",Studio Oedipus No. 28,Pilsner - Other,5.0,Oedipus Brewing,Netherlands,Bajorų kalvų fontanas
886116246,2020-04-12,3.5,"","",SUNDAY Easy Pale Ale,Pale Ale - American,5.5,AND UNION,Germany,Fuksas
890963976,2020-04-29,4.0,"",LTU,Lumberjack Juice,Sour - Other,5.5,CoolHead Brew,Finland,Nisha craft Capital
891227493,2020-04-30,4.0,"",LTU,Just A Little Crush,Pale Ale - American,4.0,Odyssey Brew Co,England,Nisha craft Capital
890755705,2020-04-28,3.8,Waziojem,"",Kosmos,IPA - New England,5.5,Põhjala,Estonia,Aliumbas
888451807,2020-04-20,3.3,"","",Oxford Gold,Golden Ale,4.6,Brakspear Brewing Company,England,Bajoru kalvu akmuo
885279192,2020-04-10,4.3,"","",Leffe Brune / Bruin,Brown Ale - Belgian,6.5,Abbaye de Leffe,Belgium,Brussels Mussels
890727120,2020-04-28,4.5,"","",Coffeecat,Stout - Oatmeal,6.5,Browar Rockmill,Poland,Nisha craft Capital
886116337,2020-04-12,3.5,"","",Steph Weiss,Hefeweizen,5.0,AND UNION,Germany,Bar Bukowski
886787419,2020-04-15,4.0,Dovanotas porteris visada skanesnis :) Ačiū broliui Gediminui!,"",Alaus Laiškai Baltic Porter,Porter - Baltic,6.0,Volfas Engelman,Lithuania,Linkmenu g.
890574530,2020-04-27,3.8,"","",Busi Trecias APA,IPA - American,0.0,Būsi Trečias,Lithuania,Būsi Trečias
889249498,2020-04-24,4.0,"","",Soho Svitins (Soho Dandy),English Bitter,4.4,Alus Darbnīca Labietis,Latvia,Genys Taproom Vilnius
887477988,2020-04-18,3.8,"",Lithuania,Maple Winter Ale,Belgian Blonde,6.0,Munkebo Brewery™,Denmark,Planetariumas
890188611,2020-04-26,3.8,"","",Orange Gose,Sour - Gose - Fruited,5.5,Põhjala,Estonia,Prohibicija Pub
890928981,2020-04-29,4.3,"","",Just A Little Crush,Pale Ale - American,4.0,Odyssey Brew Co,England,Nisha craft Capital
882999978,2020-04-02,3.3,"","",Pango IPA,IPA - American,5.9,Brewski,Sweden,Nisha craft Capital
882777391,2020-04-01,3.0,Too sweet for my taste,"",Open,IPA - New England,6.0,FREETHOUGHT,United States,Nisha craft Capital
885278478,2020-04-10,4.5,"","",Tennent's Stout,Stout - English,4.7,Tennent's Caledonian Brewery,Scotland,Beer House
885279526,2020-04-10,3.8,"","",Leffe Blonde / Blond,Belgian Blonde,6.6,Abbaye de Leffe,Belgium,Brussels Mussels
890729653,2020-04-28,4.0,"","",Lumberjack Juice,Sour - Other,5.5,CoolHead Brew,Finland,Nisha craft Capital
883794638,2020-04-04,4.0,"Hoppy, refreshing, light and quite sessionable.","Vilnius, Lithuania",Zirga Galva,IPA - New England,5.5,Genys Brewing Co.,Lithuania,Alaus Biblioteka
886838707,2020-04-15,2.8,"",Vilnius,Barley Bros With Nordic Berries & Rosemary,Malt Liquor ,0.0,Utenos Alus,Lithuania,Viršuliškės
886237540,2020-04-12,4.0,"","",SÆMUNDUR NR.49,Pale Ale - International,4.7,Borg Brugghús,Iceland,Bajoru kalvu akmuo
891155063,2020-04-30,3.5,Nebe namie pagaliau :D,"",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Etno Dvaras
882772339,2020-04-01,3.5,"","",Jejune,IPA - American,6.8,FUERST WIACEK,Germany,Nisha craft Capital
886484580,2020-04-13,3.8,"","",Panty,Stout - American,6.0,Oedipus Brewing,Netherlands,Bajorų kalvų fontanas
890763424,2020-04-28,3.8,"","",Praga Dark Lager,Lager - Euro Dark,4.5,Praga,Czech Republic,Paviljonas
885800326,2020-04-11,3.5,"","",3xMAS,IPA - Session / India Session Ale,4.7,To Øl,Denmark,Forum Cinemas Kino Baras 4a
884995491,2020-04-09,4.0,"",Lithuania,Bearded John,Bock - Weizenbock,7.0,Vasaknų dvaro alus,Lithuania,Planetariumas
888835702,2020-04-22,3.8,"","",$5 Shake ,Wheat Beer - Other,5.5,Cinema Brewers,Netherlands,Bajorų kalvų fontanas
890768886,2020-04-28,3.8,Amazing time. Great with dark chocolate,"Vilnius, Lithuania",Pug Face,Brown Ale - Other,6.3,V1 Brewery,Latvia,Tuskulėnai
887907521,2020-04-19,3.5,"",Lithuania,Italian Style Sour Ale,Sour - Berliner Weisse,4.5,Genys Brewing Co.,Lithuania,Planetariumas
884794027,2020-04-08,3.3,"",Vilnius,Defender IPA,IPA - American,5.5,Brooklyn Brewery,United States,Viršuliškės
890737533,2020-04-28,3.0,K: tasty. But J: fricken delicious. I only got a sip but. It did everything I wanted.,Lithuania (most of the time),Õhtu,Porter - American,5.5,Põhjala,Estonia,Aliumbas
884935251,2020-04-09,4.0,"",Vilnius,Hobgoblin Legendary Ruby Beer,Brown Ale - English,5.2,Wychwood Brewery,England,Quarantine(Karantina)
890911142,2020-04-29,4.0,"","",Sunshine Bay,IPA - New England,7.5,Browar Rockmill,Poland,Nisha craft Capital
891149449,2020-04-30,3.3,"","",Gose To Hollywood,Sour - Gose - Fruited,3.8,To Øl,Denmark,Prohibicija Pub
891120222,2020-04-30,3.5,"","",Just A Little Crush,Pale Ale - American,4.0,Odyssey Brew Co,England,Nisha craft Capital
885276756,2020-04-10,3.0,"","",Wakatu,Golden Ale,5.2,Širvėnos bravoras,Lithuania,BaraBaras
884905624,2020-04-09,3.0,"",Lithuania,M.R. Shady,Stout - Coffee,5.0,Vasaknų dvaro alus,Lithuania,Planetariumas
886101587,2020-04-12,4.0,"",Lithuania,Silver Star,IPA - American,6.5,Browar PINTA,Poland,Planetariumas
889056331,2020-04-23,2.3,"","",Ginger Beard,Ginger Beer,4.2,Wychwood Brewery,England,Bajorų kalvų fontanas
885276917,2020-04-10,3.3,"","",Cyrulis,Pilsner - Other,4.9,Panevėžio Alus,Lithuania,Etmonų Špunka
890742406,2020-04-28,0.0,"","",KIPšAs,IPA - American,5.5,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
886238880,2020-04-12,3.5,"","",ReAle Extra,IPA - American,6.4,Birra Del Borgo,Italy,Bajoru kalvu akmuo
884356206,2020-04-06,4.3,"",Lithuania,Havana Stout,Stout - Foreign / Export,6.9,Browar PINTA,Poland,Planetariumas
891120041,2020-04-30,3.8,"","",Just A Little Crush,Pale Ale - American,4.0,Odyssey Brew Co,England,Nisha craft Capital
888604035,2020-04-21,3.8,"","",Karpių Dvaro alus,Lager - Euro Dark,5.8,UAB Joalda,Lithuania,Linkmenu g.
890734238,2020-04-28,3.5,Very nice and refreshing,"",König Ludwig Weissbier Hell / Royal Bavarian Hefe-Weizen,Hefeweizen,5.5,König Ludwig Schlossbrauerei Kaltenberg,Germany,City Chef
885345259,2020-04-10,3.8,Nice saison with farm taste👍🙂,"",Mannenliefde,Farmhouse Ale - Saison,6.0,Oedipus Brewing,Netherlands,Bajoru kalvu akmuo
887847167,2020-04-18,4.3,"","",Zwarte Ziel BA Bourbon Blend,Porter - Imperial / Double,10.0,Jopen,Netherlands,Bajoru kalvu akmuo
883234920,2020-04-03,2.8,"","",Kauno Lengvas,Lager - Helles,4.1,Kauno Alus,Lithuania,Bajoru kalvu akmuo
887788720,2020-04-18,2.5,"",Lithuania,Santaños Lager,Lager - American Light,4.5,A. Le Coq,Estonia,Planetariumas
890750450,2020-04-28,3.5,Post quarantine piwo,"",Gose To Hollywood,Sour - Gose - Fruited,3.8,To Øl,Denmark,Aliumbas
890737827,2020-04-28,4.0,J: One of my favourites. On tap. From my favourite beer ppl in town. It felt so good to drink outside. Great sour. Fresh citrus. K: smells amazing. Super sour. Pucker face.,Lithuania (most of the time),Gose To Hollywood,Sour - Gose - Fruited,3.8,To Øl,Denmark,Aliumbas
889025752,2020-04-23,0.5,some kvassy drink.,"",Varniukų Tamsus,Dark Ale,5.6,Davra Alaus Darykla,Lithuania,Alynas
884199967,2020-04-05,3.3,"","",Varniukų Tamsus,Dark Ale,5.6,Davra Alaus Darykla,Lithuania,Bajorų kalvų fontanas
888835137,2020-04-22,3.5,"","",Maledetta,Brown Ale - Belgian,6.2,Birra Del Borgo,Italy,Bajorų kalvų fontanas
889304961,2020-04-24,4.0,Show must go on :),LTU,Sunshine Bay,IPA - New England,7.5,Browar Rockmill,Poland,Nisha craft Capital
889783238,2020-04-25,0.0,"","",Rye River,Rye Beer,4.5,Põhjala,Estonia,Prohibicija Pub
886116180,2020-04-12,4.3,"","",FRIDAY IPA,IPA - American,6.5,AND UNION,Germany,Fuksas
891109334,2020-04-30,4.0,"","",Kosmos,IPA - New England,5.5,Põhjala,Estonia,Prohibicija Pub
