checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
912259312,2020-06-30,4.0,"","",Funky Garden Vol.1,IPA - Imperial / Double New England,8.0,Maltgarden,Poland,Local Pub
908558444,2020-06-20,3.8,"","",B-Day 7.0 The Big Pig,IPA - International,5.1,Browar PINTA,Poland,Local Pub
904636983,2020-06-10,5.0,"","",Guinness Draught,Stout - Irish Dry,4.2,Guinness,Ireland,Republic No.4
908378548,2020-06-20,3.0,"","",Stains,Pale Ale - American,5.5,Omnipollo,Sweden,Prohibicija Pub
902766303,2020-06-05,4.0,"","",Marzipan Praline,Stout - Imperial / Double Pastry,10.0,CoolHead Brew,Finland,Nisha craft Capital
903384129,2020-06-06,1.3,":/ too much dry hopping, does not taste like a sour beer","",Braraba,Sour - Fruited,6.5,Omnipollo,Sweden,Prohibicija Pub
901870886,2020-06-01,4.0,"",Vilnius,Rocknrolla,Pale Ale - American,5.3,Browar Kingpin,Poland,Local Pub
902482751,2020-06-04,3.5,"Interesting taste, as if you were drinking fluid sand, well the name is pretty accurate.","",Sandy,Hefeweizen,4.8,Funky Fluid,Poland,Local Pub 3
904224099,2020-06-08,3.5,"",Mikulow,Edelweiss Blanche,Wheat Beer - Witbier,5.0,Heineken France,France,Marsas
906811461,2020-06-15,3.5,"","",Kovarnių,Smoked Beer,6.2,Panevėžio Alus,Lithuania,Etmonų Špunka
911047746,2020-06-27,5.0,"","",Daujotų Kvietinis,Hefeweizen,0.0,Davra Alaus Darykla,Lithuania,Vilnius-Palanga
904822065,2020-06-11,3.0,"","",Ganveik Kveik,Farmhouse Ale - Other,6.0,Panevėžio Alus,Lithuania,Šnekutis
910180146,2020-06-25,3.5,"","",Spring,IPA - American,6.8,Funky Fluid,Poland,Local Pub
907766836,2020-06-19,3.3,"","",Amadeo Deo,Hefeweizen,5.0,Browar PINTA,Poland,Local Pub
903845596,2020-06-07,0.0,"",Vilnius,Guinness Draught,Stout - Irish Dry,4.2,Guinness,Ireland,The Portobello
902285766,2020-06-03,0.0,"","",Grisette,Grisette,5.0,The Flying Inn,Spain,Local Pub
909362027,2020-06-22,1.8,"","",Naked Lager Saaz Hops,Non-Alcoholic Beer,0.0,Gubernija,Lithuania,Olifėja HQ
902751989,2020-06-05,3.8,"","",Premium,Pilsner - Czech,5.0,Primátor,Czech Republic,Baziliskas
903851463,2020-06-07,3.5,"","",Grimbergen Dubbel,Belgian Dubbel,6.5,Brouwerij Alken-Maes,Belgium,Grill Terrace @VCUP
903281168,2020-06-06,0.0,"",Vilnius,Būsi Trečias Juodas,Lager - Dark,6.5,Būsi Trečias,Lithuania,Būsi Trečias
902079345,2020-06-02,1.5,Butelinis geresnis,"",Kalnapilis Original,Lager - Pale,5.0,Kalnapilis Brewery,Lithuania,Pliuspliusplius Baras
910452374,2020-06-26,4.3,"",LTU,Wicked Awesome,IPA - New England,6.5,Nickel Brook Brewing Co.,Canada,Nisha craft Capital
908036991,2020-06-20,3.3,"","",Kiečių Gruit,Gruit / Ancient Herbed Ale,5.6,Panevėžio Alus,Lithuania,Etmonų Špunka
904398121,2020-06-09,2.3,Toks liūdnesnis,"",Paulaner Hefe-Weißbier Alkoholfrei,Non-Alcoholic Beer,0.5,Paulaner Brauerei,Germany,PIZZA LIUX
902046799,2020-06-02,4.0,"","",Brut Ale With Grapes,Bière de Champagne / Bière Brut,5.5,Sakiškių Alus,Lithuania,Nisha craft Capital
902051722,2020-06-02,4.0,"","",Herbe à Détourne,Belgian Tripel,10.2,Brasserie Dieu du Ciel!,Canada,Nisha craft Capital
908978999,2020-06-21,3.8,"","",The Alchemist,IPA - American,6.4,Brokreacja,Poland,Local Pub
906079410,2020-06-14,4.3,"","",CASSIS,Sour - Fruited Berliner Weisse,5.0,The Flying Inn,Spain,Nisha craft Capital
904408486,2020-06-09,4.3,Really feel the passion fruit,"",Mango Gose – Let's Cook,Sour - Fruited Gose,4.6,Deer Bear,Poland,Local Pub 3
911632323,2020-06-28,3.0,"","",Grynas,Lager - Pale,5.0,Širvėnos bravoras,Lithuania,Dėvėti
910123982,2020-06-25,4.0,"","",Spyglys,IPA - Session / India Session Ale,5.3,Pilialaukis,Lithuania,The Owls
902521744,2020-06-04,4.3,"",Vilnius,Lunatic,Wheat Beer - Witbier,5.2,Browar Kingpin,Poland,Local Pub
904213364,2020-06-08,4.0,"",  Estonia ,Burbulosé,Bière de Champagne / Bière Brut,6.5,Kuro Aparatūra,Lithuania,Prohibicija Pub
907410493,2020-06-18,3.8,"",Vilnius,Original Ice Cream Pale Ale,Pale Ale - Milkshake,5.6,Omnipollo,Sweden,Prohibicija Pub
902071409,2020-06-02,4.0,"","",Lemon Thyme,Pale Ale - International,4.7,Sakiškių Alus,Lithuania,Drops
906794147,2020-06-15,3.5,"","",Špunka Pils,Pilsner - Other,4.8,Širvėnos bravoras,Lithuania,Etmonų Špunka
909833633,2020-06-24,4.5,Awesome. Travelling again and directly level 47 travel :-). Lol,"",Raspberry x Mango Sour Ale,Sour - Fruited,4.5,Ārpus Brewing Co.,Latvia,Nisha craft Capital
902484113,2020-06-04,3.8,"",Vilnius,Pleroma Mango Orange Passionfruit,Sour - Fruited,6.0,Omnipollo,Sweden,Prohibicija Pub
906452575,2020-06-14,5.0,"","",Veltins Pilsener,Pilsner - German,4.8,Brauerei VELTINS,Germany,Untappd Virtual Festival
909906159,2020-06-24,4.5,"Smells amazing, but tastes more like mead rather than a tripel.",Vilnius,Trys Vienuoliai,Belgian Tripel,7.6,Genys Brewing Co.,Lithuania,Nisha craft Capital
906731391,2020-06-15,1.0,"","",Tauras Gira Nefiltruota,Kvass,1.2,Kalnapilis Brewery,Lithuania,Grill London
907161752,2020-06-17,3.0,"","",Vilniaus Nefiltruotas Šviesusis,Lager - Pale,5.2,Vilniaus Alus,Lithuania,Grey
912221647,2020-06-30,4.3,"","",Heineken,Lager - Euro Pale,5.0,Heineken,Netherlands,Local Pub
907166107,2020-06-17,2.8,"","",1664 Blanc,Wheat Beer - Witbier,5.0,Kronenbourg Brewery,France,Congress Avenue Hotel
904421639,2020-06-09,4.0,"","",Lil' Drunk Baby,IPA - Session / India Session Ale,4.9,WarPigs Brewpub,Denmark,Alaus Biblioteka
906939172,2020-06-16,4.0,"","",Dvi Laisvės,IPA - American,6.0,Genys Brewing Co.,Lithuania,Genys Taproom Vilnius
910144539,2020-06-25,4.5,"","",Sourbit Bergamot & White Peach,Sour - Fruited,8.0,Hopalaa,Latvia,Nisha craft Capital
907443173,2020-06-18,4.0,"","",Õhtu,Porter - American,5.5,Põhjala,Estonia,Prohibicija Pub
907484920,2020-06-18,4.5,"","",Baltic Porter,Porter - Baltic,9.0,Brasserie Iron,France,Amazing Eryland
906415596,2020-06-14,5.0,Better than my last album,"",Atak Chmielu,IPA - American,6.1,Browar PINTA,Poland,Local Pub 3
902250432,2020-06-03,3.3,"","",Bitburger Premium Pils,Pilsner - German,4.8,Bitburger Brauerei,Germany,BarKodas
911116379,2020-06-27,3.0,Plain Jane,"",IPA,IPA - International,6.2,Mažas Alaus Cechas,Lithuania,Bar Bukowski
904407213,2020-06-09,3.8,"","",Grisette,Grisette,5.0,The Flying Inn,Spain,Local Pub
908625963,2020-06-20,3.8,"","",The Alchemist,IPA - American,6.4,Brokreacja,Poland,Local Pub
906406907,2020-06-14,3.0,"",Vilnius,Radler Mango,Non-Alcoholic Beer,0.0,Utenos Alus,Lithuania,Untappd Virtual Festival
