checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
937667553,2020-09-03,4.3,"","",Bistrampolio Dvaro Alus,Lager - Pale,5.0,Aukštaitijos Bravorai,Lithuania,Etno Dvaras
944150868,2020-09-19,3.3,"",Vilnius,Not From This Planet,Sour - Berliner Weisse,4.1,Deer Bear,Poland,Local Pub
937470151,2020-09-02,3.3,Poskonis visai nepatiko.,Vilnius,Kirg,IPA - American,6.0,Põhjala,Estonia,Alaus Biblioteka
946880534,2020-09-26,4.0,"",Vilnius,PINTA Collab PL: Funky Fluid,IPA - Imperial / Double New England,8.1,Browar PINTA,Poland,Local Pub
939243386,2020-09-06,4.3,"","",Jurgenborg,Lager - Pale,4.8,Klausučių Bravoras (UAB Armėniukas),Lithuania,Alynas
937767052,2020-09-03,3.3,"","",Grynas,Lager - Pale,5.0,Širvėnos bravoras,Lithuania,New Ton
943423557,2020-09-18,4.5,"","",Brett-Elle Oude Geuze (2016),Lambic - Gueuze,5.5,Lambiek Fabriek,Belgium,Nisha craft Capital
944626626,2020-09-20,4.0,"","",Jūros Kranto,Lager - Helles,4.8,Mažas Alaus Cechas,Lithuania,Chinkalnia - Georgian Restaurant
943714472,2020-09-19,3.8,"Nice Belgian IPA, could be better though.",Vilnius,Behemoth Sacrum,IPA - Belgian,6.2,Browar Perun,Poland,Smagus Raugas beershop
940284241,2020-09-09,4.0,"",Lithuania,NemieGOSE PareiGOSE,Sour - Gose,4.7,Kuro Aparatūra,Lithuania,Oishy Izakaya (OIŠY Izakaya)
938657964,2020-09-05,4.5,"",Vilnius,SOUP IPA,IPA - New England,6.0,Garage Beer Co.,Spain,Prohibicija Pub
937734149,2020-09-03,3.8,"","",Mouse-Deer Guerilla,Sour - Fruited,2.5,Brokreacja,Poland,Local Pub
941484262,2020-09-12,3.8,"","",OCATA,IPA - Session / India Session Ale,5.4,Garage Beer Co.,Spain,Prohibicija
945283610,2020-09-22,3.3,"",Lithuania,Craft FM,Pale Ale - American,3.5,Tanker Brewery,Estonia,Local Pub
938089224,2020-09-04,3.8,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Čingis
946020611,2020-09-25,3.8,"","",Can’t Wait To Eat You,Sour - Fruited,5.5,Maltgarden,Poland,Nisha craft Capital
937665185,2020-09-03,5.0,"","",Pekla,Stout - Irish Dry,4.2,Pilialaukis,Lithuania,Local Pub 3
946817940,2020-09-26,3.8,"","",The Nurse,Hefeweizen,4.9,Brokreacja,Poland,Local Pub
948100909,2020-09-30,2.3,"","",Organic Pale Ale,Pale Ale - English,5.0,Samuel Smith,England,Alaus Biblioteka
938983754,2020-09-06,3.8,"",Vilnius,WHALE MIST,Sour - Fruited Berliner Weisse,8.5,Garage Beer Co.,Spain,Prohibicija Pub
944159500,2020-09-19,3.5,"","",Chimay Dorée (Gold),Patersbier,4.8,Bières de Chimay,Belgium,Brussels Mussels
937962782,2020-09-04,4.3,"","",Sapporo Premium Beer,Lager - Pale,4.9,Sapporo Breweries,Japan,Manami
940338985,2020-09-09,4.0,"","",IPA,IPA - American,6.2,Lagunitas Brewing Company,United States,Republic No.4
938105782,2020-09-04,3.3,"","",English IPA,IPA - English,6.3,Kultowy Browar Staropolski,Poland,Bajorų kalvų fontanas
946083918,2020-09-25,4.0,"","",Kosmosas,Porter - Baltic,7.2,"""Apynys"" Brewing",Lithuania,Nisha craft Capital
937655301,2020-09-03,4.5,"","",Abstraction,Pale Ale - American,5.5,Tanker Brewery,Estonia,Genys Taproom Vilnius
942447673,2020-09-14,3.8,"",Lithuania,Oaty,Stout - Oatmeal,5.5,Trzech Kumpli,Poland,Local Pub
945720378,2020-09-24,3.8,"","",Bready Rye Ale,Rye Beer,5.2,Sakiškių Alus,Lithuania,Local Pub
945989114,2020-09-25,3.5,"","",IPA,IPA - American,6.2,Lagunitas Brewing Company,United States,Dock
947269860,2020-09-27,3.0,"",Kaunas,Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Užupio kavinė
940866541,2020-09-11,2.8,"",Vilnius,Magaryčių Alus,Traditional Ale,5.8,Kupiškio Alus,Lithuania,Žalgirio gatvė
942244930,2020-09-13,3.0,"","",Grynas,Lager - Pale,5.0,Širvėnos bravoras,Lithuania,New Ton
937948661,2020-09-04,4.0,"","",Sauna Session®️,Spiced / Herbed Beer,4.7,Tanker Brewery,Estonia,Genys Taproom Vilnius
942120507,2020-09-13,3.5,"","",Tattoo Lager,Lager - Pale,4.0,Genys Brewing Co.,Lithuania,Šnekutis
940293458,2020-09-09,4.0,"","",Pool Party Fantasy,Sour - Fruited,5.5,Maltgarden,Poland,Nisha craft Capital
942653827,2020-09-15,3.0,"","",Third Part,Pale Ale - New Zealand,4.1,AleBrowar,Poland,Local Pub
946011261,2020-09-25,5.0,"","",Oude Geuze Goût Américain,Lambic - Gueuze,6.5,Brouwerij Boon,Belgium,Gero alaus parduotuvė
946578523,2020-09-26,4.3,"","",Armchair Detective (Cellar Series),Porter - Imperial / Double Baltic,12.0,Põhjala,Estonia,Alaus Biblioteka
940282629,2020-09-09,3.3,"","",Czech Inn Dark,Lager - Dark,4.7,UAB 3B Solutions,Lithuania,Šimo Baras
944080257,2020-09-19,3.0,"","",Mango Gose – Let's Cook,Sour - Fruited Gose,4.6,Deer Bear,Poland,Local Pub
944686855,2020-09-20,4.3,"",Vilnius,PLANT,IPA - Imperial / Double New England,8.8,Garage Beer Co.,Spain,Alaus Biblioteka
946062397,2020-09-25,4.3,"","",Sandy,Hefeweizen,4.8,Funky Fluid,Poland,Tauro rago terasa
940574675,2020-09-10,4.3,When you tell you in2days wife “something sour or an IPA” perfect balance of hops and citrus. I love this brewery. Such artistry.,Lithuania (most of the time),Kirg,IPA - American,6.0,Põhjala,Estonia,Prohibicija Pub
937692519,2020-09-03,4.0,Labai įdomu iš lietuvos rinkos,"",Vyšniokas,Wild Ale - Other,6.0,Panevėžio Alus,Lithuania,Šnekutis
937796379,2020-09-04,4.3,Wonderful mild blend of bitterness with citrusy fruitiness.,"",Stains,Pale Ale - American,5.5,Omnipollo,Sweden,Prohibicija Pub
940916377,2020-09-11,4.0,"",Lithuania,Chilly Avenue,Sour - Fruited,5.5,Hypnos,Latvia,Nisha craft Capital
946660937,2020-09-26,3.3,"",Vilnius,Gin & Tonic IPA,IPA - International,5.1,Sakiškių Alus,Lithuania,Dūmų Fabrikas
946231421,2020-09-25,3.8,"","",Grimbergen Dubbel,Belgian Dubbel,6.5,Brouwerij Alken-Maes,Belgium,Vokiečių gatvė
947842683,2020-09-29,3.5,"",LTU,Pale Ale,Pale Ale - American,4.2,BrewDog,Scotland,Nisha craft Capital
938809247,2020-09-05,4.8,"T-t-t-tripleeee! Wow, mind blowing, full of flavour, full body, amazing aromas. You want mango, you want pineapple - its all here.","Vilnius, Lithuania",FRAGRANCE,IPA - Triple,9.9,Garage Beer Co.,Spain,Alaus Biblioteka
942859620,2020-09-16,3.8,"","",IPA,IPA - American,6.8,Westbrook Brewing Co.,United States,Nisha craft Capital
943959436,2020-09-19,4.5,"","",Mousy Citrusy,Sour - Fruited Gose,4.0,Browar Nepomucen,Poland,Local Pub
945969854,2020-09-25,4.3,"Perfect. Super juicy. Didn't taste like 8%, incredible branding and colour. I chose this beer because it was advertised in the toilet :D",Lithuania (most of the time),"Everybody Wants Some ""Citra""",IPA - Imperial / Double,8.0,Hoof Hearted Brewing,United States,Nisha craft Capital
938027014,2020-09-04,4.3,"","",Dubults IPA,IPA - American,7.2,Širvėnos bravoras,Lithuania,Čingis
944059918,2020-09-19,3.3,"",Vilnius,Third Part,Pale Ale - New Zealand,4.1,AleBrowar,Poland,Local Pub
945492604,2020-09-23,3.5,"","",PINTA Collab PL: Funky Fluid,IPA - Imperial / Double New England,8.1,Browar PINTA,Poland,Local Pub
938394070,2020-09-05,3.3,"","",Bėganti Kopa (Running Dune),Wheat Beer - Witbier,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Šiuolaikinio meno centras | Contemporary Art Center
947844399,2020-09-29,4.3,"","","Maria Magdalena #4 (Eureka)",IPA - Black / Cascadian Dark Ale,6.0,Jopen,Netherlands,Nisha craft Capital
946085113,2020-09-25,3.5,"","Vilnius, Lithuania",Baltas Melas,Wheat Beer - Witbier,4.2,Genys Brewing Co.,Lithuania,Bromas
938769369,2020-09-05,3.3,"",Vilnius,PIRINEXUS,Sour - Fruited Gose,5.0,Garage Beer Co.,Spain,Alaus Biblioteka
939244866,2020-09-06,4.5,"","",Hoegaarden Wit / Blanche,Wheat Beer - Witbier,4.9,Brouwerij Hoegaarden,Belgium,Alynas
945263348,2020-09-22,5.0,"","",Kalifornikacija,Pale Ale - American,5.2,Genys Brewing Co.,Lithuania,O'Learys
943404007,2020-09-18,4.5,"Because of taste and extra points for #8","",Ovi Awaits the Pass,IPA - Imperial / Double New England,6.5,Maltgarden,Poland,Nisha craft Capital
946068487,2020-09-25,3.8,"","",Double Nipple IPA,IPA - Imperial / Double,8.5,Brewski,Sweden,Nisha craft Capital
946992809,2020-09-27,3.3,"","",India Pale Ale,IPA - English,5.3,Fuller's Brewery,England,Beer House
946624885,2020-09-26,3.5,"","",Medaus Mėnuo (Honeymoon),Lager - Pale,4.9,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
940962002,2020-09-11,4.0,Харош,"",Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Etmonų Špunka
945736518,2020-09-24,4.0,"",Vilnius,Armchair Detective (Cellar Series),Porter - Imperial / Double Baltic,12.0,Põhjala,Estonia,Alaus Biblioteka
937085900,2020-09-01,3.5,"","",Lemon Thyme,Pale Ale - International,4.7,Sakiškių Alus,Lithuania,Drops
941559663,2020-09-12,4.3,"",Vilnius,WHALE MIST,Sour - Fruited Berliner Weisse,8.5,Garage Beer Co.,Spain,Prohibicija Pub
938044382,2020-09-04,4.0,"","",Pan IPAni,IPA - White,6.0,Trzech Kumpli,Poland,Local Pub
940936238,2020-09-11,5.0,"","",Stella Artois,Lager - Euro Pale,5.0,Stella Artois,Belgium,Brussels Mussels
942152019,2020-09-13,5.0,"","",Pekla,Stout - Irish Dry,4.2,Pilialaukis,Lithuania,Local Pub 3
942663330,2020-09-15,3.5,"","",Juodaragio Su Kadagiais Ir Sotvaru,Gruit / Ancient Herbed Ale,5.0,Panevėžio Alus,Lithuania,ELEKTRIT
946061615,2020-09-25,4.3,"","",Phase Curve,IPA - Session / India Session Ale,4.6,Dry & Bitter Brewing Company,Denmark,Nisha craft Capital
945463861,2020-09-23,3.8,"","",Juodaragio Su Kadagiais Ir Sotvaru,Gruit / Ancient Herbed Ale,5.0,Panevėžio Alus,Lithuania,Čingis
939759451,2020-09-07,3.5,"","",Green Monster IPA,IPA - American,6.3,"""Apynys"" Brewing",Lithuania,Alynas
938843555,2020-09-05,4.5,"","",LOCKER,Porter - Other,4.5,Garage Beer Co.,Spain,Alaus Biblioteka
939829967,2020-09-07,2.8,"","",Bohemian Lager (Světlý ležák 12),Pilsner - Czech,4.9,Bernard Family Brewery,Czech Republic,Alynas
946101265,2020-09-25,4.3,"",Vilnius,Dragonfruit Pie,Sour - Fruited Berliner Weisse,4.0,Brewski,Sweden,Nisha craft Capital
942227355,2020-09-13,3.0,"","",Blow Out,IPA - American,6.0,Mikkeller,Denmark,Alaus Biblioteka
946858256,2020-09-26,3.8,"",Vilnius,Joint of Skulls: Scottish Ale with Oak Wood Chips,Scottish Ale,5.4,AleBrowar,Poland,Local Pub
948051076,2020-09-30,3.8,"","",Funky Garden vol.2,IPA - New England,6.5,Funky Fluid,Poland,Local Pub
938606905,2020-09-05,3.3,"","",Magaryčių Alus,Traditional Ale,5.8,Kupiškio Alus,Lithuania,Kelionių Akademija
937737598,2020-09-03,4.8,"","",Lemon Thyme,Pale Ale - International,4.7,Sakiškių Alus,Lithuania,Craft beer garden
937236244,2020-09-01,3.5,"","",Saulenis,Golden Ale,4.8,Širvėnos bravoras,Lithuania,Alaus Biblioteka
946039989,2020-09-25,4.0,"","",Phase Curve,IPA - Session / India Session Ale,4.6,Dry & Bitter Brewing Company,Denmark,Nisha craft Capital
945788318,2020-09-24,3.8,"","",Singing Sands,IPA - Imperial / Double New England,8.0,Põhjala,Estonia,Prohibicija Pub
