checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1105642471,2021-12-04,3.5,"",Minsk,Kalnapilis Pilsner,Pilsner - Other,4.6,Kalnapilis Brewery,Lithuania,Courtyard by Marriott Vilnius City Center
1106720829,2021-12-07,4.3,"",Vilnius,Guaranteed,IPA - Imperial / Double,8.0,Browar Stu Mostów,Poland,Naujamiestis
1106865418,2021-12-08,3.5,"","",Irbenīns,Mead - Braggot,7.3,Alus Darbnīca Labietis,Latvia,Gero alaus parduotuvė
1108180747,2021-12-11,3.8,Very summery!,"",Bėganti Kopa (Running Dune),Wheat Beer - Witbier / Blanche,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Artagonist Art Hotel
1108248341,2021-12-11,4.3,"",Vilnius,Exceeding,Sour - Fruited Berliner Weisse,6.0,Browar Stu Mostów,Poland,Naujamiestis
1110129608,2021-12-17,4.3,"",Vilnius,Amazing Haze,IPA - New England / Hazy,6.5,Stigbergets Bryggeri,Sweden,Naujamiestis
1110489644,2021-12-18,4.0,"","",Guanabana Sour,Sour - Fruited,5.7,Apynys Brewing,Lithuania,Nisha craft Capital
1105630091,2021-12-04,3.0,"","",Visa-Ginnes,Stout - Milk / Sweet,6.0,Bear and Boar,Lithuania,Baltas Ūsas
1116283867,2021-12-31,3.8,"","",Fircyfuszki,IPA - New England / Hazy,6.0,Ziemia Obiecana,Poland,GAFARO makiazo studija
1112389778,2021-12-23,4.3,"","",Guanabana Sour,Sour - Fruited,5.7,Apynys Brewing,Lithuania,Gero alaus parduotuvė
1112407790,2021-12-23,3.5,"",Vilnius,Palm Spéciale,Pale Ale - Belgian,5.2,Brouwerij Palm,Belgium,Lipskio Alinė
1107561457,2021-12-10,5.0,"","",Galactic Brotherhood: Nisha,Stout - Imperial / Double Pastry,12.0,Browar Rockmill,Poland,Nisha craft Capital
1105472895,2021-12-04,3.3,"","",Much More Fun,IPA - Imperial / Double New England / Hazy,8.3,Maltgarden,Poland,Nisha craft Capital
1106491726,2021-12-06,4.0,"","Klaipeda, Lithuania",Meet Our Friends | Episode 08: Funky Fluid,IPA - Quadruple,10.5,Browar Nepomucen,Poland,Local Pub
1106911284,2021-12-08,4.5,"",Lithuania,Galactic Brotherhood: Nisha,Stout - Imperial / Double Pastry,12.0,Browar Rockmill,Poland,Nisha craft Capital
1107659543,2021-12-10,4.0,"","",Cola,Sour - Other,5.0,Evil Twin Brewing,United States,Nisha craft Capital
1114918411,2021-12-28,3.8,Heerlijk fris,"",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Piano Man Bar
1107992371,2021-12-11,3.3,"","",Surrender To the Sun,Sour - Fruited,4.9,Small Pony Barrel Works,Canada,Nisha craft Capital
1104926285,2021-12-03,5.0,"","",Third Wave NEIPA,IPA - New England / Hazy,5.8,Apynys Brewing,Lithuania,3 pub
1106223513,2021-12-05,3.8,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Savičiaus Špunka
1104390835,2021-12-01,3.8,"","",Guanabana Sour,Sour - Fruited,5.7,Apynys Brewing,Lithuania,Nisha craft Capital
1104462260,2021-12-01,4.0,"","",Sixth Month / Šeštas Mėnuo,Pale Ale - Milkshake,3.5,Genys Brewing Co.,Lithuania,Genys Taproom Vilnius
1115210774,2021-12-29,3.8,"","",Go Nealkoholinis Baltas,Non-Alcoholic Beer,0.5,Švyturys,Lithuania,Loft 66 Panoramic View
1108593139,2021-12-12,0.0,"","",Kirų Kaimas,IPA - Farmhouse,5.2,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Kalėdinis begimas
1104625218,2021-12-02,3.3,"","",Leevike,Sour - Fruited,6.5,Põhjala,Estonia,Alaus Biblioteka
1105593730,2021-12-04,3.8,"","",Feels Like Pils,Pilsner - Czech,4.8,Browar Rockmill,Poland,Nisha craft Capital
1105148664,2021-12-03,4.5,"","",Bible Belt,Stout - Imperial / Double,13.0,Evil Twin Brewing,United States,spalvų žaismas
1105417558,2021-12-04,2.8,Not bad for a midday beverage,"",Jurgenborg,Lager - Pale,4.8,Klausučių Bravoras (UAB Armėniukas),Lithuania,Šnekutis
1107473306,2021-12-10,2.5,"",Fetsund,Lager,Lager - American Light,5.1,Alinė Leičiai,Lithuania,Aline Leičiai
1105636486,2021-12-04,3.3,"","",Lightfoot,Blonde Ale,4.1,Theakston,England,Smagus Raugas beershop
1109421086,2021-12-15,3.5,"",Vilnius,Kellerski,Kellerbier / Zwickelbier,5.8,Browar Zamkowy Cieszyn,Poland,Local Pub
1109956272,2021-12-17,3.3,"","",Birra Moretti L'Autentica / Ricetta Originale,Lager - Pale,4.6,Birra Moretti,Italy,Breakfast room @ Marriott
1109177919,2021-12-14,3.3,"","Vilnius, Lithuania",Majesty,IPA - New England / Hazy,6.0,Brokreacja,Poland,Local Pub
1114896664,2021-12-28,3.5,"","",Varniukų Tamsus,Dark Ale,5.6,Davra Alaus Darykla,Lithuania,Šnekutis
1112046913,2021-12-22,3.0,"",Saint-Petersburg,Dark Forest / Tamsus Miškas,Porter - Baltic,6.0,Genys Brewing Co.,Lithuania,Rose Hip
1105523242,2021-12-04,2.8,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Grey
1107420295,2021-12-10,3.5,"",Vilnius,Maria,Sour - Fruited Berliner Weisse,5.4,Browar Nepomucen,Poland,Local Pub
1108049826,2021-12-11,4.3,"","",Burbulosé,Bière de Champagne / Bière Brut,6.5,Kuro Aparatūra,Lithuania,Žemaičių Ąsotis
1114046767,2021-12-26,4.3,"",Vilnius,Elite Human,IPA - New England / Hazy,6.5,WarPigs Brewpub,Denmark,Nisha craft Capital
1111828871,2021-12-21,3.3,"","",Sensation Weizen,Wheat Beer - Hefeweizen,4.6,Bear and Boar,Lithuania,Dirigentai
1115259540,2021-12-29,4.5,"","",Harvest Ale / Derliaus Alus,Traditional Ale,6.5,Genys Brewing Co.,Lithuania,Dock
