checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1020954571,2021-04-25,4.0,"","",Y'all Need Science,IPA - Imperial / Double New England,8.0,Cerebral Brewing,United States,Nisha craft Capital
1021632873,2021-04-27,3.8,"","",HYPERJUMP,IPA - Triple New England,10.5,Hopalaa,Latvia,Bear Cave
1019453223,2021-04-22,4.3,"","",Nectar of Happiness 17,IPA - New England,7.0,Rodinný pivovar Zichovec,Czech Republic,Nisha craft Capital
1012682911,2021-04-03,0.0,"","",IPA,IPA - International,5.0,Švyturys,Lithuania,Gero alaus parduotuvė
1018849033,2021-04-19,4.3,"",Vilnius,Боулер IPA,IPA - American,6.1,Gletcher Brewery (Глетчер),Russia,Karoliniškių valstybinis kraštovaizdžio draustinis
1014878695,2021-04-09,3.0,"","",Vilniaus Nefiltruotas Šviesusis,Kellerbier / Zwickelbier,5.2,Vilniaus Alus,Lithuania,Park Inn by Radisson Vilnius Airport Hotel & Business Centre
1022309686,2021-04-30,3.3,"",Vilnius,Kosmos,IPA - International,5.5,Põhjala,Estonia,Prohibicija
1019433694,2021-04-22,4.0,"","",Maiden of Fortune,Mead - Melomel,7.0,Selfmade Brewery,Russia,Nisha craft Capital
1022013770,2021-04-29,4.0,"","",Framboise Boon,Lambic - Framboise,5.0,Brouwerij Boon,Belgium,Gero alaus parduotuvė
1020953068,2021-04-25,4.0,"",LTU,Nectar of Happiness 17,IPA - New England,7.0,Rodinný pivovar Zichovec,Czech Republic,Nisha craft Capital
1021786795,2021-04-28,5.0,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,BIX Baras
1013852238,2021-04-05,3.3,"",Vilnius,Brizas,Pale Ale - American,4.8,Pilialaukis,Lithuania,dpd zverynas
1022376701,2021-04-30,3.5,"","",Dvi Laisvės,IPA - American,6.0,Genys Brewing Co.,Lithuania,Dock
1015338380,2021-04-10,2.3,"",Vilnius,X-Mark Tequila Beer,Spiced / Herbed Beer,5.9,United Dutch Breweries,Netherlands,Vingio parko tiltas | Vingis park bridge (Vingio parko tiltas)
1019434968,2021-04-22,3.8,"","",Coffeecat,Stout - Oatmeal,6.5,Browar Rockmill,Poland,Nisha craft Capital
1019714271,2021-04-23,4.5,"","",PINTA Collab PL: Piwne Podziemie,IPA - Imperial / Double New England,8.1,Browar PINTA,Poland,Local Pub
1012773614,2021-04-03,3.5,"","",King Mule Belgian IPA,IPA - Belgian,5.7,Brouwerij Cornelissen,Belgium,Bajoru kalvu akmuo
1019437715,2021-04-22,4.3,"","",Hoppy Crew: Can I Try?,IPA - Imperial / Double New England,8.2,Browar PINTA,Poland,Local Pub
1019443377,2021-04-22,4.0,"",Lithuania,Samara,Porter - English,5.0,Wander Beyond Brewing,England,Nisha craft Capital
1013018696,2021-04-03,3.3,"",Vilnius,Museum of Classic Beers (Saaz Pilsner),Pilsner - Czech,5.0,Maltgarden,Poland,manoalus.lt
1019701878,2021-04-23,4.0,"","",Orange October,IPA - American,6.4,Browar PINTA,Poland,Tauro rago terasa
1021790107,2021-04-28,5.0,Pirmas baro alus žinoma turi būti Humulupu IPA!,"",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,BIX Baras
1019239511,2021-04-21,4.3,"","",Big Doink,IPA - Imperial / Double New England,8.0,Gamma Brewing Company,Denmark,Bear Cave
1019433042,2021-04-22,4.0,"","",Mont des Cats,Belgian Strong Golden Ale,7.6,Abbaye du Mont des Cats,France,Nisha craft Capital
1022288568,2021-04-30,4.0,"",Vilnius,Baltic Porter With Tanacetum Balsamita,Porter - Baltic,8.5,Sakiškių Alus,Lithuania,Local Pub
1021789815,2021-04-28,3.0,"","",Retro,Kvass,1.2,Vilniaus Alus,Lithuania,NØRDIKA
1012224473,2021-04-02,4.3,"","",Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Gero alaus parduotuvė
1022018937,2021-04-29,4.0,"","",Gelato: Blueberry & Blackberry,Sour - Fruited,5.8,Funky Fluid,Poland,Nisha craft Capital
1022240650,2021-04-30,3.5,"","",Hoppy Crew: How It Rolls?,Pale Ale - New England,5.5,Browar PINTA,Poland,manoalus.lt
1019430252,2021-04-22,3.5,Pirmas metų OUT!!!,"",Marquis,Mead - Braggot,12.5,Browar Kingpin,Poland,Prohibicija
1012229908,2021-04-02,4.3,"",Vilnius,MEET OUR FRIENDS | EPISODE 03: BROWAR ZAKŁADOWY,IPA - Imperial / Double New England,8.2,Browar Nepomucen,Poland,manoalus.lt
1015617114,2021-04-10,3.5,"",Vilnius,Hoppy Tree Friends,Lager - Pale,5.0,Bear and Boar,Lithuania,manoalus.lt
1021029573,2021-04-25,2.5,"",Vilnius,Pime Öö Islay BA (Cellar Series),Stout - Imperial / Double,13.6,Põhjala,Estonia,Pirtis
1019708898,2021-04-23,2.3,Meh,"",Veiksmas Nukrypo Nuo Kurso,Sour - Fruited Gose,4.7,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Circle K
1021338070,2021-04-26,3.8,"","",India Pale Ale,IPA - American,5.5,Sakiškių Alus,Lithuania,Dūmų Fabrikas
1014591692,2021-04-08,4.3,"","",Chewy Chewy Chewy,Pale Ale - American,5.5,Omnipollo,Sweden,Bear Cave
1012420625,2021-04-02,4.0,"",Vilnius,PINTA Collab PL: Browar Zakładowy,IPA - Imperial / Double New England,8.2,Browar PINTA,Poland,manoalus.lt
1015480812,2021-04-10,4.0,"",Vilnius,Barrelyzed - Rum BA,Stout - Imperial / Double,13.0,Käbliku Pruulikoda,Estonia,Pirtis
1020416103,2021-04-24,3.8,"","",Speciality Stout Kostaryka,Stout - Coffee,7.0,Browar Artezan,Poland,Neries krantinė
