checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1055967686,2021-07-24,2.8,"🇱🇹 #2","",FRIDAY IPA,IPA - American,6.5,AND UNION,Germany,Beer House
1054071482,2021-07-18,2.5,"","",Gutstoutas,Stout - Oatmeal,5.2,Širvėnos bravoras,Lithuania,Savičiaus Špunka
1054389184,2021-07-19,3.0,"","",NO NIIN,IPA - New England,6.4,Tanker Brewery,Estonia,Prohibicija
1055395400,2021-07-22,2.8,"","",Somersby Watermelon,Cider - Other Fruit,4.5,Carlsberg Group,Denmark,Crustum @ VNO
1058774822,2021-07-30,3.3,"","",Porter,Porter - Baltic,5.0,Alinė Leičiai,Lithuania,Aline Leičiai
1054461553,2021-07-19,3.5,"",Vilnius,Coffeecat,Stout - Oatmeal,6.5,Browar Rockmill,Poland,Nisha craft Capital
1051834842,2021-07-13,3.8,"","","Ensemble Nine: Mandarina Bavaria, Lemondrop, Experimental 035",IPA - Imperial / Double New England,8.0,Sori Brewing,Estonia,Nisha craft Capital
1052365661,2021-07-15,3.0,"","",Coolab7 vol.1: The Seventh Seal,IPA - Sour,6.7,Browar Birbant,Poland,Local Pub
1059515158,2021-07-31,2.8,"","Vilnius, Lithuania",3/6 DDH New England IPA Coconut,IPA - New England,6.6,Browar Stu Mostów,Poland,Nisha craft Capital
1054706854,2021-07-20,3.8,"",Vilnius,Põhjala Laager,Lager - Helles,4.7,Põhjala,Estonia,Lazdynu skardis
1057466557,2021-07-26,3.3,"","",Franziskaner Weissbier Alkoholfrei,Non-Alcoholic Beer,0.5,Spaten-Franziskaner-Löwenbräu-Gruppe,Germany,Piano Man Outside
1051230443,2021-07-11,3.3,"","",Duvel,Belgian Strong Golden Ale,8.5,Duvel Moortgat,Belgium,Brussels Mussels
1058419880,2021-07-29,3.5,"",Rijeka,Mango Milkshake,Pale Ale - Milkshake,5.6,Volfas Engelman,Lithuania,Beer House
1055369678,2021-07-22,4.0,"","",Bitter Routine,IPA - American,6.5,Browar Rockmill,Poland,Nisha craft Capital
1050008526,2021-07-09,3.8,"",Vilnius,Pauwel Kwak,Pale Ale - Belgian,8.4,Brouwerij Bosteels,Belgium,Naujamiestis
1058710168,2021-07-30,4.3,"",LTU,Triple Berry Pie (4%),Sour - Fruited Berliner Weisse,4.0,Brewski,Sweden,Nisha craft Capital
1052845498,2021-07-16,4.0,"","",Premium Pear Cider,Cider - Perry,4.5,Kopparbergs Bryggeri,Sweden,Pizza & Nachos
1055349295,2021-07-22,4.0,"","",Virmalised,IPA - American,6.5,Põhjala,Estonia,Biblioteka Outside
1058918856,2021-07-31,4.3,"",LTU,Passion Fruit x Mango Imperial Sour Ale,Sour - Fruited,8.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1059215635,2021-07-31,3.5,"","",Sigismund Dry Hopped Cider,Cider - Dry,5.6,Peenjoogivabrik Nudist,Estonia,Local Pub
1059297034,2021-07-31,4.0,"","Vilnius, Lithuania",Ensemble Thirteen,IPA - New England,5.5,Sori Brewing,Estonia,Local Pub
1054403953,2021-07-19,4.0,"","",Funk Around: Pinta,IPA - Imperial / Double,9.2,Funky Fluid,Poland,Local Pub
1052355769,2021-07-15,3.8,"","",Write Me Something,IPA - New England,6.0,Maltgarden,Poland,Daržovių bobutė Grybo g.
1048696179,2021-07-05,3.5,"",Vilnius,Brew Me A River,Wheat Beer - Witbier,4.7,Tanker Brewery,Estonia,Naujamiestis
1048891467,2021-07-06,4.3,"",Planet Earth,Raspberry Shake NEIPA,IPA - New England,5.5,Sakiškių Alus,Lithuania,Dūmų Fabrikas
1046421079,2021-07-01,0.0,"","",Squalo,IPA - Imperial / Double New England,7.6,Browar Birbant,Poland,manoalus.lt
1051855581,2021-07-13,3.5,"","",Nefiltruotas Baltas,Hefeweizen,4.8,Gubernija,Lithuania,Alaus Biblioteka
1058820482,2021-07-30,4.0,"","",Insights,Barleywine - English,12.0,PINTA Barrel Brewing,Poland,manoalus.lt
1052371653,2021-07-15,4.0,"","Kaunas, Lithuania",Malheur 12°,Belgian Strong Dark Ale,11.5,Brouwerij Malheur,Belgium,Beerhouse & Craft Kitchen
1054661051,2021-07-20,3.8,"","",Berry Licorice Jelly,Sour - Fruited,5.6,Funky Fluid,Poland,manoalus.lt
1048344758,2021-07-04,3.0,"","",Classic Extra Lager,Lager - Euro Pale,5.2,Gubernija,Lithuania,Marriott Terrace
1049984256,2021-07-09,3.8,"","",Seahorse,IPA - Imperial / Double,7.6,Browar Birbant,Poland,Local Pub
1046479059,2021-07-01,3.8,"","",Galaxy of Secrets,Pale Ale - American,4.5,Moor Beer Company,England,Nisha craft Capital
1058962150,2021-07-31,4.0,"","",TACO TACO,Pale Ale - New England,5.4,Fermenterarna,Sweden,Courtyard by Marriott Vilnius City Center
1058852731,2021-07-30,3.5,"",LTU,Dūda 2021,IPA - International,5.6,Širvėnos bravoras,Lithuania,Špunka
1059371343,2021-07-31,3.5,"",Vilnius,Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Lukiskiu Kalejimas
1054100591,2021-07-18,4.0,"","",1/6 New England IPA,IPA - New England,6.3,Browar Stu Mostów,Poland,Nisha craft Capital
1053360860,2021-07-17,0.0,"",Vilnius,IPA,IPA - Session / India Session Ale,5.0,Vilkmerges Alus,Lithuania,Rotušės aikštė  | Town Hall Square (Rotušės aikštė)
1054719427,2021-07-20,3.0,"",Vilnius,Miller Genuine Draft,Lager - American,4.7,Miller Brewing Company,United States,Justiniškės
