checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1071427614,2021-08-29,4.3,"",LTU,Painkiller Imperial Seltzer,Hard Seltzer,9.0,Untitled Art,United States,Nisha craft Capital
1064280003,2021-08-12,3.8,"","",Kosmosas,Porter - Baltic,7.2,Apynys Brewing,Lithuania,Haze Pub
1063718012,2021-08-10,0.0,"","","Tropical Smoothie: Pineapple, Mango & Peach",Fruit Beer,5.0,Funky Fluid,Poland,Local Pub
1067225994,2021-08-19,3.8,Nice bitter chocolate stout with a bit of maple sweetness.,"",Maple Stout,Stout - Other,7.2,Sakiškių Alus,Lithuania,Dūmų Fabrikas
1065183455,2021-08-14,3.0,"","",Balta Pinta,Hefeweizen,5.0,Volfas Engelman,Lithuania,Neringa Kavinė
1064351467,2021-08-12,2.8,"","",Radleris Su Greipfrutų Sultimis,Shandy / Radler,2.5,Volfas Engelman,Lithuania,Sugiharos grozio ir sveikatingumo centras
1070273942,2021-08-27,4.0,"",LTU,But where is the mango?,Sour - Fruited,7.5,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1060680871,2021-08-03,3.0,"",Vilnius,Senojo Pasvalio Nefiltruotas,Blonde Ale,5.6,Alsteka,Lithuania,Šimo Baras
1061665654,2021-08-06,4.0,"","",Pale Ale,Pale Ale - English,5.2,Leičių Bravoras,Lithuania,Aline Leičiai
1061835144,2021-08-06,3.0,"","",Westmalle Trappist Dubbel,Belgian Dubbel,7.0,Brouwerij der Trappisten van Westmalle,Belgium,Paupio turgus
1067526415,2021-08-20,3.3,"","",Sofa,Pale Ale - International,4.5,Kuro Aparatūra,Lithuania,Prohibicija
1064613844,2021-08-13,3.0,"",Vilnius,Jovarų alus su medumi,Spiced / Herbed Beer,5.6,A. Udrienes I.Į. Jovarų Alus,Lithuania,Šnekutis
1061302656,2021-08-05,2.5,"","",Kirų Kaimas,IPA - Farmhouse,5.2,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Local Pub
1070801918,2021-08-28,3.3,"",Planet Earth,Kilkim Žaibu 2021,Gruit / Ancient Herbed Ale,4.9,Širvėnos bravoras,Lithuania,Špunka
