checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1081065766,2021-09-25,4.0,"",Vilnius,Banana Bread Beer,Fruit Beer,5.2,Eagle Brewery (formerly Charles Wells),England,Viršuliškių miškelis
1074034742,2021-09-05,4.5,"","",Hyperplane,IPA - American,7.0,XP Brew,Russia,Nisha craft Capital
1077267575,2021-09-14,3.3,"",Vilnius,Anarkist Motueka Lager,Lager - IPL (India Pale Lager),5.5,Theodor Schiøtz Brewing Company,Denmark,Čili Pica
1072522996,2021-09-02,4.3,"",Vilnius,Hop Attack,IPA - Imperial / Double New England,8.0,Browar PINTA,Poland,Local Pub
1080584974,2021-09-24,4.0,"","",Albini,IPA - Imperial / Double New England,8.0,Põhjala,Estonia,Prohibicija
1080740276,2021-09-24,4.3,"",Vilnius,Chupacabra Cmentarna,IPA - Imperial / Double New England,7.1,Browar Harpagan,Poland,Naujamiestis
1072230893,2021-09-01,3.8,"",Vilnius,Apynys,Non-Alcoholic Beer,0.5,Širvėnos bravoras,Lithuania,Baras Šuo
1082310005,2021-09-28,5.0,Oh my… ♥‿♥,"",Metropolis of Gold,IPA - Imperial / Double Milkshake,11.0,Wander Beyond Brewing,England,Nisha craft Capital
1076103292,2021-09-11,3.8,"","",Hazy DDH IPA Summer 2021,IPA - Imperial / Double,5.8,Genys Brewing Co.,Lithuania,Genys
1076133992,2021-09-11,3.5,"",Vilnius,Sofa,Pale Ale - International,4.5,Kuro Aparatūra,Lithuania,Oishy Izakaya (OIŠY Izakaya)
1079228586,2021-09-19,3.8,"","",Stella Artois,Pilsner - Other,5.0,Stella Artois,Belgium,Paupio turgus
1072480339,2021-09-02,0.0,"","",Hazy Discovery Barcelona,IPA - American,7.4,Browar PINTA,Poland,Local Pub
1079666706,2021-09-20,2.8,"",Estonia ,Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Distilerija
1075285307,2021-09-09,4.3,"","","Crazy Lines #07",IPA - Imperial / Double New England,8.2,Browar Nepomucen,Poland,Local Pub
1072955941,2021-09-03,3.3,"",Vilnius,Cascade,Lager - Pale,5.2,Mārupes Alus,Latvia,Sofik Kebab
1082752410,2021-09-30,3.3,"","",Sun Super,Pale Ale - American,4.7,Browar PINTA,Poland,Local Pub
1072942542,2021-09-03,4.3,"","",Guava x Apricot Imperial Sour Ale,Sour - Other,7.5,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1073324244,2021-09-04,4.5,"",LTU,SURTUR NR.73 ,Stout - Imperial / Double,11.5,Borg Brugghús,Iceland,Nisha craft Capital
1080705944,2021-09-24,4.8,"","",Bianca Noa Pecan Guava Lychee Passionfruit Mudcake,Sour - Fruited Gose,7.0,Omnipollo,Sweden,Alaus Biblioteka
1074563374,2021-09-06,4.8,"","",Gods & Monsters,IPA - Triple New England,9.1,Blech.Brut,Germany,Nisha craft Capital
1078135978,2021-09-17,2.5,"","",Atak Chmielu,IPA - American,6.1,Browar PINTA,Poland,Local Pub
1080235155,2021-09-23,4.0,"",Vilnius,Trappist Westvleteren 12,Belgian Quadrupel,10.2,Brouwerij De Sint-Sixtusabdij van Westvleteren,Belgium,Lipskio Alinė
1078629191,2021-09-18,3.8,"","",PINTA Collab PL: Browar Birbant,IPA - Imperial / Double,8.1,Browar PINTA,Poland,Local Pub
1074581981,2021-09-06,4.3,"","",Dubults IPA,IPA - American,7.2,Širvėnos bravoras,Lithuania,RIMI Hypermarket
1076032521,2021-09-11,3.0,"",Vilnius,Baltijos,Märzen,5.8,Švyturys,Lithuania,Seklyčia
1072860745,2021-09-03,3.5,"","",White Pony,IPA - White,6.0,Moor Beer Company,England,Nisha craft Capital
1078607404,2021-09-18,4.0,"",Netherlands,Varniukų Tamsus,Dark Ale,5.6,Davra Alaus Darykla,Lithuania,Šnekutis
1079839911,2021-09-21,5.0,"","",Illicium,IPA - Imperial / Double Milkshake,10.0,Wander Beyond Brewing,England,Nisha craft Capital
1072520963,2021-09-02,3.3,"","",Daujotų Kvietinis,Hefeweizen,5.1,Davra Alaus Darykla,Lithuania,"Artistai, live music pub"
1074562775,2021-09-06,4.5,"","",Ārpus x Pühaste DDH Nelson x Motueka TIPA,IPA - Triple New England,10.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1082754311,2021-09-30,3.5,"","",Session IPA,IPA - Session / India Session Ale,4.5,Sakiškių Alus,Lithuania,Dūmų Fabrikas
1079360667,2021-09-19,3.0,"","Phoenix, AZ, USA",IPA,IPA - American,6.5,Leičių Bravoras,Lithuania,Aline Leičiai
