checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1218051959,2022-11-05,3.5,"елкі ігліцы
ссыпле крыло пугача
ноччу празрыстай","",Sakai Sakai,Kölsch,4.7,Kuro Aparatūra,Lithuania,Lipskio Alinė
1222271214,2022-11-19,4.0,"",Gjøvik / London,Coffee Baltic Porter,Porter - Coffee,7.2,Sakiškės Brewery / Sakiškių Alus,Lithuania,Alaus Biblioteka
1218600497,2022-11-06,3.5,"","",Alyno Šviesusis,Lager - Pale,5.0,UAB Alynas,Lithuania,Alynas
1217131223,2022-11-02,0.0,"",Vilnius,Rhubarb And Thyme IPA,IPA - English,5.1,Sakiškės Brewery / Sakiškių Alus,Lithuania,Lipskio Alinė
1223079203,2022-11-22,4.3,"","",Daymare,IPA - Other,6.8,FUERST WIACEK,Germany,Nisha craft Capital
1221452398,2022-11-17,3.8,"","",Tamsusis,Dark Ale,5.8,Vilkmerges Alus,Lithuania,Plus Plus Plus
1219229040,2022-11-09,3.5,"","",Inappropriate Images,IPA - Imperial / Double New England / Hazy,8.2,Maltgarden,Poland,Nisha craft Capital
1223889259,2022-11-25,3.8,"","",Gregorius,Belgian Quadrupel,10.5,Stift Engelszell,Austria,Beer House
1220701469,2022-11-13,4.5,"","",Serbentis,Lambic - Fruit,7.0,Panevėžio Alus,Lithuania,Etmonų Špunka
1219009437,2022-11-08,4.0,"","",The Green Line,IPA - New England / Hazy,6.5,Cervesa Espiga,Spain,Nisha craft Capital
1217335044,2022-11-03,4.5,"","",Sun Super,Pale Ale - New England / Hazy,4.7,PINTA,Poland,Local Pub
1220126384,2022-11-12,3.5,"","",Return To the Plain,Stout - Irish Dry,4.9,FUERST WIACEK,Germany,Nisha craft Capital
1218601309,2022-11-06,3.5,"","",Alyno Pilsneris,Pilsner - Other,4.6,UAB Alynas,Lithuania,Alynas
1223561781,2022-11-24,3.8,"","Vilnius, Lithuania",Grateful Jams,IPA - Imperial / Double New England / Hazy,8.0,Brix City Brewing,United States,Nisha craft Capital
1224471935,2022-11-26,3.0,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Bonocosi
1218021447,2022-11-05,3.8,"","",Rectangle,Pilsner - Other,5.1,Browar Nepomucen,Poland,manoalus.lt
1221679907,2022-11-18,3.3,"",Riga,Dundulis Ruginė Gira,Kvass,2.1,Širvėnos bravoras,Lithuania,GO9
1224555845,2022-11-26,4.3,"","",Mammamamma Double Passionfruit Cheesecake Sour Ale,Sour - Smoothie / Pastry,6.0,To Øl,Denmark,Jamanto parkas | Jamantas park
1224846696,2022-11-27,3.3,"","",Rinktinis,Lager - Pale,5.2,Volfas Engelman,Lithuania,Radisson Blu Royal Astorija Hotel
1221670295,2022-11-18,3.5,"","",Organic Tattoo Lager,Lager - Pale,4.0,Genys Brewing Co.,Lithuania,Kempinski Hotel Cathedral Square Vilnius
1223923823,2022-11-25,3.0,"","",Gutstoutas,Stout - Oatmeal,5.2,Širvėnos bravoras,Lithuania,Alaus Biblioteka
