checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1147432675,2022-04-12,4.0,Sounds way cooler in Lithuanian,"Washington, DC",Two Liberties / Dvi Laisvės,IPA - American,6.0,Genys Brewing Co.,Lithuania,Rose Hip
1150037611,2022-04-19,4.5,"","",Kita Pusė,IPA - White,5.5,Panevėžio Alus,Lithuania,Apuokas
1147993757,2022-04-14,4.3,"",Vilnius,Hop Suey,IPA - New England / Hazy,7.3,Anderson's Craft Beer,Estonia,Naujamiestis
1146515959,2022-04-09,4.3,"","Minsk, Belarus",Insert Pen Here,Sour - Fruited,5.5,Browar Stu Mostów,Poland,Local Pub
1150187108,2022-04-20,3.3,"","",Pango IPA,IPA - American,5.9,Brewski,Sweden,Nisha craft Capital
1145909095,2022-04-08,4.0,Соскучился по Вильне.,"Minsk, Belarus",High Voltage,IPA - Imperial / Double New England / Hazy,8.0,Cierzo Brewing Co.,Spain,Nisha craft Capital
1147920956,2022-04-14,3.8,"",Vilnius,Pivo Colaba,IPA - Milkshake,5.1,Bear and Boar,Lithuania,Smagus Raugas beershop
1148394755,2022-04-15,4.0,"","",Ensemble Three: DDH Mosaic & Citra,IPA - Imperial / Double New England / Hazy,8.1,Sori Brewing,Estonia,Nisha craft Capital
1145851871,2022-04-08,3.3,"","Vilnius, Lithuania",FROM THE WOODLAND,Pilsner - Other,5.0,Browar Nepomucen,Poland,Local Pub
1146243260,2022-04-09,4.0,"",LTU,Westworld,IPA - International,8.9,Anderson's Craft Beer,Estonia,Nisha craft Capital
1153603410,2022-04-30,3.8,"","",Coffee People,Porter - Coffee,5.5,Anderson's Craft Beer,Estonia,Nisha craft Capital
1153628277,2022-04-30,3.3,"","",Insert Pen Here,Sour - Fruited,5.5,Browar Stu Mostów,Poland,Local Pub
1150158657,2022-04-20,3.8,"","",Tchyně / Mother In Law,Lager - IPL (India Pale Lager),4.7,Primátor,Czech Republic,Paupio turgus
1152242916,2022-04-26,0.0,"","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Čiop Čiop studija
1152517283,2022-04-27,3.5,"Good, a bit dry, IPA","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Bromas
1151148513,2022-04-23,3.8,"",LTU,Colleague Wanted,Kölsch,4.4,Sakiškės Brewery// Sakiškių Alus,Lithuania,Nisha craft Capital
1144650429,2022-04-03,4.0,"A velvety, molassy, potent, enjoyable pastry dessert.","",Hybrid Treats vol.3: Estonian Apple Pie & Vanilla Custard,Stout - Imperial / Double Pastry,12.0,Sori Brewing,Estonia,Nisha craft Capital
1146456368,2022-04-09,3.8,"","",Two Liberties / Dvi Laisvės,IPA - American,6.0,Genys Brewing Co.,Lithuania,Šnekutis
1145572575,2022-04-07,3.8,"","",Chugwork Orange,Cream Ale,3.4,To Øl,Denmark,Tuskulėnų memorialinis kompleksas | Tuskulėnai memorial
1152926395,2022-04-29,3.8,"Неблагі олдскул, але крышачку ў траву смак.","",Anger,IPA - American,7.0,Brokreacja,Poland,Local Pub
1153028733,2022-04-29,3.0,Mehumainen ja muutenkin kuin holiton liemi.,Lappeenranta,Sixth Month / Šeštas Mėnuo,Pale Ale - Milkshake,3.5,Genys Brewing Co.,Lithuania,Ratonda Centrum Hotels
