checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1154039950,2022-05-01,3.3,More of a belgian wit. Ok,"Tel Aviv, Israel",Wheat,Wheat Beer - Witbier / Blanche,4.5,Leičių Bravoras,Lithuania,Queensberry
1159561408,2022-05-18,3.3,Mer smak i denna än lagern👍,"",Bohemijos Tamsusis,Lager - Munich Dunkel,4.2,Volfas Engelman,Lithuania,Hotel Vilnia
1159848435,2022-05-20,2.5,Нейкая ўся гэта серыя “качак” зусім мінорная,"",Dirty Duck Orange Peel,Pale Ale - Belgian,5.1,Biržų Alus ,Lithuania,Orakulas
1162670699,2022-05-27,4.0,"","",Starry Night,Stout - Imperial / Double Pastry,10.0,Nurme,Latvia,King & Mouse
1159741374,2022-05-19,4.0,"","",Barn Owl,Cider - Traditional / Apfelwein,5.5,Perry's Cider,England,Local Pub
1156499503,2022-05-08,3.8,"",Vilnius,Chinookie,IPA - Imperial / Double,8.9,Anderson's Craft Beer,Estonia,Naujamiestis
1163237529,2022-05-28,4.3,"","Vilnius, Lithuania",Moralité,IPA - American,6.9,Brasserie Dieu du Ciel!,Canada,Nisha craft Capital
1163649150,2022-05-29,3.5,"","",Rinktinis,Lager - Pale,5.2,Volfas Engelman,Lithuania,Neringa Viešbutis
1163064489,2022-05-28,4.0,"","",Hazy Discovery Copenhagen,IPA - New Zealand,6.5,PINTA,Poland,Local Pub
1156897859,2022-05-10,4.5,"Full taste, citrus goes well with hoppy","",Ārpus x Baltic Brewing Supplies Citra Incognito™ TIPA,IPA - Triple New England / Hazy,10.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1154439703,2022-05-02,4.5,"",Minsk,Not Alone,Brown Ale - Imperial / Double,8.9,Brokreacja,Poland,Wraperia suppa kebs
1156860240,2022-05-10,4.3,"","",RYEraktar,IPA - Rye,5.6,Sakiškės Brewery// Sakiškių Alus,Lithuania,Local Pub
1162230200,2022-05-26,4.0,"","",Black Beary,Sour - Fruited,12.5,Wander Beyond Brewing,England,Nisha craft Capital
1157798593,2022-05-13,1.0,В моче разбавили лимонную кислоту,"",L'Altro Modo,IPA - Sour,6.0,Pastore Brewing and Blending,England,Nisha craft Capital
1155076630,2022-05-05,3.5,"","",Debesainis,Wheat Beer - Hefeweizen,4.2,Širvėnos bravoras,Lithuania,Etmonų Špunka
1162254843,2022-05-26,4.8,"","",Spellbound,IPA - Imperial / Double New England / Hazy,8.3,Seven Island Brewery,Greece,Nisha craft Capital
1160670799,2022-05-21,3.8,"Frisse ipa, licht zuurtje","",Anarkist New England IPA,IPA - New England / Hazy,5.4,Theodor Schiøtz Brewing Company,Denmark,Bardakas
1157067841,2022-05-11,3.3,"","",Rinktinis,Lager - Pale,5.2,Volfas Engelman,Lithuania,Amatininkų užeiga
1157080671,2022-05-11,0.0,"","",Pilsner Urquell,Pilsner - Czech,4.4,Plzeňský Prazdroj,Czech Republic,ELEKTRIT
1157318500,2022-05-12,3.3,"","",Modelo Especial,Lager - American,4.5,Grupo Modelo,Mexico,La Capital
1154805757,2022-05-04,4.0,"","Vilnius, Lithuania",The Greatest Trick,IPA - International,5.5,Anderson's Craft Beer,Estonia,Nisha craft Capital
1156871035,2022-05-10,3.5,"","",Your Oatmeal DIPA,IPA - Imperial / Double,7.8,PINTA,Poland,Local Pub
1162595876,2022-05-27,4.5,"",Lithuania,Dusty,Pale Ale - New England / Hazy,6.0,More Brewing Company,United States,Nisha craft Capital
1157809570,2022-05-13,3.5,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Distilerija
1158609604,2022-05-15,2.5,Matig bakkie,Goes,Canis Lupus,Lager - Pale,4.6,Vilniaus Alus,Lithuania,nArauti
1156924105,2022-05-10,3.0,"",Tilburg,Republic House Lager,Lager - American,0.0,Vilnius Kathedral Beer,Lithuania,Republic No.4
1161944022,2022-05-25,3.5,"","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Who Hit John
1157305129,2022-05-12,4.0,"","",Westmalle Trappist Dubbel,Belgian Dubbel,7.0,Brouwerij der Trappisten van Westmalle,Belgium,Brussels Mussels Centrum
1160071181,2022-05-20,3.3,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Etmonų Špunka
1157115029,2022-05-11,3.8,"Lengva kaip pūkelis. Vasariška, kaip liepos žiedelis. Miela, kaip braškės uogelė. Kaip miela. .... Kurwa kurwa kaip gražu.",Vilnius. Lithuania.,Flyjack,IPA - Session,4.0,Firestone Walker Brewing Company,United States,piano tuliko eilė
1157764355,2022-05-13,3.3,"","",Which Clock Tower?,IPA - Imperial / Double New England / Hazy,8.4,Aslin Beer Company,United States,Nisha craft Capital
1160021499,2022-05-20,3.5,"","Vilnius, Lithuania",The Peach Party,Sour - Fruited,4.2,Browar Hopito,Poland,Nisha craft Capital
1164284382,2022-05-31,1.8,Suprantama kodėl niekur nepardavinėja šito alaus,"",Gedimino,Pilsner - Other,4.7,Rinkuškiai,Lithuania,Siemens Arena
1163169762,2022-05-28,2.5,"Sehr unspektakuläres Bier. Nicht schlecht, aber bleibt auch nicht in Erinnerung.","",Noble Lager,Lager - Pale,5.2,Gubernija,Lithuania,Lokys
1157664232,2022-05-13,2.5,"","",SOURBIT / PINE-A-PINA,Sour - Fruited Berliner Weisse,7.0,Hopalaa,Latvia,Drops
1157742035,2022-05-13,4.3,"","",Happening Again,IPA - American,7.0,Cushwa Brewing Company,United States,Nisha craft Capital
1159170367,2022-05-16,4.0,"",Vilnius,Smooth Jazz,Pale Ale - International,5.4,Varvar Brew,Ukraine,Nisha craft Capital
1159344203,2022-05-17,3.8,"","",The Sinner,IPA - American,6.2,O Brother Brewing,Ireland,Nisha craft Capital
1156569103,2022-05-08,4.0,"","",Raspberry Milkshake Ale,Fruit Beer,3.5,Genys Brewing Co.,Lithuania,Convinent Location
1162165905,2022-05-26,2.0,"",Oslo,Sakai Sakai,Kölsch,4.7,Kuro Aparatūra,Lithuania,Comfort Hotel LT
1162256938,2022-05-26,2.5,"","",Kwas Xy,Sour - Fruited,4.7,PINTA,Poland,Local Pub
1154414638,2022-05-02,2.8,"",Basingstoke,Rinktinis,Lager - Pale,5.2,Volfas Engelman,Lithuania,Who Hit John
1157710702,2022-05-13,4.5,"","",Your Oatmeal DIPA,IPA - Imperial / Double,7.8,PINTA,Poland,Local Pub
1161620296,2022-05-24,3.8,"","",Deliria (2020),Belgian Strong Golden Ale,8.5,Delirium - Huyghe Brewery,Belgium,René
