checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1172302482,2022-06-24,2.5,"",Minsk,Horn Disel Tradicinis,Lager - Pale,6.0,Volfas Engelman,Lithuania,markučių hub'as
1168522971,2022-06-12,1.8,"","",Santaños Tequila & Lime,Fruit Beer,4.5,A. Le Coq,Estonia,Da Antonio
1167459349,2022-06-10,3.8,"",Vilnius,Jumbo,IPA - Imperial / Double Black,7.5,PINTA,Poland,Local Pub
1169511999,2022-06-16,3.5,"","",TestDrive,IPA - American,5.6,Varvar Brew,Ukraine,Nisha craft Capital
1166858980,2022-06-08,3.0,"","",Utenos Rinktinis,Lager - Amber,5.2,Utenos Alus,Lithuania,Radisson Blu Royal Astorija Hotel
1174027322,2022-06-28,3.8,"","",Vilkmergės Premium Lager,Lager - Helles,5.0,Vilkmerges Alus,Lithuania,12 Istorijų
1170575778,2022-06-18,3.8,"","",Erdinger Brauhaus Helles,Lager - Helles,5.1,Erdinger Weissbräu,Germany,Alaus Biblioteka
1169590266,2022-06-16,3.5,"",Vilnius,Elvis Juice 5.1%,IPA - American,5.1,BrewDog,Scotland,Naujamiestis
1166045535,2022-06-05,3.0,"","Trondheim, Norway",Kalnapilis Original,Lager - Pale,5.0,Kalnapilis Brewery,Lithuania,Gastrobaras
1167460503,2022-06-10,4.5,"",Vilnius,Hazy Discovery Berlin,IPA - Imperial / Double,8.5,PINTA,Poland,Local Pub
1167462874,2022-06-10,4.0,Mmmmm unfiltered beers are really good,"",Birzenburg Unfiltered,Kellerbier / Zwickelbier,5.0,Rinkuškiai,Lithuania,Senoji Trobelė
1165013175,2022-06-03,2.8,"","",Schöfferhofer Weizen,Wheat Beer - Hefeweizen,5.0,Radeberger Gruppe,Germany,Beer House
1168022927,2022-06-11,4.0,Pasikuriam!,"",NemieGOSE PareiGOSE,Sour - Traditional Gose,4.7,Kuro Aparatūra,Lithuania,Saulės jėgainė
1169540238,2022-06-16,4.3,"","",Black IPA,IPA - Black / Cascadian Dark Ale,7.2,Sakiškės Brewery// Sakiškių Alus,Lithuania,Dūmų Fabrikas
1169021253,2022-06-14,4.0,Wawaweewa,"",Trappistes Rochefort 10,Belgian Quadrupel,11.3,Abbaye Notre-Dame de Saint-Rémy,Belgium,Alaus Biblioteka
1172462905,2022-06-24,3.0,"","",APA,IPA - American,5.0,Būsi Trečias,Lithuania,Būsi Trečias
1169998296,2022-06-17,3.8,"A little under-carbonated

Dinner at the apartment before an early, early morning. I had to try the local soup; it’s bright pink! Although cold and made with beets, it’s actually not that bad.","",Dark Forest / Tamsus Miškas,Porter - Baltic,6.0,Genys Brewing Co.,Lithuania,Etno Dvaras
1168635676,2022-06-12,3.8,"",Vilnius,Liquid Piñata (Cellar Series),Strong Ale - American,13.0,Põhjala,Estonia,Neries pakrante Vingio parke
1166883588,2022-06-08,3.8,"","",Kriek,Pilsner - Other,4.5,Leičių Bravoras,Lithuania,Aline Leičiai
1165156009,2022-06-03,4.3,"","",Geuze Mariage Parfait (2016),Lambic - Gueuze,8.0,Brouwerij Boon,Belgium,Lipskio Alinė
1167836078,2022-06-11,2.5,"","",Kvietinis,Wheat Beer - Witbier / Blanche,5.0,Vilkmerges Alus,Lithuania,Mikalo House
1167090510,2022-06-09,2.8,"",Moscow,Sirvenos Nefiltruotas,Other,6.0,Biržų Alus ,Lithuania,1 Peronas | Platform 1
1172887153,2022-06-25,3.0,"Onneksi kyljessä lukee ipa niin voi yrittää kuvitella olisiko tässä jotain muutakin makua kuin vesi ilman muita aromeita,  no eipä maistu silti pahaltakaan 🤔","",IPA,IPA - International,5.0,Rinkuškiai,Lithuania,Hotel Vilnia
