checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1174967444,2022-07-01,3.3,Сладкий горох,Minsk,Nuogas Ruonis (Naked Seal),Bière de Champagne / Bière Brut,5.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Breakfast room @ Marriott
1174971305,2022-07-01,3.0,"Нешта і сфоткаць і зачэкініць учора забыўся, спякота…","",Pilsner,Pilsner - Other,4.8,Alinė Leičiai,Lithuania,Queensberry
1177443818,2022-07-08,3.3,"Bitterhet försvinner med vitlök, svag syra  återstår.","Stockholm, Sweden",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Savičiaus Špunka
1181828839,2022-07-20,3.5,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Maurizio's Pizzeria
1179292972,2022-07-13,3.8,"","",Kvietinis,Wheat Beer - Hefeweizen,5.0,Vilniaus Alus,Lithuania,MEATing ROOM
1181662304,2022-07-19,3.5,"","",Hop House 13 Lager,Lager - Pale,4.1,Guinness,Ireland,Peronas
1179989106,2022-07-15,0.0,"",Vilnius,Complot IPA,IPA - Other,6.6,Damm,Spain,Alaus Dėžė
1180611899,2022-07-16,4.5,"",Lithuania,PARAGON 2018,Barleywine - English,13.5,LERVIG,Norway,Nisha craft Capital
1175588877,2022-07-02,4.0,"","",Estrella Damm,Lager - Pale,4.6,Damm,Spain,Republic No.4
1184475849,2022-07-27,2.0,"",Sipelga 3a,Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Gerimai Visa Para
1184781658,2022-07-28,2.0,"","",1795 Original Czech Lager,Pilsner - Czech,4.7,Samson (Budějovický měšťanský pivovar),Czech Republic,Paviljonas
1183630375,2022-07-24,3.5,Rook met frambozen en ergens een vage dranksmaak. Drinkt wel makkelijk weg.,NL,Baltic Porter With Raspberries Maker's Mark Bourbon Whiskey Barrel Aged,Porter - Baltic,7.2,Genys Brewing Co.,Lithuania,Genys Beer Garden
1177373158,2022-07-08,3.5,"","",Trappist IPA,IPA - American,7.2,Spencer Brewery,United States,Brussels Mussels Centrum
1184574758,2022-07-27,4.0,"",Minsk,Sour Fruit Ale Strawberry,Sour - Fruited,4.5,Poppels Bryggeri,Sweden,Nisha craft Capital
1174894970,2022-07-01,3.0,Dry,"",Nuogas Ruonis (Naked Seal),Bière de Champagne / Bière Brut,5.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Etno Dvaras
1182553021,2022-07-22,3.0,"",Glasgow,Kanapinis Šviesusis/ Kanapinis Light,Lager - Pale,5.1,Aukštaitijos Bravorai,Lithuania,Šnekutis
1181333156,2022-07-18,3.8,Не самая паганая пшанічка ў маім жыцці.,"",Tucher Helles Hefe Weizen,Wheat Beer - Hefeweizen,5.2,Tucher Bräu,Germany,Helios City 23rd floor
1178462023,2022-07-10,4.0,"","",Čia Penkenas,IPA - American,5.7,Kuro Aparatūra,Lithuania,Lipskio Alinė
1184776461,2022-07-28,4.0,"",Vilnius,Gueuze 100% Lambic Bio,Lambic - Gueuze,5.0,Brasserie Cantillon,Belgium,Nisha craft Capital
1184167141,2022-07-26,3.8,Не зусім разабраўся ў стылі. Адчуваў грэчку на смак і крышачку мёду.,"",Bronzos Amžius,Historical Beer - Other,4.6,Panevėžio Alus,Lithuania,Alaus kolonele
1175936598,2022-07-03,3.3,"","",Green Monster IPA,IPA - American,6.3,Green Monster Brewery,Lithuania,Nisha craft Capital
1176321857,2022-07-04,3.5,"","",Ole,Non-Alcoholic Beer - Sour,0.5,Browar Nepomucen,Poland,Local Pub
1176356786,2022-07-04,4.5,"","",Passion Pool,Sour - Fruited Gose,4.5,Mikkeller Brewing San Diego,United States,Gero alaus parduotuvė
1184939633,2022-07-28,4.0,"",Saint-Petersburg,Aviečių Gose,Sour - Fruited Gose,5.6,Dzūkų Alaus Restoranas,Lithuania,Dėvėti
1178909589,2022-07-11,3.0,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Baras Šuo
1182152076,2022-07-21,2.0,"Jak woda, nue kupować","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Jurgis ir Drakonas
1176664911,2022-07-05,3.3,"","",La Trappe Blond,Belgian Blonde,6.5,Bierbrouwerij De Koningshoeven,Netherlands,Žvėryno pub
1176703061,2022-07-05,3.5,"",Vilnius,Grove,IPA - Sour,6.0,Browar Nepomucen,Poland,King & Mouse
1185422986,2022-07-30,4.0,"",LTU,Ben's Last Dance,IPA - Imperial / Double New England / Hazy,8.2,Maltgarden,Poland,Nisha craft Capital
1179065695,2022-07-12,3.0,"","",Spring Night Adventure / Nuotykis Pavasario Naktį,Pale Ale - Other,4.5,Genys Brewing Co.,Lithuania,Beer House
1180968724,2022-07-17,3.5,"","",Wheat Beer,Wheat Beer - Hefeweizen,5.0,Alinė Leičiai,Lithuania,Aline Leičiai
1184837026,2022-07-28,3.5,"",Lithuania,AVOTI,Sour - Fruited,4.0,Nurme,Latvia,Nisha craft Capital
1185805108,2022-07-30,3.8,"","",Kita Pusė,IPA - White / Wheat,5.5,Panevėžio Alus,Lithuania,Špunka
1183045898,2022-07-23,4.3,"","",Helge,Gluten-Free,5.0,Põhjala,Estonia,Local Pub
1183062199,2022-07-23,4.0,"","",Pilsner,Pilsner - Other,5.2,Leičių Bravoras,Lithuania,Aline Leičiai
1176119072,2022-07-04,3.5,Чё так салодка,"",El Fruto,IPA - Imperial / Double,8.0,AleBrowar,Poland,Local Pub
1184940157,2022-07-28,2.5,"",Sipelga 3a,Organic Tattoo Lager,Lager - Pale,4.0,Genys Brewing Co.,Lithuania,Nineteen18
1180404724,2022-07-16,4.3,"","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,RoseHip Vegan Bistro
1176855963,2022-07-06,3.8,Huh tämä maukas! Ja pubi mitä parhain. Bukowskin seurassa viihtynee pidempäänkin.,"",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Bar Bukowski
1182144383,2022-07-21,3.0,"","Mechelen, Nederland",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Neries Krantine (Olimpieciu)
1180674747,2022-07-16,4.3,"",Vilnius,Alone In Space,IPA - New England / Hazy,6.1,TankBusters.Co,Poland,Naujamiestis
1176002450,2022-07-03,0.0,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Who Hit John
1178058324,2022-07-09,0.0,"","",Ghost of Kyiv Double Power,IPA - New England / Hazy,7.2,Sakiškės Brewery// Sakiškių Alus,Lithuania,Nisha craft Capital
1178188213,2022-07-09,4.3,"",Vilnius,Let's Make This,Sour - Smoothie / Pastry,5.5,Maltgarden,Poland,Naujamiestis
1181592412,2022-07-19,2.5,Light and fruity pale ale with a hit of sweetness.,Deventer,Bukowskio Ašara,Lager - Pale,5.0,Švyturys,Lithuania,Bar Bukowski
1179628401,2022-07-14,3.5,"","Carnikava, Latvia",The Order of Things,Pale Ale - New England / Hazy,4.8,North Brewing Co.,England,Nisha craft Capital
1185672860,2022-07-30,3.8,"","","Batch #2",Stout - Imperial / Double Pastry,12.0,Albert The Great,Spain,Nisha craft Capital
1175417477,2022-07-02,4.0,"",Minsk,Green Monster IPA,IPA - American,6.3,Green Monster Brewery,Lithuania,Šnekutis
1183619255,2022-07-24,4.3,"","",Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,Wheat Beer - Hefeweizen,5.5,Paulaner Brauerei,Germany,Bacchus
1181371412,2022-07-18,3.0,"",Linköping,Simkala APA,Pale Ale - American,5.3,Širvėnos bravoras,Lithuania,Špunka
1176011042,2022-07-03,3.8,"","",Gubernijos Nefiltruotas,Lager - Pale,5.5,Gubernija,Lithuania,Courtyard by Marriott Vilnius City Center
1178182098,2022-07-09,3.5,"","",Apiņots Ābolu Sidrs - Pussauss,Cider - Herbed / Spiced / Hopped,6.0,Abuls Sidra Darītava,Latvia,Nisha craft Capital
1178898613,2022-07-11,4.0,"","",Senojo Vilniaus Šviesusis Nefiltruotas,Lager - Pale,5.0,Vilniaus Alus,Lithuania,Zhangas
1178909939,2022-07-11,3.0,"Sehr frisch und fruchtig. Erträgliche hefenote. Es bleibt belgisch und damit eher nicht mein Fall, aber es ist ein erstaunlich erfrischender Belgier",Darmstadt,Saison Dupont Biologique,Farmhouse Ale - Saison,5.5,Brasserie Dupont,Belgium,Alaus Biblioteka
1182140648,2022-07-21,3.5,"","",Cyrulis,Pilsner - Other,4.9,Panevėžio Alus,Lithuania,RoseHip Vegan Bistro
1183626948,2022-07-24,3.5,Hangen in een Amerikaanse bar. Ontzettend leuke tent. Leuk volk en een erg goeie unit.,"",Simkala APA,Pale Ale - American,5.3,Širvėnos bravoras,Lithuania,Jimmy Jumps Bar
1184448301,2022-07-27,5.0,Absolutely best smoothie,"Vilnius, Lithuania ",Vanilla Mango Guava Smoothie Seltzer,Hard Seltzer,5.0,Untitled Art,United States,Nisha craft Capital
1179425643,2022-07-13,4.5,"Ein tolles Rauchbier. Ich bin begeistert von dem Bierstil, der hier sehr gut umgesetzt wurde.",Darmstadt,Grodziskie,Grodziskie / Grätzer,3.0,Vasaknų dvaro alus,Lithuania,Local Pub
1181934881,2022-07-20,3.5,"","",Spring Night Adventure / Nuotykis Pavasario Naktį,Pale Ale - Other,4.5,Genys Brewing Co.,Lithuania,Beer House
1182699025,2022-07-22,3.0,"","",Atomic Blonde,Wheat Beer - Other,4.3,Bear and Boar,Lithuania,Vilnius Apartaments
1181033215,2022-07-17,3.3,Ну хоць якая таматка,"",Catch Up!,Sour - Fruited Gose,4.1,Anderson's Craft Beer,Estonia,Nisha craft Capital
1184774648,2022-07-28,3.8,"","",1664 Blanc,Wheat Beer - Witbier / Blanche,5.0,Kronenbourg Brewery,France,Lukiškių kalėjimas 2.0
1176366825,2022-07-04,2.8,"","",Proginis,Lager - Pale,5.2,Rinkuškiai,Lithuania,Neringa Kavinė
1184301393,2022-07-26,3.3,"","",Vilkmergės Premium Lager,Lager - Helles,5.0,Vilkmerges Alus,Lithuania,Calvary Hotel & Restaurant
1183045992,2022-07-23,3.8,"","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Hookah Place Vilnius
1185235556,2022-07-29,1.8,"","",Organic Tattoo Lager,Lager - Pale,4.0,Genys Brewing Co.,Lithuania,Briusly Terasa
1176715818,2022-07-06,2.5,"Visiškai primityvus atseit porteris. Tiesiog užtamsintas ir saldus lageris. Nėra kažkuo bjaurus. Bet visiškai beprasmis. 0 putos, 0 salyklinio džiaugsmo. Tiesiog Rudasis cukrinukas. Eikite nachuj netalentingi biezdoriai. Bl saldi arbata su čiut kartumo.",Vilnius. Lithuania.,Latras Šamas,Porter - Other,7.0,Šamūkis,Lithuania,Latro Terasa
1176869375,2022-07-06,3.8,Pretty good,"",Smile,Lager - Pale,4.5,Pivovarna Union,Slovenia,Little Big
1181840615,2022-07-20,2.3,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Congress Avenue Hotel
1182982833,2022-07-23,5.0,"Пожалуй, лучшее, что я пробовал за 1000 чекинов.","",Vanilla Coffee Bourbon Barrel Dark Apparition (2022),Stout - Russian Imperial,11.3,Jackie O's Brewery,United States,Nisha craft Capital
1183553650,2022-07-24,0.0,"","","Freeky IPA Bezglutenowe, Bezalkoholowe",Non-Alcoholic Beer - IPA,0.5,Maryensztadt,Poland,manoalus.lt
1177917254,2022-07-09,3.8,"Vihdoin hyvä paikallinen olut. Freesiä ja greippisen pihkaista west coast -meininkiä, pientä kukkaisuuttakin löytyy. Rapsakka ja kuivahko jälkimaku.","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Beer House
1178479058,2022-07-10,2.5,"",Amsterdam,Ungurio Kojos (Eel Legs),Kellerbier / Zwickelbier,5.3,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Lukiškių kalėjimas 2.0
1178893206,2022-07-11,3.5,"","",Poperings Hommelbier,Belgian Strong Golden Ale,7.5,Leroy breweries ,Belgium,we love pop 2000
1183092578,2022-07-23,3.0,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Etno Dvaras
1185715061,2022-07-30,3.5,"",Minsk,Witukas (witbier),Wheat Beer - Witbier / Blanche,5.0,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
1176895241,2022-07-06,4.0,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Lokys
1176642637,2022-07-05,0.0,"",Vilnius,Louis,Stout - Irish Dry,5.0,Browar Nepomucen,Poland,Local Pub
1178935733,2022-07-11,3.5,"Hyvää IPA. 3,50€ stobe","",IPA,IPA - Other,5.0,Švyturys,Lithuania,BIX Baras
1179408370,2022-07-13,4.0,"","",The Order of Things,Pale Ale - New England / Hazy,4.8,North Brewing Co.,England,Nisha craft Capital
1179928688,2022-07-15,3.0,"","",Kwas Tau,Sour - Fruited,4.8,PINTA,Poland,Local Pub
1176815602,2022-07-06,3.5,"",Amsterdam,Gintarinis (Amber),Pilsner - Other,4.6,Švyturys,Lithuania,Etno Dvaras
1185178583,2022-07-29,3.5,"",Vilnius,Nida,Wheat Beer - Hefeweizen,4.5,:Belike brewing,Lithuania,Local Pub
1179368279,2022-07-13,4.5,"","",The Order of Things,Pale Ale - New England / Hazy,4.8,North Brewing Co.,England,Nisha craft Capital
1185115883,2022-07-29,4.0,"","",Vyšnių Kriek,Fruit Beer,5.0,Vilkmerges Alus,Lithuania,Šnekutis
1182574420,2022-07-22,3.0,"",Glasgow,Midus,Mead - Other,6.0,Lietuviškas Midus,Lithuania,Šnekutis
1183005028,2022-07-23,5.0,"","",Nuogas Ruonis (Naked Seal),Blonde Ale,5.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Lukiškių kalėjimas 2.0
1184783927,2022-07-28,0.0,"","",Tradicinis,Bock - Hell / Maibock / Lentebock,6.0,Švyturys,Lithuania,Grata Hotel
1179046024,2022-07-12,2.5,"","Vilnius, Lithuania",Kunigaikščių Gintarinis Elis,Lager - Amber,5.7,MV Group Production AB,Lithuania,Maxima XX
1178166995,2022-07-09,4.0,"","",Guinness Draught,Stout - Irish Dry,4.2,Guinness,Ireland,Lipskio Alinė
1178571179,2022-07-10,1.5,"","",Tamsusis,Dark Ale,5.8,Vilkmerges Alus,Lithuania,Alaus Dėžė
1184473019,2022-07-27,3.5,"","",Baltijos,Märzen,5.8,Švyturys,Lithuania,Užupio kavinė
1184475832,2022-07-27,3.8,"","",Cologne Tourist,Kölsch,5.0,Volfas Engelman,Lithuania,iBar
1184502218,2022-07-27,4.3,"","",Anarkist New England IPA,IPA - New England / Hazy,5.4,Theodor Schiøtz Brewing Company,Denmark,Piano Man Outside
1179618280,2022-07-14,4.0,"","",Coffee Baltic Porter,Porter - Coffee,7.2,Sakiškės Brewery / Sakiškių Alus,Lithuania,Dūmų Fabrikas
1180030904,2022-07-15,4.0,"","",Catch Up!,Sour - Fruited Gose,4.1,Anderson's Craft Beer,Estonia,Nisha craft Capital
1181043672,2022-07-17,3.8,"","","Argus Radler 0,0% Lemon",Non-Alcoholic Beer - Shandy / Radler,0.0,Lidl Polska,Poland,Užupio dramos teatras
1176646155,2022-07-05,3.8,"",Minsk,Somersby Pear Cider,Cider - Perry,4.5,Carlsberg Group,Denmark,ČIOP ČIOP Event Studio
1184440409,2022-07-27,3.8,"","Vilnius, Lithuania ",Mr. Shakey Peach,IPA - Milkshake,7.5,Maplewood Brewing Company,United States,Nisha Craft Beer Shop
1174878458,2022-07-01,4.0,"",Minsk,Bang! Bang!,IPA - American,6.5,Cierzo Brewing Co.,Spain,Nisha craft Capital
1180495563,2022-07-16,3.5,"","",Grand Select,Lager - Pale,5.4,Kalnapilis Brewery,Lithuania,Grill London
1176339928,2022-07-04,3.8,"","",What's Next?,IPA - White / Wheat,6.5,Browar Rockmill,Poland,Nisha craft Capital
1174868622,2022-07-01,2.8,"","",Birra Moretti L'Autentica / Ricetta Originale,Lager - Pale,4.6,Birra Moretti,Italy,Alaus Dėžė
1177414311,2022-07-08,4.0,"","",Russia Stout,Stout - Other,5.1,Mikkeller,Denmark,Nisha craft Capital
1174864294,2022-07-01,3.3,"","",Plakta Vasarėlė,Pale Ale - Milkshake,5.3,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Lukiškių kalėjimas 2.0
1183221086,2022-07-23,3.5,"",Stockholm,1664 Blanc,Wheat Beer - Witbier / Blanche,5.0,Kronenbourg Brewery,France,Maurizio's Pizzeria
1177921631,2022-07-09,2.0,"","",IPUTĖ (Little IPA),IPA - American,5.1,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
1185764691,2022-07-30,4.0,"","",De Gouden Swaen/Het Witte Kasteel,Belgian Tripel,8.0,KraftBier,Netherlands,Nisha craft Capital
1176844560,2022-07-06,3.8,Very hazy.,"",Kosmos,IPA - New England / Hazy,5.5,Põhjala,Estonia,Alaus Biblioteka
1181478805,2022-07-19,3.5,"","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Who Hit John
1177064012,2022-07-07,4.0,"","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Ketchup
1179091317,2022-07-12,4.0,"",Overijssel,Marakešas,Wheat Beer - Hefeweizen,4.2,Kuro Aparatūra,Lithuania,Piano Man Bar
1180148936,2022-07-16,0.0,"","",Labas Vakaras,Porter - Other,5.0,Panevėžio Alus,Lithuania,Bar Pahonia
1180236417,2022-07-16,3.8,"","",Anarkist New England IPA,IPA - New England / Hazy,5.4,Theodor Schiøtz Brewing Company,Denmark,Republic No.4
1181054212,2022-07-17,3.8,"","",Špunka Pils,Pilsner - Other,4.8,Širvėnos bravoras,Lithuania,Bar Pahonia
1181143914,2022-07-17,4.0,"","Vilnius, Lithuania ",Feels Like Pils,Pilsner - Other,4.8,Browar Rockmill,Poland,Nisha craft Capital
1184550807,2022-07-27,3.5,"","",Rinktinis,Lager - Pale,5.2,Volfas Engelman,Lithuania,Girta Bitė
1184801796,2022-07-28,2.8,"","",World Wide Westcoast,IPA - Session,4.4,To Øl,Denmark,Alaus Biblioteka
1183131367,2022-07-23,4.3,"","",Kilkim Žaibu 2021,Historical Beer - Gruit / Ancient Herbed Ale,4.9,Širvėnos bravoras,Lithuania,Aline Leičiai
1181401726,2022-07-18,5.0,"","",Westmalle Trappist Dubbel,Belgian Dubbel,7.0,Brouwerij der Trappisten van Westmalle,Belgium,Brussels Mussels
1178655080,2022-07-10,4.5,"Oooo. Kvapelis tai jooo. Uogų - šokoladinis pyragas. Saikingas rūgštumas. Tik keista užkanda prie jo. Rūkytas upėtakis. Na bet nieko, jokio disonanso nėra, kaip būtų galima tikėtis.",Vilnius. Lithuania.,Fruits Strike,Sour - Fruited,7.9,Browar Nepomucen,Poland,Vaisiai ir Daržovės
1184559982,2022-07-27,3.8,"","",Voodoo Tune,Pale Ale - Belgian,5.6,Alsteka,Lithuania,Žirmūnai
1184519923,2022-07-27,3.0,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Maurizio's Pizzeria
1181032935,2022-07-17,3.5,І праўда спер дупа,"",Super DuPA,Pale Ale - Other,5.5,Jopen,Netherlands,Nisha craft Capital
1175604413,2022-07-02,4.0,"","",Solid Beat,IPA - Other,6.5,PINTA,Poland,Local Pub
1183119310,2022-07-23,4.3,"",LTU,Blackcurrant x Mango x Passionfruit x Vanilla Sour Ale,Sour - Fruited,5.5,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1182221185,2022-07-21,3.3,"","",Ekstra Draught,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Grey
1183679863,2022-07-24,4.3,Правесці бацькоў на аўцік да дому праз 2 года небачання і напіцца,"",Festive Playlist,IPA - Triple New England / Hazy,10.0,Maltgarden,Poland,Nisha craft Capital
1176029412,2022-07-03,3.3,"","",Kranto Kritikas,IPA - New England / Hazy,6.2,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Neries Krantine (Olimpieciu)
1185850573,2022-07-30,3.8,"",Minsk,Smile,Pale Ale - American,4.2,:Belike brewing,Lithuania,Local Pub
1175430862,2022-07-02,3.8,"","",Anger,IPA - American,7.0,Brokreacja,Poland,Local Pub
1179420155,2022-07-13,3.3,"","",Pilsner Urquell,Pilsner - Czech,4.4,Plzeňský Prazdroj,Czech Republic,Soulaction
1181405731,2022-07-18,3.5,"","",Code IPA,IPA - American,6.5,Nurme,Latvia,Nisha craft Capital
1185480254,2022-07-30,3.0,"","",CONTROL,IPA - American,6.0,Nurme,Latvia,King & Mouse
1182460659,2022-07-22,2.8,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Etno Dvaras
1183224539,2022-07-23,4.5,"","",Delayed Spaceship,IPA - Imperial / Double New England / Hazy,7.7,Maltgarden,Poland,Nisha craft Capital
1183226211,2022-07-23,0.0,"",Vilnius,Kalnapilis Original,Lager - Pale,5.0,Kalnapilis Brewery,Lithuania,plius plius plius
1184209034,2022-07-26,3.8,"","",Blackcurrant x Mango x Passionfruit x Vanilla Sour Ale,Sour - Fruited,5.5,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1179092394,2022-07-12,4.3,"Wow. In der Nase eher zurückhaltend grassig, aber im Mund dann eine Geschmacksexplosion. Bittere, harzige Ananas. Sehr spannend und ausgewogen.",Darmstadt,Hoppy Tree Friends,Lager - Pale,5.0,Bear and Boar,Lithuania,Tilto 6
1184009372,2022-07-25,3.0,"",Helsinki,Cyrulis,Pilsner - Other,4.9,Panevėžio Alus,Lithuania,Užupio kavinė
1181609416,2022-07-19,3.8,"","",Two Liberties / Dvi Laisvės,IPA - American,6.0,Genys Brewing Co.,Lithuania,Nisha craft Capital
1180151098,2022-07-16,4.0,"",Minsk,Hazy Forbearance,Pale Ale - American,5.5,18th Street Brewery,United States,Nisha craft Capital
1181053839,2022-07-17,3.0,"","",Anarkist New England IPA,IPA - New England / Hazy,5.4,Theodor Schiøtz Brewing Company,Denmark,Peronas
1184267386,2022-07-26,3.3,"","",Blond,Wheat Beer - Witbier / Blanche,4.5,Volfas Engelman,Lithuania,Lords
1179610996,2022-07-14,2.5,"","",Juodųjų Serbentų Stout,Stout - Other,5.5,Vilkmerges Alus,Lithuania,Ivolita Vilnius Hotel
1183294385,2022-07-23,2.8,"","",Gutstoutas,Stout - Oatmeal,5.2,Širvėnos bravoras,Lithuania,Etmonų Špunka
1177956613,2022-07-09,3.0,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Ketchup
1184504173,2022-07-27,3.5,"Kartus ir kartumas dar ilgai jaučiasi, labai jaučiasi apynių skonis. Toks rimtas vyriškas alus. Šiaip geras vertas dėmesio kai tikro alaus norisi. Skardine 0.33  pats tas nes daugiau jo nebesinori","",Hop Rider Session IPA,IPA - Session,4.9,Privatbrauerei Eichbaum,Germany,Apleistas Bukčių Tiltas
1180044864,2022-07-15,3.0,Very watery,"",Punk IPA,IPA - American,5.2,BrewDog,Scotland,Peronas
1176803368,2022-07-06,3.0,"",Vilnius,Hoppy Pride,Lager - Helles,5.0,BrewDog Deutschland,Germany,King & Mouse
1178882604,2022-07-11,3.3,Starke trockene Malznote. Zusätzlich ordentlich Hopfen. Nicht zurückhaltend.,Darmstadt,The Silence of the Lambs,IPA - English,6.1,Bear and Boar,Lithuania,Šnekutis
1183777504,2022-07-24,2.3,"","",Somersby Watermelon,Cider - Other Fruit,4.5,Carlsberg Group,Denmark,Vilnius Apartaments
1185767180,2022-07-30,3.8,"",Minsk,Erdinger Weißbier / Hefe-Weizen,Wheat Beer - Hefeweizen,5.3,Erdinger Weissbräu,Germany,Veranda
1181583866,2022-07-19,3.5,"","",Orange And Lemon Zest Pale Ale,Pale Ale - Other,4.3,Sakiškės Brewery / Sakiškių Alus,Lithuania,Baltas Tiltas Food Hall
1184962072,2022-07-29,3.5,"","",Reloaded,IPA - Session,5.8,Tanker Brewery,Estonia,Ozo parkas
1176854757,2022-07-06,4.8,"",Lithuania,Cherry Fandango,Sour - Fruited,5.1,Toppling Goliath Brewing Co.,United States,Nisha craft Capital
1177174141,2022-07-07,3.8,Fyldig og fin.,"",Kurkas,Dark Ale,4.9,Panevėžio Alus,Lithuania,Lokys
1178479469,2022-07-10,3.0,"",Amsterdam,Bėganti Kopa (Running Dune),Wheat Beer - Witbier / Blanche,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Lukiškių kalėjimas 2.0
1184470103,2022-07-27,3.0,"","",Vanilla Coffee Bourbon Barrel Dark Apparition,Stout - Russian Imperial,11.3,Jackie O's Brewery,United States,Nisha craft Capital
