checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1186914535,2022-08-02,3.8,"",Glasgow,Mango Milkshake,Pale Ale - American,5.2,Alaus Darykla Apynys,Lithuania,Šnekutis
1193063533,2022-08-19,4.0,"","",Humulupu IPA,IPA - American,5.0,Panevėžio Alus,Lithuania,Slojikai
1195876753,2022-08-27,3.8,"","",Thrilla In Vanilla,Sour - Smoothie / Pastry,5.2,Browar Rockmill,Poland,Nisha craft Capital
1192683874,2022-08-18,0.0,"","",Fischer Blonde Tradition,Pilsner - Other,6.0,Heineken France,France,Lyoness
1189624425,2022-08-09,4.8,"","",Berliner Weisse With Cherries And Sage,Sour - Berliner Weisse,3.5,Genys Brewing Co.,Lithuania,Nisha craft Capital
1187132471,2022-08-03,3.8,"","",Kurkas,Dark Ale,4.9,Panevėžio Alus,Lithuania,Lokys
1193408315,2022-08-20,3.0,"",Vilnius,Karpių Dvaro Porteris,Porter - Other,5.8,UAB Joalda,Lithuania,Tymo turgus
1194338427,2022-08-22,3.8,"Lekkere ipa, zacht van smaak niet heel hoppig, duidelijke tarwe. Goed bier, drinkt langzaam.","",IPA,IPA - American,6.5,Alinė Leičiai,Lithuania,Aline Leičiai
1194385904,2022-08-22,3.0,"","Marlboro, NJ",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,MEATing ROOM
1194993970,2022-08-25,3.3,"","",DDH IPA  Putoja! Festival Edition,IPA - Imperial / Double,6.9,Sakiškės Brewery / Sakiškių Alus,Lithuania,Nisha craft Capital
1195265273,2022-08-26,4.3,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Who Hit John
1190058043,2022-08-11,2.8,With grapefruit,"",Šviesusis,Pale Ale - Other,5.6,Vilkmerges Alus,Lithuania,Grill Terrace
1195724532,2022-08-27,3.3,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Chačapuri
1187224473,2022-08-03,4.0,"",Lithuania,DEATH.NET (Ghost 1032),IPA - American,7.0,Adroit Theory,United States,Nisha craft Capital
1187554433,2022-08-04,3.0,"","",Pūsk Prieš Vėją,IPA - Imperial / Double New England / Hazy,6.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Neries Krantine (Olimpieciu)
1195882797,2022-08-27,4.0,"","",Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,Wheat Beer - Hefeweizen,5.5,Paulaner Brauerei,Germany,Peronas
