checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1327482154,2023-11-01,3.8,"","",Georgia Peach Mochi,Sour - Smoothie / Pastry,4.2,Piwne Podziemie,Poland,Georg's 27
1329429020,2023-11-08,3.8,"","",Honeck Attitude,IPA - Imperial / Double New England / Hazy,8.0,The Piggy Brewing Company,France,Nisha craft Capital
1330866553,2023-11-12,3.3,"","",Senolių Senovinis,Farmhouse Ale - Other,6.0,Su Puta,Lithuania,Alaus kolonele
1331514372,2023-11-16,4.0,"","",Rainy Days,IPA - Imperial / Double New England / Hazy,8.2,Midnight Project,Belarus,Kraftaviks
1334255832,2023-11-25,0.0,"",Raudondvaris,Huay Chivo,Stout - Imperial / Double Pastry,11.3,Tartarus Beers,England,LOFTAS
1335082075,2023-11-29,4.0,"",Lithuania,Child's Play,IPA - Imperial / Double New England / Hazy,7.9,Bereta Brewing Co.,Romania,Nisha craft Capital
1333770935,2023-11-24,3.8,"","",Juice Forsyth,IPA - Fruited,5.0,Brew York,England,LOFTAS
1330440140,2023-11-11,3.5,Left hand beer,"",Deep Sea DIPA,IPA - Imperial / Double New England / Hazy,7.6,Bear and Boar,Lithuania,Bear&Boar Brewery Taproom
1333428019,2023-11-23,4.0,"There ist some sweet fruits in the front, I needed some time to recognise the plum. But there is also tomato and it is nice peppery. So it is a plumish tomato-pepper gose.","",UKRAINIAN TOMATO GOSE,Sour - Other Gose,4.3,Underwood Brewery,Ukraine,Nisha craft Capital
1329821415,2023-11-10,3.8,"","",Intergalactic,IPA - New England / Hazy,6.8,FUERST WIACEK Berlin ,Germany,Nisha craft Capital
1333671562,2023-11-24,3.5,"","Vilnius, Lithuania","Gelato XTREME: Blueberry, Plum, Banana & Raspberry Cheesecake",Sour - Smoothie / Pastry,8.0,Funky Fluid,Poland,LOFTAS
1334180265,2023-11-25,3.5,"","",Bruts,Cider - Dry,5.8,Abuls Sidra Darītava,Latvia,LOFTAS
1332184547,2023-11-18,1.8,Litauisches IPA,"",Šviesus,Lager - Pale,5.0,Būsi Trečias,Lithuania,Gyvas Baras
1333811424,2023-11-24,3.8,"","",7f Light,IPA - Other,6.0,7 Fridays,Lithuania,7 Fridays
