checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1246942132,2023-02-11,2.5,"","",Margarita Gose,Sour - Traditional Gose,4.3,Sakiškės Brewery / Sakiškių Alus,Lithuania,Žmogšala 10 (2023)
1246971981,2023-02-11,4.0,"Peaty smoke, still honey lovely.","",Heatherlander,Scotch Ale / Wee Heavy,7.6,Käbliku Pruulikoda,Estonia,Žmogšala 10 (2023)
1247538104,2023-02-12,3.8,"","",Dark Forest / Tamsus Miškas,Porter - Baltic,6.0,Genys Brewing Co.,Lithuania,RoseHip Vegan Bistro
1246946057,2023-02-11,4.8,"","",Bombaż,Sour - Fruited,5.8,Ziemia Obiecana,Poland,Žmogšala 10 (2023)
1249506429,2023-02-19,3.8,"","",Dubults IPA,IPA - American,7.2,Panevėžio Alus,Lithuania,Bar Pahonia
1246574642,2023-02-10,3.5,"","",Oto Mata IPA,IPA - Other,5.8,PINTA,Poland,Local Pub
1247270407,2023-02-12,4.0,"",oslo,West Coast Tropics,IPA - Imperial / Double,8.0,Seven Island Brewery,Greece,Nisha craft Capital
1247008752,2023-02-11,3.3,"Floral malts colours. Light and refreshing. Slight sourness and bitterness. Chocolate in the distance, weaker coffee.","",Õllenaut Tume,Dark Ale,4.9,Õllenaut,Estonia,Žmogšala 10 (2023)
1246954568,2023-02-11,5.0,"","",Katselendur,Lager - Pale,5.0,Õllenaut,Estonia,Žmogšala 10 (2023)
1244348578,2023-02-01,3.0,"","",Nieko Sour,Non-Alcoholic Beer - Other,0.0,Kuro Aparatūra,Lithuania,Oishy Izakaya (OIŠY Izakaya)
1251917381,2023-02-28,3.8,"","",Šventinė,Mead - Other,30.0,Lietuviškas Midus,Lithuania,Aline Leičiai
1246989740,2023-02-11,3.8,"",Kaunas,Tume Laager,Lager - Dark,6.0,Lehe Pruulikoda,Estonia,Žmogšala 10 (2023)
1246962786,2023-02-11,3.8,"","",Sea Goes Radical,Sour - Traditional Gose,4.0,Nurme,Latvia,Žmogšala 10 (2023)
1247224489,2023-02-11,2.8,"","Kaunas, Lithuania",Grynas,Lager - Pale,5.0,Širvėnos bravoras,Lithuania,gato with hato
