checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1259642850,2023-03-27,4.5,"","Riga, Latvia",Bistrampolio Weissbier Pale  Beer,Wheat Beer - Other,4.6,Aukštaitijos Bravorai,Lithuania,Air Inn Vilnius Hotel
1253805657,2023-03-07,3.0,"","",Humulupu IPA,IPA - Session,5.0,Panevėžio Alus,Lithuania,Beer House
1254365689,2023-03-10,2.8,"","",Tradicinis,Bock - Hell / Maibock / Lentebock,6.0,Švyturys,Lithuania,Etno Dvaras
1258867203,2023-03-25,4.0,🥭,"",Milky Mango,IPA - Milkshake,5.5,Underwood Brewery,Ukraine,Alaus Biblioteka
1255990782,2023-03-15,3.3,Lithuanian lager 🇱🇹🍻😂,"",Kalnapilis Original,Lager - Pale,5.0,Kalnapilis Brewery,Lithuania,Bonsoir Paris Bistro Boutique
1260427807,2023-03-31,3.3,"","",Rinktinis,Lager - Pale,5.2,Volfas Engelman,Lithuania,Fuksas
1259036878,2023-03-25,3.5,"","",Common Gull,Pale Ale - American,5.2,Browar Nepomucen,Poland,Local Pub | Trakų
1255921590,2023-03-15,3.5,"","",Baltijos,Märzen,5.8,Švyturys,Lithuania,Narbutas Business Lounge
1254988204,2023-03-11,1.8,"","",Varniukų Tamsus,Dark Ale,5.6,Davra Alaus Darykla,Lithuania,Etno Dvaras
1253564576,2023-03-06,4.3,"","",Imhla: Zappa,IPA - New England / Hazy,6.0,Malanka,Belarus,Nisha craft Capital
1259410369,2023-03-26,3.3,"",Roade,Birra Moretti L'Autentica / Ricetta Originale,Lager - Pale,4.6,Birra Moretti,Italy,Užupio Picerija
1259489042,2023-03-26,3.3,Lci,"",Paliūniškio Medutis,Honey Beer,5.5,Su Puta,Lithuania,Bmw x1 baltas
1254237723,2023-03-09,3.3,"","",Pyder,Cider - Perry,5.0,Gwatkin Cider Co Ltd,England,Local Pub | Trakų
1257340520,2023-03-19,3.8,Кісляк з рэвенем. Вельмі-вельмі просты.,"",Rūgštus Zuikis,Sour - Other,4.7,Kuro Aparatūra,Lithuania,Zuikiu Miestas
1252026727,2023-03-01,3.3,"","",Party IPA,IPA - Session,3.7,PINTA,Poland,Local Pub
1252291053,2023-03-02,3.8,"","",Humulupu IPA,IPA - Session,5.0,Panevėžio Alus,Lithuania,Savičiaus Špunka
1257400233,2023-03-19,3.5,"","",ZEFIRBERRY,IPA - Milkshake,5.0,Underwood Brewery,Ukraine,Local Pub
1255339252,2023-03-12,3.3,"","",Craft IPA,IPA - American,0.0,7 Fridays,Lithuania,7 Fridays
1258899873,2023-03-25,3.5,"","Vilnius, Lithuania",Mint Eastwood,Stout - Pastry,10.5,Anderson's Brewery,Estonia,Alaus Biblioteka
1252477850,2023-03-03,2.3,Smaker som krydra piss. Og det går bra 😊,"",Grand Select,Lager - Pale,5.4,Kalnapilis Brewery,Lithuania,Best Western Hotel Vilnius
1254858065,2023-03-11,0.0,"",Minsk,Senovinis,Farmhouse Ale - Other,6.0,Biržų Alus ,Lithuania,Šnekutis
1256934174,2023-03-18,3.0,"",Vilnius,Brut Des Flandres,Bière de Champagne / Bière Brut,10.0,Volfas Engelman,Lithuania,Alaus Biblioteka
1257651453,2023-03-20,4.0,"Аромат гуд, а во вкусе теряет","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Šnekutis
1260548326,2023-03-31,4.0,"","",Hazy IPA,IPA - New England / Hazy,6.1,Sakiškės Brewery / Sakiškių Alus,Lithuania,Alaus Biblioteka
1255992990,2023-03-15,4.8,"","",Pelėda,Stout - Milk / Sweet,4.6,Panevėžio Alus,Lithuania,Alaus Biblioteka
1258135169,2023-03-23,3.3,"","",Estrella Damm N.A. (Non-Alcoholic),Non-Alcoholic Beer - Lager,0.0,Damm,Spain,Blusynė
1258153402,2023-03-23,4.0,"","",Daujotu Original,Lager - Dortmunder / Export,5.2,Davra Alaus Darykla,Lithuania,BIX Baras
1256876325,2023-03-18,3.8,"","Vilnius, Lithuania",NOLAN,IPA - New England / Hazy,5.5,Browar Dziki Wschód,Poland,Local Pub | Trakų
1252532087,2023-03-03,3.8,"",Vilnius,Georgina,IPA - Black / Cascadian Dark Ale,6.0,Magic Road,Poland,Bernardinų kapinės
1253467177,2023-03-05,4.3,"","",Nuogas Ruonis (Naked Seal),Blonde Ale,5.8,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Etno Dvaras
1253799242,2023-03-07,4.0,"","",Baltas (White),Wheat Beer - Hefeweizen,5.0,Švyturys,Lithuania,Pilies KATPĖDĖLĖ
1252837752,2023-03-04,4.3,"","",Tamsusis Elis,Dark Ale,5.9,Gubernija Brewery,Lithuania,Paupio turgus
1258855877,2023-03-25,3.0,"","Vilnius, Lithuania",Valeksander,Pilsner - German,4.7,Anderson's Brewery,Estonia,Alaus Biblioteka
1260196059,2023-03-30,4.0,"","",Wheeler,Stout - Irish Dry,4.1,Trzech Kumpli,Poland,Local Pub
1252308047,2023-03-03,5.0,"","",Canabis,Spiced / Herbed Beer,5.3,Klausučių Bravoras (UAB Armėniukas),Lithuania,Haze Pub
1254396837,2023-03-10,3.3,"","",Humulupu IPA,IPA - Session,5.0,Panevėžio Alus,Lithuania,Būsi Trečias
1258168100,2023-03-23,0.0,"","",Kranto Kritikas,IPA - New England / Hazy,6.2,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Houdini
1260411593,2023-03-31,4.0,"",Vilnius,"Kaskadininkas, Kuris Nemokėjo Plaukti",Sour - Fruited Gose,4.3,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,No Forks
1257653080,2023-03-20,3.0,"",Vilnius,Paderborner Pilger,Kellerbier / Zwickelbier,5.0,Paderborner Brauerei,Germany,Vilnius TV tower (Televizijos bokštas)
1255631206,2023-03-13,3.3,"","",Bohemijos Tamsusis,Lager - Munich Dunkel,4.2,Volfas Engelman,Lithuania,Karčma 1863
1253364293,2023-03-05,3.3,"","",Kalnapilis 7.30,Lager - Strong,7.3,Kalnapilis Brewery,Lithuania,Best Western Hotel Vilnius
1258863210,2023-03-25,3.5,"",Vilnius,Horror Dance Squad,IPA - White / Wheat,5.0,Anderson's Brewery,Estonia,Alaus Biblioteka
1258905657,2023-03-25,3.8,"","",Jean Ginie Gin BA,Sour - Fruited Gose,9.9,Anderson's Brewery,Estonia,Alaus Biblioteka
1260053783,2023-03-29,2.8,"","",SUPER 8 IPA,IPA - Belgian,6.0,Brouwerij Haacht Brasserie,Belgium,Brussels Mussels Centrum
1256936774,2023-03-18,4.5,"","",UKRAINIAN TOMATO GOSE,Sour - Other Gose,4.1,Underwood Brewery,Ukraine,Nisha craft Capital
1256352137,2023-03-17,0.0,"","",Viking Shake,Stout - Imperial / Double,13.0,Mikkeller Brewing San Diego,United States,Gero alaus parduotuvė Vilnius
1255815983,2023-03-14,4.8,Beautiful taste and strength. Recommended!,HOLT,Inkognito Quadrupel (American Oak Aged),Belgian Quadrupel,10.6,Õllenaut,Estonia,Nisha craft Capital
1252965135,2023-03-04,4.0,"",Vilnius,Prime.,IPA - American,6.5,Moon Lark Brewery,Poland,Local Pub
1254392867,2023-03-10,0.0,"","",Rinkuskiu Drumstas Nefiltruotas,Lager - Pale,5.2,Rinkuškiai,Lithuania,Tesla
1254491141,2023-03-10,4.8,Another masterpiece in a can,"",5 Year Anniversary Quadruple Dry Hopped TIPA,IPA - Triple New England / Hazy,10.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1256127535,2023-03-16,3.5,"","",Dubults IPA,IPA - American,7.2,Panevėžio Alus,Lithuania,Beer House
1253663000,2023-03-06,3.5,"","",Pilsner,Pilsner - Other,4.8,Alinė Leičiai,Lithuania,Aline Leičiai
1256348425,2023-03-17,2.8,"",Minsk,ARGUS Kvietinis Aromatizuotas,Wheat Beer - Witbier / Blanche,4.5,Lidl Lietuva,Lithuania,Comfort Hotel LT
1255387671,2023-03-12,3.3,"","",Craft IPA,IPA - American,0.0,7 Fridays,Lithuania,7 Fridays
1255759946,2023-03-14,3.0,"","",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Pilies kepyklėlė
1252039843,2023-03-01,3.5,"","",Party IPA,IPA - Session,3.7,PINTA,Poland,Local Pub
1254940736,2023-03-11,4.3,"","",33,Wild Ale - Other,6.9,Panevėžio Alus,Lithuania,BT335 VNO-TLL
1258374106,2023-03-24,3.8,"","",AMOUR On the Coast,IPA - New England / Hazy,6.5,Nurme,Latvia,Nisha craft Capital
1257355452,2023-03-19,4.5,Alkoholinis klevų sirupas. Kažkoks WTF visiškas. Trūko tik bekono su blyneliais.,Vilnius. Lithuania.,Drink Til Burbon Maple,Other,7.0,Põhjala,Estonia,Alaus Biblioteka
1255760234,2023-03-14,3.5,"","",1664 Blanc,Wheat Beer - Witbier / Blanche,5.0,Kronenbourg Brewery,France,pica max
1253834899,2023-03-07,3.8,упс,Minsk,Pauwel Kwak,Pale Ale - Belgian,8.4,Brouwerij Bosteels,Belgium,Piano Man Bar
1254434777,2023-03-10,3.3,"","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Beer House
1258885171,2023-03-25,3.5,"","Vilnius, Lithuania",Candied Oblivion,Sour - Other,6.3,Anderson's Brewery,Estonia,Alaus Biblioteka
1255394111,2023-03-12,2.8,"","",PINTA Collab PL: Cieszyn,Pilsner - Other,5.0,PINTA,Poland,Local Pub
1254894698,2023-03-11,4.5,"","",Ārpus x Põhjala Banana x Maple x Vanilla Imperial Milk Stout,Stout - Imperial / Double Milk,12.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1260423297,2023-03-31,3.3,"",Rotterdam,Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Šnekutis
1256920829,2023-03-18,3.5,"",Vilnius,Mezcal Infused Imperial Blonde Ale,Blonde Ale,10.2,Sakiškės Brewery / Sakiškių Alus,Lithuania,Alaus Biblioteka
1253709255,2023-03-06,3.3,"","",Craft IPA,IPA - American,0.0,7 Fridays,Lithuania,7 Fridays
1252303145,2023-03-02,4.5,"","",Żytorillo,IPA - Rye,5.3,PINTA Contracts,Poland,Local Pub
