checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1284488189,2023-06-16,3.8,"","",Let's Postpone January,Pale Ale - New England / Hazy,5.0,PINTA,Poland,Local Pub | Trakų
1281234440,2023-06-04,4.0,"",Helsinki,Vyšnių Kriek,Fruit Beer,5.0,Vilkmerges Alus,Lithuania,La Crepe
1288511660,2023-06-28,0.0,Love this taste👌,Riga,Maukas,Golden Ale - Other,4.3,Kuro Aparatūra,Lithuania,Kuro Aparatura Brewery
1285477070,2023-06-18,2.5,"","Bergen, Norway",Amarillo x Centennial x Simcoe West Coast DIPA,IPA - Imperial / Double,8.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1285118399,2023-06-17,4.3,"","",Green Monster IPA,IPA - American,6.0,Green Monster Brewery,Lithuania,Nisha craft Capital
1280658359,2023-06-03,0.3,"Ich mach schlapp 
Grüße nach Wien an meinen Freund Matscher","",1664 Blanc Sans Alcool,Non-Alcoholic Beer - Wheat Beer,0.5,Kronenbourg Brewery,France,Saigon
1289050247,2023-06-30,0.0,"",Vilnius,Tamsusis,Lager - Dark,5.6,Vilniaus Alus,Lithuania,Pi77a
1286965988,2023-06-24,0.0,"",Minsk,JUODASAI,Stout - Foreign / Export,7.5,Panevėžio Alus,Lithuania,Bar Pahonia
1283540853,2023-06-12,3.8,"","",Berneliu Uzeigos Alus,Lager - Amber / Red,5.0,Volfas Engelman,Lithuania,Bernelių Užeiga
1281619760,2023-06-06,3.5,"",Lithuania,X (Dešimtmečio),Barleywine - Other,10.0,Panevėžio Alus,Lithuania,Alaus kolonele
1282728615,2023-06-10,3.0,"","",Dandelion Sun,Bock - Hell / Maibock / Lentebock,5.0,Tanker Brewery,Estonia,Lipskio Alinė
1288663894,2023-06-29,0.5,"","",1410,Lager - Pale,5.3,Volfas Engelman,Lithuania,Siuvykla
1285550925,2023-06-18,4.0,"",Minsk,Fated Farmer: Apricot (2019),Wild Ale - American,6.7,Trillium Brewing Company,United States,Nisha craft Capital
1283614190,2023-06-12,3.8,"",Nürnberg,New Season,Farmhouse Ale - Saison,6.0,Dok Brewing Company,Belgium,Nisha craft Capital
1288460899,2023-06-28,1.5,"Ne mano alus, bet pasirodo seniausias komercinis alus Lietuvoje, gaminamas nuo 1965? Ir man rodos pirmas tamsus marcenas koki esu ragavus, bet skonis toks kaip ir isivaizdavau","",Baltijos,Märzen,5.8,Švyturys,Lithuania,Gero alaus parduotuvė Vilnius
1289060376,2023-06-30,4.0,"",Lithuania,Through These Eyes,IPA - Imperial / Double New England / Hazy,8.2,Long Live Beerworks,United States,Nisha craft Capital
1282736911,2023-06-10,0.0,"",Vilnius,Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Magma
1284988772,2023-06-17,4.0,"","",Amarillo x Centennial x Simcoe West Coast DIPA,IPA - Imperial / Double,8.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1285415306,2023-06-18,3.8,"","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Drama Burger
1285458809,2023-06-18,3.5,"","Bergen, Norway",Juodas,Lager - Dark,6.7,Būsi Trečias,Lithuania,Būsi Trečias
1288432111,2023-06-28,3.3,"","",Tamsusis,Lager - Dark,5.6,Vilniaus Alus,Lithuania,Gabi
