checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1304545546,2023-08-14,2.0,Крэпасць алеж не тая …,Vilnius,Šnekorių Stiprusis Nefiltruotas,Malt Liquor,7.5,Volfas Engelman,Lithuania,Kūdrų parkas
1304239593,2023-08-13,3.3,"","",Humulupu IPA,IPA - Session,5.0,Dundulis,Lithuania,Karčma 1863
1304404934,2023-08-13,4.0,4.1,"",QDH Nelson x Citra Cryo x Nectaron x Mosaic Lupomax QIPA,IPA - Quadruple,12.0,Ārpus Brewing Co.,Latvia,Nisha craft Capital
1309527603,2023-08-31,3.3,"","","Šventoji, Gal Sapnuoji?",IPA - American,7.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Spiritus
1304851821,2023-08-15,3.8,"Неплохо, для меня сладковат","",Gelato: PB&J,Sour - Smoothie / Pastry,5.5,Funky Fluid,Poland,Local Pub
1307780291,2023-08-25,3.5,Quite bitter. Aromatic and a bit funky. Smooth and thick.,"",The Upside Down,IPA - Imperial / Double,8.2,Willibald Farm Brewery,Canada,Nisha craft Capital
1301559321,2023-08-05,3.5,"","",Roulette Hop Series: Pacific Sunrise,IPA - New England / Hazy,6.9,Pühaste Brewery,Estonia,Vnl Home Taproom
1299980757,2023-08-01,3.8,"","",Alaus Biblioteka | IPA,IPA - New England / Hazy,5.5,Sakiškės Brewery / Sakiškių Alus,Lithuania,Alaus Biblioteka
1309272759,2023-08-30,2.0,"",Vilnius,Perlenbacher Gold,Lager - Pale,4.9,Frankfurter Brauhaus,Germany,Žvėryno Mansarda
1307809867,2023-08-25,5.0,"","Vilnius, Lithuania",Sunrise IPA,IPA - American,5.1,Bear and Boar,Lithuania,Bear&Boar Taproom
1304815540,2023-08-15,3.5,"",Vilnius,Alchemik,IPA - Brett,6.8,Profesja,Poland,Žvėryno Mansarda
1304322434,2023-08-13,4.5,"","",Traveler,Stout - Imperial / Double Milk,12.0,White Dog Brewery,Netherlands,Nisha craft Capital
