checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1349570670,2024-01-19,3.8,"","",Hop House 13 Lager,Lager - Pale,4.1,Guinness,Ireland,Sparta Bar
1349929320,2024-01-20,3.8,"","",Hermanos Polacos,IPA - New England / Hazy,6.5,Browar Rockmill,Poland,Nisha Craft Capital
1351375089,2024-01-27,4.0,"",Vilnius,High Speed Blender,Sour - Smoothie / Pastry,5.2,Maltgarden,Poland,Žvėryno Mansarda
1345650637,2024-01-01,3.8,"","",Order Lost,IPA - White / Wheat,6.5,Hop Racer,Netherlands,Nisha craft Capital
1350039889,2024-01-20,3.5,"","",Green Monster IPA,IPA - American,6.0,Green Monster Brewery,Lithuania,Šnekutis
1350131572,2024-01-20,4.3,"","",Galvė,Pale Ale - Other,5.0,Pilialaukis,Lithuania,Alaus Namai
1347268866,2024-01-07,4.5,"",Kaunas ,Oude Kriek (Vieille) (2018),Lambic - Kriek,6.0,Oud Beersel,Belgium,Diržinskų rekreacinis parkas
1349269553,2024-01-17,4.5,"",Vilnius,Sea Bukthorn IPA,IPA - Fruited,6.0,Sakiškės Brewery / Sakiškių Alus,Lithuania,Dūmų Fabrikas
1349663334,2024-01-19,4.5,"","",Mont des Cats,Belgian Strong Golden Ale,7.6,Abbaye du Mont des Cats,France,Beer House
1351630553,2024-01-27,4.0,"",Vilnius,Oude Geuze Boon Black Label Edition N°8,Lambic - Gueuze,7.0,Brouwerij Boon,Belgium,Alaus Biblioteka
1351028793,2024-01-25,3.5,"","",Westmalle Trappist Dubbel,Belgian Dubbel,7.0,Brouwerij der Trappisten van Westmalle,Belgium,Brussels Mussels Centrum
1349401275,2024-01-18,4.5,"","",6 Year Anniversary Smoothie Sour Ale,Sour - Smoothie / Pastry,5.0,Ārpus Brewing Co.,Latvia,Nisha Craft Capital
1349436709,2024-01-18,3.0,"","",Stowford Press Medium Dry Cider,Cider - Dry,4.5,Westons Cider,England,Who Hit John
1346903515,2024-01-06,2.5,"","",VAF,IPA - New England / Hazy,6.0,:Belike brewing,Lithuania,Local Pub
1351173692,2024-01-26,3.8,"","",Glögg Sour,Sour - Other,5.5,Sori Brewing,Estonia,Alaus Biblioteka
1349409333,2024-01-18,4.0,"","",Bourbon Barrel Aged Barleywine,Barleywine - Other,12.0,Ārpus Brewing Co.,Latvia,Nisha Craft Capital
1349454466,2024-01-18,3.0,"","",Pievų Rūko,Lager - Pale,5.0,Mažas Alaus Cechas,Lithuania,Radisson Blu Hotel Lietuva
1350829260,2024-01-24,3.5,"","",Kita Pusė,IPA - White / Wheat,5.5,Dundulis,Lithuania,ELEKTRIT
1348313492,2024-01-13,3.8,"","",Juice Jr.,IPA - New England / Hazy,6.0,Great Notion Brewing,United States,Nisha craft Capital
1346041679,2024-01-02,3.3,"","",Humulupu IPA,IPA - Session,5.0,Dundulis,Lithuania,Šnekutis
1349459821,2024-01-18,3.3,"","",Galaxy Tamsusis Elis,Dark Ale,5.0,Volfas Engelman,Lithuania,Potions
1346646030,2024-01-05,3.8,"","",Total Strata Domination,IPA - Triple New England / Hazy,10.5,Magnanimous Brewing,United States,Alaus Biblioteka
1351731691,2024-01-27,3.8,"","Vilnius, Lithuania",Jean Ginie Gin BA,Sour - Fruited Gose,9.9,Anderson's Brewery,Estonia,Alaus Biblioteka
1351778621,2024-01-27,4.3,"","",Anaconda Harmonica,IPA - Imperial / Double,8.0,FUERST WIACEK Berlin ,Germany,Nisha Craft Capital
1349273582,2024-01-17,2.5,"","",Tuborg Grøn,Pilsner - Other,4.6,Carlsberg Group,Denmark,Mr. Pub
1349872345,2024-01-20,3.8,"","",Californication / Kalifornikacija,Pale Ale - American,4.5,Genys Brewing Co.,Lithuania,Best Western Hotel Vilnius
1351650544,2024-01-27,4.5,"",Vilnius,The Cherry Of My Eye (Cellar Series),Sour - Fruited,10.0,Põhjala,Estonia,Alaus Biblioteka
1351625285,2024-01-27,4.0,"","",Slaay,Sour - Fruited,4.4,Browar Birbant,Poland,Local Pub
1347888483,2024-01-11,3.8,"","",Alaus Kelias,Lager - Other,5.5,Rinkuškiai,Lithuania,Lidl
1349044116,2024-01-15,4.5,"","",Grynas,Lager - Pale,5.0,Širvėnos bravoras,Lithuania,Baras Šuo
1347068722,2024-01-06,4.0,"","",Humulupu IPA,IPA - Session,5.0,Dundulis,Lithuania,Gringo Pub
1347984185,2024-01-12,3.8,"","",Cold Rush,IPA - Cold,6.2,Browar Rockmill,Poland,Nisha craft Capital
1349403328,2024-01-18,4.8,"","",6 Year Anniversary Barrel Aged Imperial Stout,Stout - Imperial / Double,13.0,Ārpus Brewing Co.,Latvia,Nisha Craft Capital
1349598093,2024-01-19,4.0,"","",Dark Fruit,Cider - Other Fruit,4.0,Magners Irish Cider,Ireland,Alaus studija
1351250951,2024-01-26,2.8,"","",Anarkist New England IPA,IPA - New England / Hazy,5.4,Theodor Schiøtz Brewing Company,Denmark,Juoda Raudona
1349429529,2024-01-18,3.8,"","",Penicillin,Sour - Other,4.5,Funky Fluid,Poland,:BELIKE taproom
1345806419,2024-01-01,4.3,"",Vilnius,Berry Christmas (Vanilla Blueberry),Stout - Milk / Sweet,6.4,Bear and Boar,Lithuania,Utena
1349649782,2024-01-19,3.0,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Etno Dvaras
1351651623,2024-01-27,4.0,"",Vilnius,Enn Barrel (Cellar Series),Stout - Imperial / Double Coffee,12.0,Põhjala,Estonia,Alaus Biblioteka
1347691685,2024-01-10,3.5,"","",Berneliu Uzeigos Alus,Lager - Amber / Red,5.0,Volfas Engelman,Lithuania,Bernelių Užeiga
1349986882,2024-01-20,3.8,"","",Nida,Wheat Beer - Hefeweizen,4.5,:Belike brewing,Lithuania,:BELIKE taproom
1350376351,2024-01-21,4.0,"","",Eater of Dumplings,IPA - Quadruple,11.0,Funky Fluid,Poland,Local Pub
1346652143,2024-01-05,3.8,"","",Juice Jr.,IPA - New England / Hazy,6.0,Great Notion Brewing,United States,Nisha craft Capital
