checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1388810155,2024-06-10,4.3,"","",Cherry It!,Sour - Fruited Gose,5.2,Browar Stu Mostów,Poland,SLICE pizza
1386907629,2024-06-04,4.3,"","",Lady Blanche,Wheat Beer - Witbier / Blanche,4.5,AleBrowar,Poland,:BELIKE taproom
1385966142,2024-06-01,3.8,"",Minsk,Sakura Alley | Cherry Ale,Fruit Beer,5.0,Bear and Boar,Lithuania,Paupio turgus
1392271641,2024-06-22,3.5,"","Belarus, Minsk",NO NIIN,IPA - New England / Hazy,6.4,Tanker Brewery,Estonia,Bernardinai Garden (Bernardinų sodas)
1393849702,2024-06-28,4.0,"","",Cowabunga,Sour - Fruited Gose,5.4,The Brewing Projekt,United States,Nisha Craft Capital
1390227281,2024-06-15,3.5,Auch nicht schlecht...,"",Citrus IPA Šnekutis,IPA - Fruited,5.0,Sakiškės Brewery / Sakiškių Alus,Lithuania,Šnekutis
1393129166,2024-06-25,3.0,"",Dedemsvaart overijssel,Volfas Engelman Helles,Lager - Helles,5.0,Volfas Engelman,Lithuania,Algirdas City Hotels
1386783324,2024-06-03,3.5,Вельмі салодка. Да дня сідра! 🫐🍓,"",Rekorderlig Wild Berries (Skogsbär),Cider - Other Fruit,4.5,Åbro Bryggeri,Sweden,Pourhouse Beer & Wine
1386931739,2024-06-04,3.8,"","Vilnius, Lithuania",Anarkist New England IPA,IPA - New England / Hazy,5.4,Theodor Schiøtz Brewing Company,Denmark,Elven
1389170501,2024-06-13,3.5,"","",Kalnapilis 7.30,Lager - Strong,7.3,Kalnapilis Brewery,Lithuania,Radisson Blu Hotel Lietuva
1388451435,2024-06-09,2.8,"",Nürnberg,Gintarinis (Amber),Pilsner - Other,4.6,Švyturys,Lithuania,Nauja Apžvalgos Aikštelė
1385991361,2024-06-01,4.0,"","","TDH NEIPA: STRATA, MOUTERE, NELSON SAUVIN",IPA - New England / Hazy,6.0,Green Monster Brewery,Lithuania,Kalnų parko estrada
1393374848,2024-06-26,3.0,"","",Samurai's Daughter,Specialty Grain,4.7,Varvar Brew,Ukraine,:BELIKE taproom
1387071471,2024-06-05,3.5,"","",Discovery Poland: Warszawa,IPA - New England / Hazy,6.5,PINTA,Poland,:BELIKE taproom
1385951201,2024-06-01,3.5,"","",Ginger Pineapple,Sour - Fruited,5.5,Green Monster Brewery,Lithuania,Kalnų parkas
1387326711,2024-06-06,3.5,"","",Bocmano Ūsai (Bosun’s Moustache),IPA - American,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Distilerija
1390880557,2024-06-17,3.5,"",Busto Arsizio (VA),Bistrampolio Dvaro Šviesusis / Bistrampolio Dvaro Light / Muižas Gaišais Alus,Lager - Pale,5.0,Aukštaitijos Bravorai,Lithuania,Etno Dvaras
1388783050,2024-06-10,3.8,Good dad bear,"",Ekstra Draught,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Kalnų parkas
1388942574,2024-06-11,0.0,"",Vilnius,Psycho Elite Franky,IPA - Triple New England / Hazy,10.0,Salama Brewing Company,Finland,Youston Apartments
1386549398,2024-06-02,3.8,"",Belarus,Franken,Kellerbier / Zwickelbier,4.7,:Belike brewing,Lithuania,Local Pub
1387660343,2024-06-07,3.5,Эх тыж блин,"",Closer,IPA - New England / Hazy,6.5,Browarny Craft Beer,Poland,Nisha Craft Capital
1387681774,2024-06-07,3.5,A bit chemical,Vilnius,Mangolicious,IPA - Fruited,4.7,Tanker Brewery,Estonia,Rasos cemetery (Rasų kapinės)
1388553690,2024-06-09,3.5,"","",Pilstomas,Lager - Pale,0.0,Vilkmerges Alus,Lithuania,Skybar
1386020611,2024-06-01,4.3,"",Lithuania,Galactic Brotherhood: Nisha Craft,Stout - Imperial / Double Pastry,12.0,Browar Rockmill,Poland,Nisha Craft Capital
1393150758,2024-06-25,3.3,"",Hamburg,Galaxy Šviesusis Alus,Lager - Pale,5.0,Volfas Engelman,Lithuania,Radisson Blu Hotel Lietuva
1391813868,2024-06-21,3.8,Nice.,London,Two Liberties / Dvi Laisvės,IPA - American,6.0,Genys Brewing Co.,Lithuania,Sparta Bar
1389186543,2024-06-13,3.5,"",Vilnius,Corn Lager,Lager - Other,4.3,Sakiškės Brewery / Sakiškių Alus,Lithuania,Smagus Raugas beershop
1389519946,2024-06-14,3.8,"","Columbia, MO",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Chačapuri
1391785602,2024-06-21,4.0,"",Vilnius,Kawaii,IPA - Imperial / Double New England / Hazy,7.7,Phase Three Brewing,United States,Nisha Craft Capital
1391796566,2024-06-21,3.8,"","",India Pale Ale,IPA - American,5.5,Sakiškės Brewery / Sakiškių Alus,Lithuania,Lipskio Alinė
1389500663,2024-06-14,3.5,"",Vilnius,Avietinė Neipa,IPA - Fruited,5.0,Vilkmerges Alus,Lithuania,Žvėryno Mansarda
