checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1410812975,2024-08-22,3.5,"","",Cactus And Lychee Milkshake IPA,IPA - Milkshake,5.0,Bear and Boar,Lithuania,Bear&Boar Brewery Taproom
1408548797,2024-08-14,4.0,"","",Jaipur,IPA - American,5.9,Thornbridge Brewery,England,Meat Lovers Pub
1404676618,2024-08-02,4.5,"",Lithuania,Citra Jam,IPA - American,6.8,Dancing Gnome,United States,Nisha Craft Capital
1404714452,2024-08-02,3.8,Мякенька. За дзень ІПА!,"",Pervalkos Invazinės Pušys,IPA - American,5.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Local Pub
1412608731,2024-08-28,4.3,"","Vilnius, Lithuania",Chubbles 53°N,IPA - New England / Hazy,6.5,Cloudwater Brew Co.,England,Nisha Craft Capital
1406878090,2024-08-09,3.5,"","",Pie PA - Mango and Peach IPA,Non-Alcoholic Beer - IPA,0.5,Mash Gang,England,Def Enjoy
1404936758,2024-08-03,4.0,"","",Blue By You,Pale Ale - New England / Hazy,4.2,Protokoll Brewery ,Germany,Def Enjoy
1405915566,2024-08-05,4.0,"",Vilnius,Abbaye d'Aulne Ambrée 6,Red Ale - American Amber / Red,6.0,Brasserie de l'Abbaye d'Aulne,Belgium,терасны дом
1410404913,2024-08-20,3.5,"","",Grimbergen Dubbel,Belgian Dubbel,6.5,Brouwerij Alken-Maes,Belgium,Žirmūnų Boulingas
1411069067,2024-08-23,0.0,"","",Phantasmania,IPA - Other,6.5,Browar Rockmill,Poland,Nisha Craft Capital
1412266764,2024-08-26,3.3,"","",Špunka Pils,Pilsner - Czech / Bohemian,4.8,Dundulis,Lithuania,Špunka
1404480497,2024-08-01,4.0,"","",Curious Captain & Citra Citra Citra,IPA - New England / Hazy,7.0,Sori Brewing,Estonia,Alaus Biblioteka
1412869731,2024-08-29,4.0,"","",Calculated Move,Pale Ale - American,4.2,Protokoll Brewery ,Germany,Def Enjoy
1406894986,2024-08-09,3.3,"","",Juice Forsyth,IPA - Fruited,5.0,Brew York,England,L. Stuokos Gucevičiaus skveras
1404793874,2024-08-02,2.5,Too bitter and limey for my taste,"",Delicate Psycho,IPA - American,6.5,Blackout Brewing,Romania,:BELIKE taproom
1409530623,2024-08-17,3.3,"",Vilnius,Spruce And Justice,Lager - IPL (India Pale Lager),8.0,Anderson's Brewery,Estonia,Local Pub
1406158394,2024-08-06,3.5,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Chačapuri
1412594787,2024-08-28,2.8,"","Vilnius, Lithuania",Super Sexy Session Mead,Mead - Session / Short,4.5,Malmö Meadery,Sweden,Nisha Craft Capital
