checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1458110005,2025-02-21,3.5,"",Vilnius,Aroniju Ragana (Aronia Witch),Fruit Beer,5.1,Labietis,Latvia,Smagus Raugas beershop
1458124683,2025-02-21,4.3,"","",Cospell,Stout - Imperial / Double Coffee,11.0,Funky Fluid,Poland,:BELIKE taproom
1458158570,2025-02-21,2.8,Prima. Witbier,"",Kvietinis,Wheat Beer - Witbier / Blanche,4.7,Būsi Trečias,Lithuania,Būsi Trečias
1459515933,2025-02-27,3.3,"","",Grimbergen Double Ambrée,Belgian Dubbel,6.5,Kronenbourg Brewery,France,Gero alaus parduotuvė Vilnius
1453858684,2025-02-01,4.0,"",Haifa,Double Rainbow All the Way Across the Sky,Sour - Fruited Gose,6.3,Mad Scientist,Hungary,Nisha Craft Capital
1454934133,2025-02-07,3.5,"",Potsdam ,Grynas,Lager - Pale,5.0,Dundulis,Lithuania,Bar Pahonia
1453798247,2025-02-01,3.5,"",Haifa,Gubernija Ekstra / Extra Lager,Lager - Helles,5.2,Gubernija Brewery,Lithuania,Lokys
1456580367,2025-02-14,3.8,"",Vilnius,Shikkoku (漆黒),Lager - Dark,5.0,Kyodo Shoji Coedo Brewery,Japan,Naujamiestis
1454570759,2025-02-05,3.5,"","",Harvest Ale / Derliaus Alus,Traditional Ale,6.5,Genys Brewing Co.,Lithuania,Šnekutis
1453721695,2025-02-01,3.8,"",Haifa,Iridesce (2023),Wild Ale - Other,5.0,PINTA Barrel Brewing,Poland,:BELIKE taproom
1456278787,2025-02-13,4.0,"",Lithuania,OBUOLIOKAS,Wild Ale - Other,6.0,Dundulis,Lithuania,Alaus kolonele
1457230595,2025-02-16,3.8,"",Minsk,O'Hara's Hazy IPA,IPA - New England / Hazy,6.8,O'Hara's Brewery ,Ireland,Alaus Gurmanai
1457324923,2025-02-16,3.0,"","",Tauras Tradicinis,Lager - Strong,6.0,Kalnapilis Brewery,Lithuania,"spėkit, kas namie"
1455254397,2025-02-08,3.8,"","",Somersby Pear Cider,Cider - Perry / Poiré,4.5,Carlsberg Group,Denmark,Užupio kavinė
1453720657,2025-02-01,3.8,"","",Modern Grodziskie,Grodziskie / Grätzer,3.1,Browar Grodzisk,Poland,:BELIKE taproom
1456877364,2025-02-15,3.8,"","Vilnius, Lithuania",Paint Me Like One of Your French Bread Pizzas,IPA - Triple New England / Hazy,10.0,Hoof Hearted Brewing,United States,Nisha Craft Capital
1457459227,2025-02-17,3.0,"","",Gubernija Pilsneris / Classic Pilsner,Pilsner - German,4.6,Gubernija Brewery,Lithuania,Zverynas Heights
1457730148,2025-02-19,2.8,"",Biwerhascht,Gintarinis (Amber),Pilsner - Other,4.6,Švyturys,Lithuania,Etno Dvaras
1458222087,2025-02-21,4.3,"","",Pommay Gamay,Cider - Graff,8.2,DUST Blending,Belgium,Def Enjoy
1456996414,2025-02-15,4.3,"","",DDH Peacharine X Riwaka X Nelson Pale Ale,Pale Ale - New England / Hazy,5.0,Ārpus Brewing Co.,Latvia,Nisha Craft Capital
1458581728,2025-02-22,3.8,"","",German Style Wheat Beer,Wheat Beer - Hefeweizen,4.9,Sakiškės Brewery / Sakiškių Alus,Lithuania,Beer House
1459739772,2025-02-28,4.0,"",Warszawa,Glassy Day,IPA - New England / Hazy,6.5,GROSS,Spain,Def Enjoy
1455195837,2025-02-08,3.3,"","",Bėganti Kopa (Running Dune),Wheat Beer - Witbier / Blanche,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Užupio Picerija
1457855946,2025-02-20,4.3,"","",Scanners (September 2024 / Batch 6),IPA - New England / Hazy,7.0,Root + Branch Brewing,United States,Def Enjoy
1454885190,2025-02-07,3.5,"","",Slice of Life,IPA - New England / Hazy,6.5,Funky Fluid,Poland,Local Pub
1459744169,2025-02-28,3.5,"",Minsk,Vilniaus Dubbel,Belgian Dubbel,6.5,Vilniaus Alus,Lithuania,My Lvivo House
1453778477,2025-02-01,3.5,"",Tel Aviv,Cyrulis,Pilsner - Other,4.9,Širvėnos bravoras,Lithuania,Lokys
1453907156,2025-02-01,4.5,"",Tel Aviv,Ladon | Cherry Berry Cheesecake,Sour - Smoothie / Pastry,6.0,Mortalis Brewing Company,United States,Nisha Craft Capital
1457342079,2025-02-16,3.8,"",Vilnius ,Pinčius,Schwarzbier,4.9,Pilialaukis,Lithuania,Alaus Namai
1457715982,2025-02-19,3.3,"",Biwerhascht,Grynas,Lager - Pale,5.0,Širvėnos bravoras,Lithuania,Bar Pahonia
1454966808,2025-02-07,0.0,"","",Hot  Irmi,Chilli / Chile Beer,3.0,Schneeeule,Germany,Nisha Craft Capital
1454778887,2025-02-06,1.8,laurens noemt deze fris en fruitig maar ik vind deze gewoon weer heel bitter,"",Citra IPA,IPA - American,5.4,Bear and Boar,Lithuania,Alaus Biblioteka
1457710664,2025-02-19,3.8,3.8,Pozna? ,Kurkas Keptinis,Farmhouse Ale - Other,5.3,Dundulis,Lithuania,Špunka
1455383014,2025-02-08,4.0,"","","Barrel Series #13: Chocolate Bar #3 Peanuts Caramel Chocolate Triple BA",Stout - Imperial / Double Pastry,9.2,Magic Road,Poland,Nisha Craft Capital
1454584024,2025-02-05,4.5,"","",Pinky the Raspberry Gose,Sour - Traditional Gose,5.8,Storybook Brewing,United States,Dėvėti
1458879705,2025-02-23,3.3,"","",Imperial Porteris,Porter - Baltic,6.0,Volfas Engelman,Lithuania,Congress Hotel Vilnius
1453748192,2025-02-01,3.8,"","",Plūškoka,Cider - Sweet,5.0,Mūrbūdu Sidra Darītava,Latvia,Local Pub
1454570428,2025-02-05,3.5,"",Kaunas,Harvest Ale / Derliaus Alus,Traditional Ale,6.5,Genys Brewing Co.,Lithuania,Šnekutis
1458979860,2025-02-23,4.8,"","Kyiv, UA -> Kaunas, LT",Breaking Good,IPA - American,6.3,Funky Fluid,Poland,Local Pub
1455516961,2025-02-09,5.0,"",Riga,Yeah Right!,IPA - New England / Hazy,7.0,GROSS,Spain,Def Enjoy
1454961060,2025-02-07,4.0,"","",Rinkuškių Proginis,Lager - Pale,5.2,Rinkuškiai,Lithuania,Tesla
1454581771,2025-02-05,4.0,"","",Merhaba!,IPA - American,6.9,Funky Fluid,Poland,Local Pub
1454748767,2025-02-06,4.8,"","",Gemini | Raspberry + Banana + Parfait,Sour - Smoothie / Pastry,7.0,Mortalis Brewing Company,United States,Nisha Craft Capital
1455316310,2025-02-08,4.5,"","Kyiv, UA -> Kaunas, LT",Imbiero,IPA - Other,4.0,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
1458619054,2025-02-22,3.5,"",Vilnius,Beerville Šviesusis / Gaišais Alus / Light,Lager - Pale,5.1,Aukštaitijos Bravorai,Lithuania,Light House
1459670462,2025-02-28,4.3,"","Vilnius, Lithuania",Porn Star,Fruit Beer,4.5,Genys Brewing Co.,Lithuania,Pilaitės biblioteka
1455498098,2025-02-09,4.0,"","",Set It Up,IPA - New England / Hazy,6.0,Cloudwater Brew Co.,England,Nisha Craft Capital
1453707212,2025-02-01,4.0,Alaus Biblioteka,"",Apyniuotis,IPA - Other,6.2,Širvėnos bravoras,Lithuania,Alaus Biblioteka
1455368463,2025-02-08,3.5,"","",Green Monster IPA,IPA - American,6.0,Green Monster Brewery,Lithuania,iBar
1456604607,2025-02-14,4.0,"","",Yeah Right!,IPA - New England / Hazy,7.0,GROSS,Spain,Def Enjoy
1456607361,2025-02-14,3.8,"","",Set And Settings,IPA - New England / Hazy,7.0,GROSS,Spain,Def Enjoy
1456879811,2025-02-15,2.5,"","",Humulupu IPA,IPA - Session,5.0,Dundulis,Lithuania,Tesla
1455253377,2025-02-08,3.5,"","",Lime Coffee,Sour - Other,4.5,Magic Road,Poland,:BELIKE taproom
1455471929,2025-02-08,4.0,"",Vilnius,Cherry It!,Sour - Fruited Gose,5.2,Browar Stu Mostów,Poland,Naujamiestis
1454157727,2025-02-02,3.3,"","",Vilnius Velvet,Porter - Baltic,6.0,Bear and Boar,Lithuania,Lipskio Alinė
1457259393,2025-02-16,3.3,"","",Baltas (White),Wheat Beer - Hefeweizen,5.0,Švyturys,Lithuania,Trys klevai
1458152556,2025-02-21,3.0,"","",Hot  Irmi,Chilli / Chile Beer,3.0,Schneeeule,Germany,Nisha Craft Capital
1459791451,2025-02-28,3.0,"","",Alaus Biblioteka | Summer Sour,Sour - Fruited,4.9,Alaus Biblioteka ,Lithuania,Alaus Biblioteka
