checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1472829322,2025-04-20,3.8,"",Worldwide and Web3,Penki Mazgai,IPA - New England / Hazy,5.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Novotel Vilnius Centre
1472354457,2025-04-19,4.3,"","",Desperate Egos (February 2025 / Batch 4),IPA - Imperial / Double New England / Hazy,8.0,Root + Branch Brewing,United States,Def Enjoy
1470043958,2025-04-11,4.3,"",Vilnius,Särts,Sour - Fruited,6.0,Pühaste Brewery,Estonia,Naujamiestis
1471770585,2025-04-18,3.3,"","",Brooklyn Pilsner,Pilsner - Other,4.6,Brooklyn Brewery,United States,Paupio turgus
1471844666,2025-04-18,3.8,"","",Human Emotions,IPA - Imperial / Double,8.0,FUERST WIACEK Berlin,Germany,Def Enjoy
1475272555,2025-04-30,3.5,"","",Faro,Lambic - Faro,4.5,Brouwerij Lindemans,Belgium,Brussels Mussels
1473336481,2025-04-23,3.0,"",Prague,Gutstoutas,Stout - Oatmeal,5.2,Širvėnos bravoras,Lithuania,Savičiaus Špunka
1468192502,2025-04-04,0.0,"","",Chrome,IPA - New England / Hazy,6.8,FUERST WIACEK Berlin,Germany,Def Enjoy
1473175373,2025-04-22,4.5,"","",Tinginio Pantis - Obuolių,Cider - Traditional / Apfelwein,4.5,Gubernija Brewery,Lithuania,Žemaičių Ąsotis
1473450526,2025-04-24,3.5,Руіпіць адчувальна,"Belarus, Minsk",Slow Crush IPA,IPA - Session,5.0,Basker Brewing Co.,Lithuania,Shilta.lt redakcija
1472406091,2025-04-19,4.0,"",Vilnius,Alpaka,IPA - Other,5.2,Browar Cztery Ściany / Four Walls Brewery,Poland,Švaros broliai
1474190906,2025-04-26,2.0,Per daug primena ipa,"",Moko Maukas 2024,Historical Beer - Steinbier,6.4,Dundulis,Lithuania,Gero alaus parduotuvė Vilnius
1473016565,2025-04-21,4.8,"","","WILL IT FLOAT #12",Sour - Smoothie / Pastry,6.0,White Dog Brewery,Netherlands,Nisha Craft Capital
1474335351,2025-04-26,4.5,"","",Serenity,Sour - Smoothie / Pastry,5.7,Brokreacja,Poland,Local Pub
1468126135,2025-04-04,4.0,"",Sheffield ,Pale Ale Mosaic Galaxy,Pale Ale - American,5.2,The Kernel Brewery,England,Nisha Craft Capital
1472306391,2025-04-19,3.3,"","",BRØL IPA,IPA - Other,4.7,Nøisom Craft Beer,Norway,14 horses
1470459443,2025-04-12,3.5,"","",Senolių Senovinis,Farmhouse Ale - Other,6.0,Su Puta,Lithuania,Alaus Biblioteka
1474973799,2025-04-29,3.0,"","",Kozel Světlý / Kozel 10,Lager - Světlé (Czech Pale),4.2,Pivovar Velké Popovice,Czech Republic,JAMMI Kebabinė
1472950278,2025-04-21,2.0,"","",Grafo,Lager - American,5.2,Biržų Alus ,Lithuania,Šnekutis
1468772318,2025-04-05,3.5,"","",Expat: Stevns Cherry,Lambic - Kriek,6.5,Bear and Boar,Lithuania,Def Enjoy
1471978407,2025-04-18,3.5,"","",Cyrulis,Pilsner - Other,4.9,Širvėnos bravoras,Lithuania,Lokys
1471327354,2025-04-16,3.8,"",Worldwide and Web3,Hopzz_ Essential,IPA - New England / Hazy,6.0,PINTA,Poland,Local Pub
1472981346,2025-04-21,3.5,"","",Green Monster IPA,IPA - American,6.0,Green Monster Brewery,Lithuania,Šnekutis
1474365872,2025-04-26,3.8,"","",Gelato: Mango Blueberry Shake,Sour - Smoothie / Pastry,5.5,Funky Fluid,Poland,Nisha Craft Capital
1471967045,2025-04-18,4.0,"Дзіўнае піва, шакадад і бананавы смузі","",Noctuary,Stout - Imperial / Double Pastry,8.0,Ophiussa,Portugal,Def Enjoy
1474345662,2025-04-26,2.8,"","",Raudony Limited,Blonde / Golden Ale - Other,6.0,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Artis Centrum Hotel
1474579546,2025-04-27,3.5,"","",Grafo,Lager - American,5.2,Biržų Alus ,Lithuania,Šnekutis
1470045408,2025-04-11,0.0,"",Vilnius,Mosaic Ale 12,Pale Ale - American,5.1,Rodinný pivovar Zichovec,Czech Republic,Youston Apartments
1469237507,2025-04-07,2.5,"","",Ekstra Draught,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Charlie Pizza
1473820154,2025-04-25,4.3,"","",Darkness My Friend Peated Imperial Baltic Porter,Porter - Imperial / Double Baltic,11.0,Maryensztadt,Poland,Def Enjoy
1472296609,2025-04-19,4.0,"То, что пьют летом.","",Milikituki,Sour - Berliner Weisse,3.5,GROSS,Spain,Def Enjoy
1469936165,2025-04-11,0.0,"","",Aušrinis,Pilsner - Other,4.9,Dundulis,Lithuania,Baras Šuo
1474975926,2025-04-29,3.3,"Leicht, malzige Restsüße, tendenziell leichte Zitrusaromen. Trotzdem eher unterdurchschnittlich.",Hamburg,Klikkhaze,IPA - New England / Hazy,5.0,OY Brewing,Faroe Islands,Vilniaus Universiteto Astronomijos Observatorija
1475005855,2025-04-29,3.0,"","",Gubernija Sauvin-On IPA,IPA - Session,4.5,Gubernija Brewery,Lithuania,Norfa XXL
1469360619,2025-04-08,3.0,"","",Steininger Premium Pils,Pilsner - German,4.8,Privatbrauerei Eichbaum,Germany,Kinų Smuklė
1473509237,2025-04-24,3.8,Кажется копчёнкой🤔,"",Kaņepju Alus,Lager - Pale,4.7,Kussh Brewery,Latvia,Def Enjoy
1472365674,2025-04-19,3.3,"","",Vyšnių Kriek,Fruit Beer,5.0,Vilkmerges Alus,Lithuania,Beer Garden
1471899940,2025-04-18,4.3,"",Milwaukee ,Baltic Pilsner,Pilsner - Other,5.0,Bear and Boar,Lithuania,Bear&Boar Brewery Taproom
1473890088,2025-04-25,3.5,"","",Perpetua,Pale Ale - American,5.2,Wylie Brewery,Spain,Nisha Craft Capital
1472298394,2025-04-19,3.5,"",Vilnius,Secret Embrace,IPA - Other,7.2,Nurme,Latvia,Nisha Craft Capital
1468662995,2025-04-05,4.0,"",Minsk,Triumph,IPA - New England / Hazy,6.4,Funky Fluid,Poland,Local Pub
1469020184,2025-04-06,4.0,"",Vilnius,Fractal Universe,IPA - American,6.8,Equilibrium Brewery,United States,Nisha Craft Capital
1468725203,2025-04-05,3.8,"",Vilnius,Kyivske Stout,Stout - Other,6.0,Obolon (Оболонь),Ukraine,Lazdynu rajonas
1474362609,2025-04-26,4.0,"",Vilnius,On Track - Banana,Stout - Imperial / Double Pastry,10.5,Factory Brewing,Finland,Def Enjoy
1468574402,2025-04-05,0.0,"","",Daydreamer Belgian Wit,Wheat Beer - Witbier / Blanche,5.0,Marten Brewing Co.,Canada,Nisha Craft Capital
1471539345,2025-04-17,4.0,"","",PASSION FRUIT SOUR ALE // RŪGŠTUSIS PASIFLORŲ ELIS,Sour - Fruited Berliner Weisse,3.5,Sakiškės Brewery / Sakiškių Alus,Lithuania,Alaus Biblioteka
1469380763,2025-04-08,4.0,"",Vilnius,Story Weisse,Sour - Fruited Berliner Weisse,4.2,Basker Brewing Co.,Lithuania,gato with hato
1473774740,2025-04-25,3.8,"",Brauretanien,Citra IPA,IPA - American,5.4,Bear & Boar,Lithuania,Alaus Biblioteka
1471330816,2025-04-16,3.5,"","",Secret Embrace,IPA - Other,7.2,Nurme,Latvia,Nisha Craft Capital
1473711650,2025-04-25,4.3,"","",It Was the Yeast All Along,IPA - Triple New England / Hazy,10.0,White Dog Brewery,Netherlands,Nisha Craft Capital
1474233549,2025-04-26,4.0,"",Brauretanien,Mezcal Infused Imperial Blonde Ale,Blonde / Golden Ale - Other,10.2,Sakiškės Brewery / Sakiškių Alus,Lithuania,Sakiškės Brewery (Sakiškių Alus)
1474164769,2025-04-26,2.8,"","",Daujotų APA,Pale Ale - American,5.1,Davra Alaus Darykla,Lithuania,Burna House
1471532058,2025-04-17,3.8,"",Milwaukee,Špunka Pils,Pilsner - Czech / Bohemian,4.8,Dundulis,Lithuania,Špunka
1469681770,2025-04-10,4.0,"","",Reloaded,IPA - Session,5.8,Tanker Brewery,Estonia,Cozy
1473028169,2025-04-21,3.8,"","",Obiektyw,Sour - Fruited,6.7,Browar Cztery Ściany / Four Walls Brewery,Poland,Aquarius Brewery
1469565315,2025-04-09,4.0,"","",Schöfferhofer Hefeweizen / Weizen,Wheat Beer - Hefeweizen,5.0,Radeberger Gruppe,Germany,Bronx Billiardo Klubas
1470631006,2025-04-13,3.3,"","",Gubernija Sauvin-On IPA,IPA - Session,4.5,Gubernija Brewery,Lithuania,Alaus Dėžė
1475209590,2025-04-30,4.3,"",Vilnius,Super Citrus,IPA - Imperial / Double New England / Hazy,8.0,Cervesa Espiga,Spain,Youston Apartments
1471355220,2025-04-16,0.0,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Twinsbet Arena (Siemens Arena)
1473134936,2025-04-22,3.0,"","",APA,Pale Ale - American,5.0,Būsi Trečias,Lithuania,Būsi Trečias
1474113185,2025-04-26,2.8,"","",Gubernija Tamsusis Elis / Caramel Brown Ale,Dark Ale,5.9,Gubernija Brewery,Lithuania,Burna House
1473317893,2025-04-23,3.3,"",Helsinki,Citra IPA,IPA - American,5.4,Bear & Boar,Lithuania,Alaus Biblioteka
1473352814,2025-04-23,4.0,"","",Soulmate (Citra & Nectaron),IPA - Imperial / Double New England / Hazy,8.0,Factory Brewing,Finland,Def Enjoy
1474158009,2025-04-26,4.0,"",Vilnius,Fruitheart Smoothie Sour Ale,Sour - Smoothie / Pastry,4.5,Ārpus Brewing Co.,Latvia,Nisha Craft Capital
1473206275,2025-04-22,4.0,"",Brauretanien,Hop Series Hazy IPA,IPA - Other,5.5,Sakiškės Brewery / Sakiškių Alus,Lithuania,Smagus Raugas beershop
1472998484,2025-04-21,3.0,"","",Kalnapilis Original,Lager - Pale,5.0,Kalnapilis Brewery,Lithuania,plius plius plius
1471194572,2025-04-15,3.0,"","",DDH for the Story (Styrian Dragon),IPA - Imperial / Double New England / Hazy,8.2,Icarus Brewing,United States,Nisha Craft Capital
1473334016,2025-04-23,2.5,"",Vilnius,Lagered Ale,Pale Ale - Other,4.9,Gubernija Brewery,Lithuania,Aquarius Brewery
1473473116,2025-04-24,3.5,"",Helsinki,Follow the Light,IPA - New England / Hazy,6.5,Browar Rockmill,Poland,Nisha Craft Capital
1474237727,2025-04-26,4.3,"","",TDH Azacca x Enigma x Citra DIPA,IPA - Imperial / Double,8.0,Ārpus Brewing Co.,Latvia,Nisha Craft Capital
1470031966,2025-04-11,4.0,"","",Group E,Sour - Fruited Gose,7.0,Дідько Brewery,Ukraine,Nisha Craft Capital
1469244764,2025-04-07,3.5,"","",Polyamorie,Sour - Fruited Berliner Weisse,5.0,Oedipus Brewing,Netherlands,grožio Salonas Džesė
1470792345,2025-04-13,0.3,"","",Alaus Biblioteka | Imperial Stout,Stout - Imperial / Double,13.3,Alaus Biblioteka ,Lithuania,Alaus Biblioteka
1467785667,2025-04-02,4.3,"",Minsk,Elite Human,IPA - New England / Hazy,6.5,WarPigs Brewpub,Denmark,Nisha Craft Capital
1472089653,2025-04-19,4.5,"",Lithuania,Heaviest Mettle Cut,IPA - Imperial / Double,9.0,Trillium Brewing Company,United States,Def Enjoy
1475001048,2025-04-29,2.0,"","",Kriek,Fruit Beer,4.6,Utenos Alus,Lithuania,Euro Vaistinė
1473672796,2025-04-25,3.5,"","",Humulupu IPA,IPA - Session,5.0,Dundulis,Lithuania,Užupio kavinė
1469935477,2025-04-11,3.3,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Tashkent
