checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1484921201,2025-06-05,4.0,התחלנו,"",Pineapple Pablo,Sour - Fruited,3.5,MONYO Brewing Co.,Hungary,Local Pub
1486886947,2025-06-12,2.5,"","",Ekstra,Lager - Dortmunder / Export,5.2,Švyturys,Lithuania,Republic No.4
1485586999,2025-06-07,3.3,"","",Tamsusis,Dark Ale,5.8,Vilkmerges Alus,Lithuania,Katpėdėlė
1485280978,2025-06-06,4.8,Симен,"","Temporalis #0032",IPA - Triple New England / Hazy,10.0,Messorem ,Canada,Def Enjoy
1485283676,2025-06-06,0.0,"",Vilnius,DDH Citra Lupomax Pale Ale,Pale Ale - New England / Hazy,5.5,Ārpus Brewing Co.,Latvia,Youston Apartments
1489534307,2025-06-21,4.0,"","",Firminis Gabi,Blonde / Golden Ale - Other,5.2,Restoranas GABI,Lithuania,Gabi
1485683858,2025-06-07,3.0,"","",Green Monster IPA,IPA - American,6.0,Green Monster Brewery,Lithuania,Alaus kolonele
1488718624,2025-06-18,4.0,"","",Bėganti Kopa (Running Dune),Wheat Beer - Witbier / Blanche,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Novotel Vilnius Centre
1488835063,2025-06-19,3.8,"","",Flying Rabbit,IPA - American,6.5,MONYO Brewing Co.,Hungary,Local Pub
1489252684,2025-06-20,3.3,"",Lithuania,Grażyna Sprężyna,Stout - Milk / Sweet,4.5,Browar Waszczukowe,Poland,Def Enjoy
1486659908,2025-06-11,4.0,4 sx,Gorizia,Blueberry Hero,Fruit Beer,3.8,MONYO Brewing Co.,Hungary,Local Pub
1490296879,2025-06-23,3.5,"","",Grimbergen Dubbel,Belgian Dubbel,6.5,Brouwerij Alken-Maes,Belgium,Miško užeiga
1485502975,2025-06-07,3.5,Meget snill witbier,"",Bėganti Kopa (Running Dune),Wheat Beer - Witbier / Blanche,4.5,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Spritz Summer Garden
1488037873,2025-06-15,3.5,"Саладзенькі лагерок, тыпова літоўскі я б сказаў","",Canis Lupus,Lager - Pale,4.6,Vilniaus Alus,Lithuania,can can pizza
1484594277,2025-06-03,4.3,"",Vilnius,Dream Big,IPA - Imperial / Double New England / Hazy,8.0,SOMA Beer,Spain,Def Enjoy
1484956112,2025-06-05,3.8,"Kur mazafaka spruce? Grinčas nupiso? Kodėl haze? Koks tai wc? Kaimiškas lauko longdropas čia, o WC. Bet vistiek skanu. tebūnie.",Vilnius. Lithuania.,Kuusk,IPA - American,6.0,Põhjala,Estonia,Alaus Biblioteka
1491612332,2025-06-28,4.0,"","","Now I Am Death, Destroyer of Worlds (Ghost DESTROYER)",IPA - Triple New England / Hazy,10.0,Adroit Theory,United States,Def Enjoy
1491654985,2025-06-28,3.5,"",Lithuania,TIC TAC TOE Raspberry & Mango,Sour - Smoothie / Pastry,4.5,ODU Brewery,Latvia,Def Enjoy
1491977264,2025-06-29,4.0,"",Minsk,Italo,Pale Ale - New England / Hazy,4.4,Funky Fluid,Poland,Žirmūnų paplūdimys
1489520670,2025-06-21,3.5,Alltid godt med en radler i solen!,"Sola, Norway",Radler Orange,Shandy / Radler,2.0,Utenos Alus,Lithuania,Vilnius City Centre
1488460648,2025-06-17,2.5,"","",Premium Pilsener / German Pilsener,Pilsner - German,4.8,Warsteiner,Germany,Baziljonai
1489178687,2025-06-20,4.3,"","",Fruchtfleisch,IPA - New England / Hazy,6.8,FUERST WIACEK Berlin,Germany,Def Enjoy
1490289994,2025-06-23,3.8,"","",Smoked Plum Wee Heavy,Scotch Ale / Wee Heavy,10.2,Sakiškės Brewery / Sakiškių Alus,Lithuania,Conti Hotel Vilnius
1491292145,2025-06-28,2.5,"",Vilnius,Apes & Humans Pineaple Flavour Cocktail,Other,4.3,Kauen Craft,Lithuania,Verslo Centras 135 Terrace
1489682925,2025-06-21,4.3,"","",AUS DIE MAUS,IPA - Imperial / Double New England / Hazy,8.0,FUERST WIACEK Berlin,Germany,Def Enjoy
1485680865,2025-06-07,4.3,"","",Limoncello Virtuoso,Sour - Smoothie / Pastry,6.0,Hop Hooligans,Romania,Def Enjoy
1489217916,2025-06-20,4.0,"",Lithuania,Miracle Double IPA,IPA - Imperial / Double,8.3,To Øl,Denmark,Def Enjoy
1484819813,2025-06-04,3.5,Тяжело…,Vilnius,One Way Ticket,IPA - Imperial / Double New England / Hazy,8.0,Elmeleven,Sweden,Def Enjoy
1490087841,2025-06-22,0.0,"",Vilnius,Craft IPA,IPA - Fruited,5.5,UAB Alynas,Lithuania,Youston Apartments
